s,C,m
Time,"HGL Temp","HGL Height"
 0.000E+00, 1.400E+01, 2.243E+00
 1.001E+01, 1.400E+01, 1.466E+00
 2.002E+01, 1.405E+01, 2.308E-01
 3.001E+01, 5.022E+01, 1.145E+00
 4.000E+01, 9.911E+01, 1.377E+00
 5.002E+01, 8.529E+01, 1.294E+00
 6.003E+01, 9.093E+01, 1.149E+00
 7.002E+01, 1.093E+02, 1.234E+00
 8.001E+01, 1.094E+02, 1.177E+00
 9.000E+01, 1.215E+02, 1.162E+00
 1.000E+02, 1.373E+02, 1.167E+00
 1.100E+02, 1.436E+02, 1.161E+00
 1.200E+02, 1.626E+02, 1.026E+00
 1.300E+02, 1.532E+02, 1.026E+00
 1.400E+02, 1.603E+02, 1.013E+00
 1.500E+02, 1.671E+02, 1.042E+00
 1.600E+02, 1.851E+02, 1.082E+00
 1.700E+02, 1.845E+02, 1.043E+00
 1.800E+02, 1.818E+02, 9.638E-01
 1.900E+02, 1.847E+02, 9.837E-01
 2.000E+02, 1.851E+02, 9.656E-01
 2.100E+02, 1.917E+02, 1.042E+00
 2.200E+02, 2.025E+02, 1.055E+00
 2.300E+02, 1.886E+02, 9.600E-01
 2.400E+02, 2.159E+02, 9.284E-01
 2.500E+02, 2.124E+02, 9.782E-01
 2.600E+02, 2.045E+02, 9.848E-01
 2.700E+02, 2.196E+02, 1.049E+00
 2.800E+02, 2.047E+02, 8.943E-01
 2.900E+02, 2.197E+02, 9.545E-01
 3.000E+02, 2.250E+02, 1.022E+00
 3.100E+02, 2.308E+02, 9.875E-01
 3.200E+02, 2.296E+02, 9.611E-01
 3.300E+02, 2.263E+02, 1.024E+00
 3.400E+02, 2.163E+02, 9.689E-01
 3.500E+02, 2.169E+02, 9.497E-01
 3.600E+02, 2.060E+02, 9.151E-01
 3.700E+02, 1.956E+02, 9.167E-01
 3.800E+02, 2.155E+02, 8.697E-01
 3.900E+02, 2.173E+02, 9.360E-01
 4.000E+02, 2.171E+02, 9.524E-01
 4.100E+02, 2.320E+02, 1.026E+00
 4.200E+02, 2.513E+02, 9.909E-01
 4.300E+02, 2.532E+02, 1.036E+00
 4.400E+02, 2.502E+02, 1.113E+00
 4.500E+02, 2.386E+02, 1.005E+00
 4.600E+02, 2.355E+02, 9.898E-01
 4.700E+02, 2.364E+02, 9.732E-01
 4.800E+02, 2.191E+02, 9.863E-01
 4.900E+02, 2.285E+02, 9.591E-01
 5.000E+02, 2.182E+02, 9.218E-01
 5.100E+02, 2.104E+02, 8.568E-01
 5.200E+02, 2.163E+02, 8.198E-01
 5.300E+02, 2.262E+02, 9.301E-01
 5.400E+02, 2.232E+02, 9.213E-01
 5.500E+02, 2.207E+02, 9.082E-01
 5.600E+02, 2.232E+02, 8.683E-01
 5.700E+02, 2.208E+02, 8.927E-01
 5.800E+02, 2.265E+02, 9.743E-01
 5.900E+02, 2.389E+02, 9.733E-01
 6.000E+02, 2.314E+02, 9.464E-01
 6.100E+02, 2.257E+02, 9.532E-01
 6.200E+02, 2.208E+02, 9.621E-01
 6.300E+02, 2.292E+02, 9.740E-01
 6.400E+02, 2.315E+02, 9.210E-01
 6.500E+02, 2.309E+02, 9.639E-01
 6.600E+02, 2.280E+02, 9.527E-01
 6.700E+02, 2.502E+02, 9.937E-01
 6.800E+02, 2.464E+02, 1.075E+00
 6.900E+02, 2.265E+02, 9.296E-01
 7.000E+02, 2.237E+02, 8.997E-01
 7.100E+02, 2.308E+02, 9.333E-01
 7.200E+02, 2.350E+02, 9.510E-01
 7.300E+02, 2.510E+02, 9.493E-01
 7.400E+02, 2.469E+02, 9.700E-01
 7.500E+02, 2.226E+02, 9.099E-01
 7.600E+02, 2.342E+02, 9.335E-01
 7.700E+02, 2.304E+02, 9.577E-01
 7.800E+02, 2.304E+02, 9.634E-01
 7.900E+02, 2.134E+02, 9.443E-01
 8.000E+02, 2.179E+02, 8.642E-01
 8.100E+02, 2.151E+02, 8.352E-01
 8.200E+02, 2.119E+02, 8.282E-01
 8.300E+02, 2.125E+02, 8.686E-01
 8.400E+02, 2.171E+02, 9.247E-01
 8.500E+02, 2.388E+02, 9.018E-01
 8.600E+02, 2.177E+02, 9.033E-01
 8.700E+02, 2.246E+02, 9.292E-01
 8.800E+02, 2.323E+02, 9.272E-01
 8.900E+02, 2.248E+02, 8.619E-01
 9.000E+02, 2.141E+02, 9.474E-01
 9.100E+02, 2.281E+02, 8.912E-01
 9.200E+02, 2.235E+02, 9.020E-01
 9.300E+02, 2.286E+02, 9.398E-01
 9.400E+02, 2.428E+02, 9.957E-01
 9.500E+02, 2.363E+02, 9.934E-01
 9.600E+02, 2.454E+02, 1.005E+00
