s,C,m
Time,"HGL Temp","HGL Height"
 0.000E+00, 1.700E+01, 2.267E+00
 1.005E+01, 1.700E+01, 1.829E+00
 2.002E+01, 1.701E+01, 1.780E+00
 3.002E+01, 1.702E+01, 6.936E-01
 4.001E+01, 1.920E+01, 7.883E-01
 5.002E+01, 3.660E+01, 1.713E+00
 6.004E+01, 3.937E+01, 1.569E+00
 7.007E+01, 4.062E+01, 1.483E+00
 8.003E+01, 4.119E+01, 1.408E+00
 9.003E+01, 4.155E+01, 1.309E+00
 1.000E+02, 4.577E+01, 1.297E+00
 1.101E+02, 4.657E+01, 1.072E+00
 1.201E+02, 4.900E+01, 1.074E+00
 1.301E+02, 4.470E+01, 1.297E+00
 1.400E+02, 4.856E+01, 1.153E+00
 1.501E+02, 4.817E+01, 1.127E+00
 1.600E+02, 5.000E+01, 1.204E+00
 1.700E+02, 5.432E+01, 1.194E+00
 1.800E+02, 5.931E+01, 1.186E+00
 1.900E+02, 5.256E+01, 1.179E+00
 2.000E+02, 5.660E+01, 1.053E+00
 2.100E+02, 5.573E+01, 1.045E+00
 2.200E+02, 5.924E+01, 9.854E-01
 2.300E+02, 6.034E+01, 9.103E-01
 2.401E+02, 5.941E+01, 9.999E-01
 2.500E+02, 6.088E+01, 1.069E+00
 2.600E+02, 6.340E+01, 1.049E+00
 2.700E+02, 6.379E+01, 1.040E+00
 2.801E+02, 6.386E+01, 1.082E+00
 2.900E+02, 6.485E+01, 1.072E+00
 3.001E+02, 6.250E+01, 1.007E+00
 3.100E+02, 6.246E+01, 9.456E-01
 3.200E+02, 6.189E+01, 8.890E-01
 3.300E+02, 6.642E+01, 8.634E-01
 3.401E+02, 6.479E+01, 9.506E-01
 3.500E+02, 6.655E+01, 9.296E-01
 3.600E+02, 7.035E+01, 9.401E-01
 3.701E+02, 6.774E+01, 9.924E-01
 3.801E+02, 6.901E+01, 1.005E+00
 3.900E+02, 6.694E+01, 9.606E-01
 4.001E+02, 6.977E+01, 1.021E+00
 4.100E+02, 6.840E+01, 1.045E+00
 4.200E+02, 7.375E+01, 9.895E-01
 4.300E+02, 7.293E+01, 9.772E-01
 4.401E+02, 7.308E+01, 9.988E-01
 4.500E+02, 7.309E+01, 1.013E+00
 4.600E+02, 7.228E+01, 1.001E+00
 4.701E+02, 7.669E+01, 1.064E+00
 4.801E+02, 7.974E+01, 1.165E+00
 4.900E+02, 8.116E+01, 1.136E+00
 5.000E+02, 8.030E+01, 1.116E+00
 5.100E+02, 7.741E+01, 1.043E+00
 5.200E+02, 8.024E+01, 1.050E+00
 5.300E+02, 7.872E+01, 1.081E+00
 5.401E+02, 7.783E+01, 1.062E+00
 5.500E+02, 7.943E+01, 1.087E+00
 5.601E+02, 7.748E+01, 1.099E+00
 5.700E+02, 7.978E+01, 1.037E+00
 5.800E+02, 7.585E+01, 1.001E+00
 5.900E+02, 7.808E+01, 1.026E+00
 6.000E+02, 7.728E+01, 1.058E+00
 6.100E+02, 8.061E+01, 1.050E+00
 6.200E+02, 8.073E+01, 1.059E+00
 6.300E+02, 8.023E+01, 1.058E+00
 6.400E+02, 7.824E+01, 1.051E+00
 6.501E+02, 8.311E+01, 1.075E+00
 6.601E+02, 8.307E+01, 1.100E+00
 6.701E+02, 8.229E+01, 1.065E+00
 6.800E+02, 8.040E+01, 1.077E+00
 6.900E+02, 8.089E+01, 1.032E+00
 7.001E+02, 7.870E+01, 9.887E-01
 7.100E+02, 7.529E+01, 1.018E+00
 7.201E+02, 7.634E+01, 1.034E+00
 7.300E+02, 7.866E+01, 1.044E+00
 7.400E+02, 7.792E+01, 9.910E-01
 7.500E+02, 7.699E+01, 9.111E-01
 7.600E+02, 7.654E+01, 9.290E-01
 7.701E+02, 7.841E+01, 9.362E-01
 7.801E+02, 7.822E+01, 9.968E-01
 7.901E+02, 7.638E+01, 1.021E+00
 8.000E+02, 7.826E+01, 9.703E-01
 8.100E+02, 7.721E+01, 9.950E-01
 8.200E+02, 8.321E+01, 9.782E-01
 8.300E+02, 8.148E+01, 1.044E+00
 8.401E+02, 7.975E+01, 1.043E+00
 8.500E+02, 8.192E+01, 9.716E-01
 8.600E+02, 8.038E+01, 9.889E-01
