m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 4.453E+01, 2.000E-02, 3.135E+01,-8.442E-01
 6.860E-02, 4.574E+01, 6.865E-02, 3.045E+01,-8.359E-01
 1.172E-01, 4.699E+01, 1.173E-01, 3.025E+01,-8.345E-01
 1.658E-01, 4.833E+01, 1.659E-01, 3.023E+01,-8.256E-01
 2.144E-01, 4.953E+01, 2.146E-01, 3.023E+01,-8.129E-01
 2.630E-01, 4.987E+01, 2.632E-01, 3.024E+01,-7.946E-01
 3.116E-01, 4.952E+01, 3.119E-01, 3.025E+01,-7.806E-01
 3.602E-01, 4.910E+01, 3.605E-01, 3.027E+01,-7.564E-01
 4.088E-01, 4.976E+01, 4.092E-01, 3.030E+01,-7.328E-01
 4.574E-01, 5.118E+01, 4.578E-01, 3.033E+01,-7.076E-01
 5.060E-01, 5.325E+01, 5.065E-01, 3.036E+01,-6.785E-01
 5.547E-01, 5.594E+01, 5.551E-01, 3.039E+01,-6.454E-01
 6.033E-01, 5.852E+01, 6.038E-01, 3.042E+01,-6.016E-01
 6.519E-01, 6.032E+01, 6.524E-01, 3.045E+01,-5.651E-01
 7.005E-01, 6.159E+01, 7.011E-01, 3.048E+01,-5.299E-01
 7.491E-01, 6.240E+01, 7.497E-01, 3.051E+01,-4.987E-01
 7.977E-01, 6.321E+01, 7.984E-01, 3.053E+01,-4.459E-01
 8.463E-01, 6.376E+01, 8.470E-01, 3.057E+01,-4.114E-01
 8.949E-01, 6.439E+01, 8.957E-01, 3.102E+01,-3.831E-01
 9.435E-01, 6.532E+01, 9.443E-01, 3.423E+01,-3.160E-01
 9.921E-01, 6.776E+01, 9.930E-01, 4.339E+01,-1.571E-01
 1.041E+00, 7.941E+01, 1.042E+00, 5.453E+01, 1.397E-01
 1.089E+00, 9.674E+01, 1.090E+00, 6.397E+01, 3.183E-01
 1.138E+00, 1.175E+02, 1.139E+00, 7.467E+01, 5.388E-01
 1.187E+00, 1.487E+02, 1.188E+00, 8.491E+01, 6.391E-01
 1.235E+00, 1.782E+02, 1.236E+00, 1.015E+02, 7.912E-01
 1.284E+00, 1.952E+02, 1.285E+00, 1.238E+02, 9.589E-01
 1.332E+00, 2.021E+02, 1.334E+00, 1.396E+02, 1.074E+00
 1.381E+00, 2.053E+02, 1.382E+00, 1.524E+02, 1.205E+00
 1.430E+00, 2.074E+02, 1.431E+00, 1.601E+02, 1.321E+00
 1.478E+00, 2.107E+02, 1.479E+00, 1.706E+02, 1.455E+00
 1.527E+00, 2.136E+02, 1.528E+00, 1.794E+02, 1.568E+00
 1.575E+00, 2.151E+02, 1.577E+00, 1.828E+02, 1.657E+00
 1.624E+00, 2.161E+02, 1.625E+00, 1.884E+02, 1.752E+00
 1.673E+00, 2.167E+02, 1.674E+00, 1.989E+02, 1.967E+00
 1.721E+00, 2.167E+02, 1.723E+00, 2.072E+02, 2.246E+00
 1.770E+00, 2.168E+02, 1.771E+00, 2.127E+02, 2.386E+00
 1.818E+00, 2.173E+02, 1.820E+00, 2.147E+02, 1.655E+00
 1.867E+00, 2.180E+02,NaN,NaN,NaN
 1.916E+00, 2.185E+02,NaN,NaN,NaN
 1.964E+00, 2.189E+02,NaN,NaN,NaN
 2.013E+00, 2.194E+02,NaN,NaN,NaN
 2.061E+00, 2.199E+02,NaN,NaN,NaN
 2.110E+00, 2.171E+02,NaN,NaN,NaN
