s,C,m
Time,"HGL Temp","HGL Height"
 0.000E+00, 2.700E+01, 2.130E+00
 1.004E+01, 2.700E+01, 2.130E+00
 2.001E+01, 2.703E+01, 2.130E+00
 3.005E+01, 2.708E+01, 2.130E+00
 4.004E+01, 5.346E+01, 2.016E+00
 5.001E+01, 7.922E+01, 1.396E+00
 6.003E+01, 7.748E+01, 7.322E-01
 7.005E+01, 7.886E+01, 7.967E-01
 8.002E+01, 7.839E+01, 1.103E+00
 9.003E+01, 8.117E+01, 1.330E+00
 1.000E+02, 8.652E+01, 1.405E+00
 1.100E+02, 9.410E+01, 1.340E+00
 1.200E+02, 1.039E+02, 1.299E+00
 1.301E+02, 1.079E+02, 1.246E+00
 1.400E+02, 1.181E+02, 1.151E+00
 1.500E+02, 1.201E+02, 1.196E+00
 1.600E+02, 1.200E+02, 1.249E+00
 1.700E+02, 1.218E+02, 1.225E+00
 1.800E+02, 1.196E+02, 1.124E+00
 1.901E+02, 1.253E+02, 1.089E+00
 2.000E+02, 1.304E+02, 1.025E+00
 2.100E+02, 1.339E+02, 1.117E+00
 2.200E+02, 1.312E+02, 1.134E+00
 2.300E+02, 1.281E+02, 1.140E+00
 2.400E+02, 1.271E+02, 1.066E+00
 2.500E+02, 1.312E+02, 1.021E+00
 2.600E+02, 1.310E+02, 1.065E+00
 2.700E+02, 1.404E+02, 1.082E+00
 2.800E+02, 1.430E+02, 1.101E+00
 2.901E+02, 1.472E+02, 1.126E+00
 3.000E+02, 1.463E+02, 1.110E+00
 3.100E+02, 1.479E+02, 1.085E+00
 3.200E+02, 1.526E+02, 1.179E+00
 3.300E+02, 1.536E+02, 1.190E+00
 3.400E+02, 1.536E+02, 1.124E+00
 3.500E+02, 1.545E+02, 1.212E+00
 3.600E+02, 1.526E+02, 1.246E+00
 3.700E+02, 1.563E+02, 1.189E+00
 3.800E+02, 1.559E+02, 1.072E+00
 3.900E+02, 1.528E+02, 1.171E+00
 4.000E+02, 1.543E+02, 1.251E+00
 4.100E+02, 1.612E+02, 1.208E+00
 4.200E+02, 1.688E+02, 1.200E+00
 4.300E+02, 1.598E+02, 1.239E+00
 4.400E+02, 1.606E+02, 1.215E+00
 4.500E+02, 1.631E+02, 1.183E+00
 4.600E+02, 1.644E+02, 1.158E+00
 4.700E+02, 1.598E+02, 1.104E+00
