m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 2.285E+01, 2.000E-02, 1.486E+01,-4.673E-01
 6.860E-02, 2.235E+01, 6.865E-02, 1.420E+01,-4.776E-01
 1.172E-01, 2.243E+01, 1.173E-01, 1.410E+01,-4.852E-01
 1.658E-01, 2.268E+01, 1.659E-01, 1.410E+01,-4.949E-01
 2.144E-01, 2.305E+01, 2.146E-01, 1.411E+01,-4.955E-01
 2.630E-01, 2.360E+01, 2.632E-01, 1.412E+01,-4.933E-01
 3.116E-01, 2.408E+01, 3.119E-01, 1.412E+01,-4.834E-01
 3.602E-01, 2.430E+01, 3.605E-01, 1.413E+01,-4.828E-01
 4.088E-01, 2.445E+01, 4.092E-01, 1.414E+01,-4.652E-01
 4.574E-01, 2.468E+01, 4.578E-01, 1.414E+01,-4.592E-01
 5.060E-01, 2.500E+01, 5.065E-01, 1.416E+01,-4.521E-01
 5.547E-01, 2.537E+01, 5.551E-01, 1.417E+01,-4.404E-01
 6.033E-01, 2.590E+01, 6.038E-01, 1.418E+01,-4.307E-01
 6.519E-01, 2.639E+01, 6.524E-01, 1.418E+01,-4.233E-01
 7.005E-01, 2.694E+01, 7.011E-01, 1.419E+01,-4.039E-01
 7.491E-01, 2.728E+01, 7.497E-01, 1.419E+01,-3.902E-01
 7.977E-01, 2.764E+01, 7.984E-01, 1.420E+01,-3.815E-01
 8.463E-01, 2.800E+01, 8.470E-01, 1.421E+01,-3.689E-01
 8.949E-01, 2.849E+01, 8.957E-01, 1.446E+01,-3.472E-01
 9.435E-01, 2.920E+01, 9.443E-01, 1.575E+01,-3.129E-01
 9.921E-01, 3.055E+01, 9.930E-01, 1.774E+01,-2.223E-01
 1.041E+00, 3.365E+01, 1.042E+00, 2.002E+01,-1.459E-01
 1.089E+00, 3.869E+01, 1.090E+00, 2.383E+01,-1.633E-02
 1.138E+00, 4.700E+01, 1.139E+00, 2.884E+01, 2.222E-01
 1.187E+00, 5.750E+01, 1.188E+00, 3.483E+01, 3.432E-01
 1.235E+00, 7.171E+01, 1.236E+00, 4.419E+01, 5.136E-01
 1.284E+00, 8.581E+01, 1.285E+00, 5.452E+01, 5.765E-01
 1.332E+00, 9.467E+01, 1.334E+00, 6.832E+01, 6.960E-01
 1.381E+00, 1.009E+02, 1.382E+00, 8.483E+01, 7.820E-01
 1.430E+00, 1.071E+02, 1.431E+00, 9.900E+01, 8.457E-01
 1.478E+00, 1.151E+02, 1.479E+00, 1.070E+02, 9.309E-01
 1.527E+00, 1.224E+02, 1.528E+00, 1.108E+02, 1.018E+00
 1.575E+00, 1.266E+02, 1.577E+00, 1.129E+02, 1.124E+00
 1.624E+00, 1.300E+02, 1.625E+00, 1.137E+02, 1.203E+00
 1.673E+00, 1.335E+02, 1.674E+00, 1.173E+02, 1.342E+00
 1.721E+00, 1.360E+02, 1.723E+00, 1.227E+02, 1.500E+00
 1.770E+00, 1.372E+02, 1.771E+00, 1.274E+02, 1.698E+00
 1.818E+00, 1.376E+02, 1.820E+00, 1.296E+02, 1.453E+00
 1.867E+00, 1.379E+02,NaN,NaN,NaN
 1.916E+00, 1.382E+02,NaN,NaN,NaN
 1.964E+00, 1.385E+02,NaN,NaN,NaN
 2.013E+00, 1.395E+02,NaN,NaN,NaN
 2.061E+00, 1.405E+02,NaN,NaN,NaN
 2.110E+00, 1.386E+02,NaN,NaN,NaN
