m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 3.672E+01, 2.000E-02, 2.644E+01,-7.199E-01
 6.860E-02, 3.718E+01, 6.865E-02, 2.535E+01,-7.180E-01
 1.172E-01, 3.832E+01, 1.173E-01, 2.519E+01,-7.085E-01
 1.658E-01, 3.974E+01, 1.659E-01, 2.519E+01,-7.028E-01
 2.144E-01, 4.059E+01, 2.146E-01, 2.519E+01,-6.922E-01
 2.630E-01, 4.135E+01, 2.632E-01, 2.520E+01,-6.772E-01
 3.116E-01, 4.202E+01, 3.119E-01, 2.521E+01,-6.657E-01
 3.602E-01, 4.251E+01, 3.605E-01, 2.522E+01,-6.490E-01
 4.088E-01, 4.324E+01, 4.092E-01, 2.523E+01,-6.356E-01
 4.574E-01, 4.408E+01, 4.578E-01, 2.524E+01,-6.153E-01
 5.060E-01, 4.486E+01, 5.065E-01, 2.526E+01,-5.919E-01
 5.547E-01, 4.566E+01, 5.551E-01, 2.528E+01,-5.726E-01
 6.033E-01, 4.664E+01, 6.038E-01, 2.531E+01,-5.514E-01
 6.519E-01, 4.782E+01, 6.524E-01, 2.535E+01,-5.200E-01
 7.005E-01, 4.904E+01, 7.011E-01, 2.539E+01,-4.982E-01
 7.491E-01, 4.999E+01, 7.497E-01, 2.541E+01,-4.694E-01
 7.977E-01, 5.066E+01, 7.984E-01, 2.544E+01,-4.269E-01
 8.463E-01, 5.132E+01, 8.470E-01, 2.551E+01,-4.014E-01
 8.949E-01, 5.188E+01, 8.957E-01, 2.650E+01,-3.572E-01
 9.435E-01, 5.256E+01, 9.443E-01, 2.989E+01,-2.878E-01
 9.921E-01, 5.330E+01, 9.930E-01, 3.469E+01,-1.778E-01
 1.041E+00, 5.612E+01, 1.042E+00, 4.159E+01,-6.669E-03
 1.089E+00, 6.666E+01, 1.090E+00, 4.754E+01, 2.511E-01
 1.138E+00, 9.097E+01, 1.139E+00, 5.447E+01, 3.893E-01
 1.187E+00, 1.258E+02, 1.188E+00, 6.152E+01, 4.761E-01
 1.235E+00, 1.545E+02, 1.236E+00, 7.402E+01, 6.312E-01
 1.284E+00, 1.770E+02, 1.285E+00, 9.118E+01, 7.831E-01
 1.332E+00, 1.887E+02, 1.334E+00, 1.110E+02, 9.422E-01
 1.381E+00, 1.921E+02, 1.382E+00, 1.316E+02, 1.094E+00
 1.430E+00, 1.922E+02, 1.431E+00, 1.455E+02, 1.198E+00
 1.478E+00, 1.932E+02, 1.479E+00, 1.522E+02, 1.292E+00
 1.527E+00, 1.946E+02, 1.528E+00, 1.557E+02, 1.383E+00
 1.575E+00, 1.954E+02, 1.577E+00, 1.598E+02, 1.467E+00
 1.624E+00, 1.961E+02, 1.625E+00, 1.638E+02, 1.585E+00
 1.673E+00, 1.964E+02, 1.674E+00, 1.711E+02, 1.765E+00
 1.721E+00, 1.964E+02, 1.723E+00, 1.818E+02, 1.988E+00
 1.770E+00, 1.963E+02, 1.771E+00, 1.915E+02, 2.199E+00
 1.818E+00, 1.964E+02, 1.820E+00, 1.942E+02, 1.573E+00
 1.867E+00, 1.965E+02,NaN,NaN,NaN
 1.916E+00, 1.961E+02,NaN,NaN,NaN
 1.964E+00, 1.965E+02,NaN,NaN,NaN
 2.013E+00, 1.973E+02,NaN,NaN,NaN
 2.061E+00, 1.987E+02,NaN,NaN,NaN
 2.110E+00, 1.974E+02,NaN,NaN,NaN
