m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 1.159E+02, 2.000E-02, 7.000E+00, 0.000E+00
 6.860E-02, 1.165E+02, 6.865E-02, 7.000E+00, 0.000E+00
 1.172E-01, 1.182E+02, 1.173E-01, 7.000E+00, 0.000E+00
 1.658E-01, 1.192E+02, 1.659E-01, 7.000E+00, 0.000E+00
 2.144E-01, 1.206E+02, 2.146E-01, 7.000E+00, 0.000E+00
 2.630E-01, 1.220E+02, 2.632E-01, 7.000E+00, 0.000E+00
 3.116E-01, 1.243E+02, 3.119E-01, 7.000E+00, 0.000E+00
 3.602E-01, 1.267E+02, 3.605E-01, 7.000E+00, 0.000E+00
 4.088E-01, 1.279E+02, 4.092E-01, 7.000E+00, 0.000E+00
 4.574E-01, 1.295E+02, 4.578E-01, 7.000E+00, 0.000E+00
 5.060E-01, 1.321E+02, 5.065E-01, 7.000E+00, 0.000E+00
 5.547E-01, 1.350E+02, 5.551E-01, 7.000E+00, 0.000E+00
 6.033E-01, 1.375E+02, 6.038E-01, 7.000E+00, 0.000E+00
 6.519E-01, 1.409E+02, 6.524E-01, 7.000E+00, 0.000E+00
 7.005E-01, 1.443E+02, 7.011E-01, 7.000E+00, 0.000E+00
 7.491E-01, 1.475E+02, 7.497E-01, 7.000E+00, 0.000E+00
 7.977E-01, 1.501E+02, 7.984E-01, 7.000E+00, 0.000E+00
 8.463E-01, 1.545E+02, 8.470E-01, 7.000E+00, 0.000E+00
 8.949E-01, 1.620E+02, 8.957E-01, 7.000E+00, 0.000E+00
 9.435E-01, 1.738E+02, 9.443E-01, 7.000E+00, 0.000E+00
 9.921E-01, 1.827E+02, 9.930E-01, 7.000E+00, 0.000E+00
 1.041E+00, 1.933E+02, 1.042E+00, 7.000E+00, 0.000E+00
 1.089E+00, 2.046E+02, 1.090E+00, 7.000E+00, 0.000E+00
 1.138E+00, 2.110E+02, 1.139E+00, 7.000E+00, 0.000E+00
 1.187E+00, 2.156E+02, 1.188E+00, 7.000E+00, 0.000E+00
 1.235E+00, 2.225E+02, 1.236E+00, 7.000E+00, 0.000E+00
 1.284E+00, 2.291E+02, 1.285E+00, 7.000E+00, 0.000E+00
 1.332E+00, 2.356E+02, 1.334E+00, 7.000E+00, 0.000E+00
 1.381E+00, 2.420E+02, 1.382E+00, 7.519E+00,-8.184E-01
 1.430E+00, 2.452E+02, 1.431E+00, 7.272E+00,-8.816E-01
 1.478E+00, 2.494E+02, 1.479E+00, 8.499E+00,-6.266E-01
 1.527E+00, 2.532E+02, 1.528E+00, 1.845E+01,-3.701E-01
 1.575E+00, 2.554E+02, 1.577E+00, 4.113E+01,-4.431E-01
 1.624E+00, 2.578E+02, 1.625E+00, 1.120E+02, 1.738E-01
 1.673E+00, 2.603E+02, 1.674E+00, 1.837E+02, 8.038E-01
 1.721E+00, 2.625E+02, 1.723E+00, 2.268E+02, 1.297E+00
 1.770E+00, 2.643E+02, 1.771E+00, 2.395E+02, 1.590E+00
 1.818E+00, 2.655E+02, 1.820E+00, 2.443E+02, 1.781E+00
 1.867E+00, 2.670E+02,NaN,NaN,NaN
 1.916E+00, 2.685E+02,NaN,NaN,NaN
 1.964E+00, 2.685E+02,NaN,NaN,NaN
 2.013E+00, 2.683E+02,NaN,NaN,NaN
 2.061E+00, 2.682E+02,NaN,NaN,NaN
 2.110E+00, 2.640E+02,NaN,NaN,NaN
