s,C,m
Time,"HGL Temp","HGL Height"
 1.320E+03, 7.818E+01, 6.061E-01
 1.330E+03, 7.763E+01, 6.386E-01
 1.340E+03, 7.857E+01, 5.594E-01
 1.350E+03, 7.958E+01, 4.990E-01
 1.360E+03, 7.793E+01, 5.076E-01
 1.370E+03, 7.640E+01, 5.490E-01
 1.380E+03, 7.805E+01, 5.662E-01
 1.390E+03, 7.926E+01, 5.905E-01
 1.400E+03, 7.891E+01, 5.745E-01
 1.410E+03, 7.855E+01, 5.517E-01
 1.420E+03, 7.781E+01, 5.076E-01
 1.430E+03, 7.823E+01, 5.169E-01
 1.440E+03, 7.869E+01, 5.323E-01
 1.450E+03, 7.911E+01, 5.052E-01
 1.460E+03, 8.089E+01, 5.063E-01
 1.470E+03, 8.058E+01, 5.564E-01
 1.480E+03, 7.750E+01, 6.283E-01
 1.490E+03, 7.664E+01, 6.322E-01
 1.500E+03, 7.857E+01, 5.815E-01
 1.510E+03, 7.959E+01, 5.415E-01
 1.520E+03, 7.896E+01, 5.114E-01
 1.530E+03, 7.829E+01, 5.286E-01
 1.540E+03, 7.787E+01, 5.251E-01
 1.550E+03, 7.900E+01, 5.502E-01
 1.560E+03, 7.957E+01, 5.786E-01
 1.570E+03, 8.075E+01, 6.059E-01
 1.580E+03, 8.065E+01, 5.970E-01
 1.590E+03, 7.886E+01, 5.844E-01
 1.600E+03, 7.799E+01, 6.013E-01
 1.610E+03, 7.736E+01, 5.917E-01
 1.620E+03, 8.006E+01, 5.914E-01
 1.630E+03, 8.053E+01, 5.862E-01
 1.640E+03, 7.982E+01, 5.695E-01
 1.650E+03, 7.832E+01, 5.403E-01
 1.660E+03, 7.887E+01, 5.340E-01
 1.670E+03, 7.991E+01, 5.252E-01
 1.680E+03, 7.931E+01, 5.604E-01
 1.690E+03, 7.965E+01, 5.738E-01
 1.700E+03, 7.929E+01, 5.897E-01
 1.710E+03, 7.794E+01, 5.737E-01
 1.720E+03, 7.781E+01, 5.227E-01
 1.730E+03, 7.864E+01, 4.996E-01
 1.740E+03, 7.819E+01, 5.110E-01
 1.750E+03, 7.617E+01, 5.115E-01
 1.760E+03, 7.849E+01, 6.064E-01
 1.770E+03, 8.019E+01, 6.245E-01
 1.780E+03, 8.201E+01, 6.217E-01
 1.790E+03, 8.037E+01, 5.932E-01
 1.800E+03, 7.990E+01, 5.880E-01
