m,kW/m,m,kW
z_HRRPUL,HRRPUL,z_HRRPUL,HRRPUL
 5.0000000E-001, 1.9158883E+005, 5.0000000E-001, 1.8969685E+005
 1.5000000E+000, 1.7744934E+005, 1.5000000E+000, 1.7543211E+005
 2.5000000E+000, 1.1678709E+005, 2.5000000E+000, 1.1378232E+005
 3.5000000E+000, 8.5257407E+004, 3.5000000E+000, 8.0445565E+004
 4.5000000E+000, 7.1648527E+004, 4.5000000E+000, 6.4049618E+004
 5.5000000E+000, 6.4926648E+004, 5.5000000E+000, 5.3625347E+004
 6.5000000E+000, 6.1795358E+004, 6.5000000E+000, 4.6244291E+004
 7.5000000E+000, 6.0317153E+004, 7.5000000E+000, 4.0190383E+004
 8.5000000E+000, 5.9945292E+004, 8.5000000E+000, 3.5062403E+004
 9.5000000E+000, 6.0869005E+004, 9.5000000E+000, 3.1002619E+004
 1.0500000E+001, 6.1894062E+004, 1.0500000E+001, 2.7140340E+004
 1.1500000E+001, 6.3324916E+004, 1.1500000E+001, 2.3557317E+004
 1.2500000E+001, 6.4914425E+004, 1.2500000E+001, 2.0302849E+004
 1.3500000E+001, 6.5563114E+004, 1.3500000E+001, 1.6858532E+004
 1.4500000E+001, 6.6172813E+004, 1.4500000E+001, 1.3648260E+004
 1.5500000E+001, 6.6727315E+004, 1.5500000E+001, 1.0580310E+004
 1.6500000E+001, 6.6780130E+004, 1.6500000E+001, 8.3301470E+003
 1.7500000E+001, 6.5779251E+004, 1.7500000E+001, 6.5538495E+003
 1.8500000E+001, 6.4232940E+004, 1.8500000E+001, 5.2072093E+003
 1.9500000E+001, 6.2881265E+004, 1.9500000E+001, 4.2305891E+003
 2.0500000E+001, 6.1186250E+004, 2.0500000E+001, 3.4405434E+003
 2.1500000E+001, 5.9342753E+004, 2.1500000E+001, 2.7100935E+003
 2.2500000E+001, 5.7423213E+004, 2.2500000E+001, 2.1653200E+003
 2.3500000E+001, 5.5530603E+004, 2.3500000E+001, 1.8171585E+003
 2.4500000E+001, 5.3329785E+004, 2.4500000E+001, 1.5757563E+003
 2.5500000E+001, 5.1000130E+004, 2.5500000E+001, 1.3627096E+003
 2.6500000E+001, 4.8075644E+004, 2.6500000E+001, 1.1591367E+003
 2.7500000E+001, 4.4935775E+004, 2.7500000E+001, 1.0125461E+003
 2.8500000E+001, 4.1357948E+004, 2.8500000E+001, 8.9196579E+002
 2.9500000E+001, 3.7904220E+004, 2.9500000E+001, 7.2059971E+002
 3.0500000E+001, 3.4277958E+004, 3.0500000E+001, 5.1938968E+002
 3.1500000E+001, 3.0696946E+004, 3.1500000E+001, 3.5661498E+002
 3.2500000E+001, 2.7391642E+004, 3.2500000E+001, 2.2756183E+002
 3.3500000E+001, 2.4369213E+004, 3.3500000E+001, 1.4614313E+002
 3.4500000E+001, 2.1650287E+004, 3.4500000E+001, 9.5950999E+001
 3.5500000E+001, 1.9012556E+004, 3.5500000E+001, 6.0557598E+001
 3.6500000E+001, 1.6517185E+004, 3.6500000E+001, 3.5628950E+001
 3.7500000E+001, 1.4330276E+004, 3.7500000E+001, 2.0899197E+001
 3.8500000E+001, 1.2504735E+004, 3.8500000E+001, 1.3108341E+001
 3.9500000E+001, 1.0824126E+004, 3.9500000E+001, 8.1362855E+000
 4.0500000E+001, 9.2433125E+003, 4.0500000E+001, 4.9593314E+000
 4.1500000E+001, 7.7402295E+003, 4.1500000E+001, 3.0635602E+000
 4.2500000E+001, 6.3911115E+003, 4.2500000E+001, 1.9208805E+000
 4.3500000E+001, 5.2406799E+003, 4.3500000E+001, 1.1521220E+000
 4.4500000E+001, 4.3443085E+003, 4.4500000E+001, 6.4336083E-001
 4.5500000E+001, 3.5990654E+003, 4.5500000E+001, 3.5532251E-001
 4.6500000E+001, 2.9793950E+003, 4.6500000E+001, 2.0896946E-001
 4.7500000E+001, 2.4621842E+003, 4.7500000E+001, 1.3278576E-001
 4.8500000E+001, 2.0062214E+003, 4.8500000E+001, 9.2324165E-002
 4.9500000E+001, 1.6121257E+003, 4.9500000E+001, 7.7698476E-002
 5.0500000E+001, 1.2696478E+003, 5.0500000E+001, 6.8535408E-002
 5.1500000E+001, 9.7658884E+002, 5.1500000E+001, 4.6494961E-002
 5.2500000E+001, 7.6368198E+002, 5.2500000E+001, 2.3983453E-002
 5.3500000E+001, 6.0706568E+002, 5.3500000E+001, 1.1356614E-002
 5.4500000E+001, 4.8824140E+002, 5.4500000E+001, 5.6684118E-003
 5.5500000E+001, 3.9664844E+002, 5.5500000E+001, 2.7703378E-003
 5.6500000E+001, 3.1275551E+002, 5.6500000E+001, 1.3283522E-003
 5.7500000E+001, 2.3877342E+002, 5.7500000E+001, 5.6735863E-004
 5.8500000E+001, 1.8109170E+002, 5.8500000E+001, 2.1998749E-004
 5.9500000E+001, 1.3572821E+002, 5.9500000E+001, 8.3526779E-005
 6.0500000E+001, 1.0108988E+002, 6.0500000E+001, 3.3440970E-005
 6.1500000E+001, 7.3987708E+001, 6.1500000E+001, 1.0996627E-005
 6.2500000E+001, 5.3764678E+001, 6.2500000E+001, 8.2900706E-007
 6.3500000E+001, 3.8276273E+001, 6.3500000E+001, 0.0000000E+000
 6.4500000E+001, 2.6527192E+001, 6.4500000E+001, 0.0000000E+000
 6.5500000E+001, 1.8541993E+001, 6.5500000E+001, 0.0000000E+000
 6.6500000E+001, 1.3020741E+001, 6.6500000E+001, 0.0000000E+000
 6.7500000E+001, 9.1990767E+000, 6.7500000E+001, 0.0000000E+000
 6.8500000E+001, 6.4456813E+000, 6.8500000E+001, 0.0000000E+000
 6.9500000E+001, 4.6130267E+000, 6.9500000E+001, 0.0000000E+000
 7.0500000E+001, 3.4647435E+000, 7.0500000E+001, 0.0000000E+000
 7.1500000E+001, 2.6236499E+000, 7.1500000E+001, 0.0000000E+000
 7.2500000E+001, 2.0913275E+000, 7.2500000E+001, 0.0000000E+000
 7.3500000E+001, 1.5788927E+000, 7.3500000E+001, 0.0000000E+000
 7.4500000E+001, 1.1723196E+000, 7.4500000E+001, 0.0000000E+000
 7.5500000E+001, 8.8244455E-001, 7.5500000E+001, 0.0000000E+000
 7.6500000E+001, 6.8949538E-001, 7.6500000E+001, 0.0000000E+000
 7.7500000E+001, 5.6153069E-001, 7.7500000E+001, 0.0000000E+000
 7.8500000E+001, 4.4167654E-001, 7.8500000E+001, 0.0000000E+000
 7.9500000E+001, 3.4288016E-001, 7.9500000E+001, 0.0000000E+000
 8.0500000E+001, 2.6330140E-001, 8.0500000E+001, 0.0000000E+000
 8.1500000E+001, 1.9816220E-001, 8.1500000E+001, 0.0000000E+000
 8.2500000E+001, 1.4577386E-001, 8.2500000E+001, 0.0000000E+000
 8.3500000E+001, 1.1114655E-001, 8.3500000E+001, 0.0000000E+000
 8.4500000E+001, 8.3010888E-002, 8.4500000E+001, 0.0000000E+000
 8.5500000E+001, 6.0595934E-002, 8.5500000E+001, 0.0000000E+000
 8.6500000E+001, 4.2689114E-002, 8.6500000E+001, 0.0000000E+000
 8.7500000E+001, 3.0264510E-002, 8.7500000E+001, 0.0000000E+000
 8.8500000E+001, 2.1514420E-002, 8.8500000E+001, 0.0000000E+000
 8.9500000E+001, 1.5538824E-002, 8.9500000E+001, 0.0000000E+000
 9.0500000E+001, 1.1322526E-002, 9.0500000E+001, 0.0000000E+000
 9.1500000E+001, 8.2852858E-003, 9.1500000E+001, 0.0000000E+000
 9.2500000E+001, 6.1643187E-003, 9.2500000E+001, 0.0000000E+000
 9.3500000E+001, 4.6521089E-003, 9.3500000E+001, 0.0000000E+000
 9.4500000E+001, 3.5496770E-003, 9.4500000E+001, 0.0000000E+000
 9.5500000E+001, 2.6577657E-003, 9.5500000E+001, 0.0000000E+000
 9.6500000E+001, 2.0347465E-003, 9.6500000E+001, 0.0000000E+000
 9.7500000E+001, 1.4884734E-003, 9.7500000E+001, 0.0000000E+000
 9.8500000E+001, 1.1526284E-003, 9.8500000E+001, 0.0000000E+000
 9.9500000E+001, 6.2071290E-004, 9.9500000E+001, 0.0000000E+000
