s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,m,m,m,deg
Time,N1-6,N2-2,N3-2,E1,E2,E3,S1-6,S2-2,S3-2,W1,W2,W3,N1-1,N1-2,N1-3,N1-4,N1-5,N2-1,N3-1,S1-1,S1-2,S1-3,S1-4,S1-5,S2-1,S3-1,x_max,y_max,L_F,tilt
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5000000E+001,-2.5000000E+001, 0.0000000E+000, 0.0000000E+000
 5.0733315E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1981699E-001, 5.2139887E+000, 0.0000000E+000, 0.0000000E+000
 1.0010197E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6713193E+000,-4.0527598E+000, 0.0000000E+000, 0.0000000E+000
 1.5004353E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8535094E+000,-4.6956534E+000, 0.0000000E+000, 0.0000000E+000
 2.0007206E+001, 1.8072394E-001, 9.2118328E-002, 6.0761497E-002, 3.1106312E-001, 1.5050629E-001, 7.8168025E-002, 4.2204505E-001, 1.9467981E-001, 9.7163768E-002, 2.4124813E-001, 1.2125653E-001, 7.1482351E-002, 3.1337560E+000, 4.2066608E+000, 5.1924675E+000, 2.7279113E+000, 6.3954555E-001, 4.2778912E+000, 3.5742694E+000, 3.7975851E+000, 3.3970250E+000, 4.2239676E+000, 4.3268094E+000, 4.8943077E+000, 3.7652657E+000, 3.4151049E+000, 8.5506746E+000,-1.2686706E+001, 0.0000000E+000, 2.9190062E+000
 2.5009548E+001, 1.2975526E+001, 7.0185173E+000, 4.4017795E+000, 2.2787683E+001, 1.0931845E+001, 5.9148217E+000, 3.0525482E+001, 1.3313109E+001, 7.0276970E+000, 1.6962203E+001, 8.4821833E+000, 5.1074022E+000, 2.8632330E+002, 2.9618756E+002, 3.0942145E+002, 2.0900938E+002, 9.2000797E+001, 2.7373187E+002, 2.2800021E+002, 3.3668182E+002, 3.1936262E+002, 3.2656249E+002, 3.0500444E+002, 2.6570967E+002, 2.7999722E+002, 2.5646605E+002, 3.5009667E+000, 3.8149330E-001, 1.1606635E+002, 6.0461704E+000
 3.0013529E+001, 1.2861498E+001, 7.0585496E+000, 4.2594263E+000, 2.2910034E+001, 1.1341596E+001, 6.2165833E+000, 3.2649611E+001, 1.4330108E+001, 7.4377084E+000, 1.7313427E+001, 8.7334152E+000, 5.2323276E+000, 2.6678028E+002, 2.5931119E+002, 2.5505341E+002, 1.2242227E+002, 4.4025256E+001, 2.4388847E+002, 1.8576500E+002, 3.3117657E+002, 2.9495799E+002, 2.8183149E+002, 2.5015507E+002, 2.2923847E+002, 2.3999194E+002, 2.2141480E+002, 6.1096930E+000,-6.8079348E+000, 1.1390212E+002, 6.5122859E+000
 3.5004654E+001, 1.1640798E+001, 6.6418224E+000, 4.1742749E+000, 2.0290625E+001, 1.0508254E+001, 5.8064141E+000, 2.9458067E+001, 1.3231823E+001, 7.2984788E+000, 1.6174381E+001, 8.5208120E+000, 5.0665783E+000, 2.4896400E+002, 2.5228195E+002, 2.5603758E+002, 1.7543096E+002, 1.0066851E+002, 2.3580806E+002, 2.0792319E+002, 3.2992801E+002, 2.8751071E+002, 2.7606734E+002, 2.6245650E+002, 2.4390294E+002, 2.3756600E+002, 2.1273175E+002, 1.2235685E+000,-8.9252508E+000, 1.2011578E+002, 6.8634421E+000
 4.0010945E+001, 1.2288088E+001, 6.7085486E+000, 4.0791586E+000, 2.0951066E+001, 1.0060338E+001, 5.4483055E+000, 3.0090704E+001, 1.3096979E+001, 6.9119114E+000, 1.5998789E+001, 7.9110716E+000, 4.5700788E+000, 2.7804484E+002, 2.5568319E+002, 2.3804398E+002, 1.4513698E+002, 7.2844066E+001, 2.1946244E+002, 1.7449930E+002, 3.3515796E+002, 3.0063606E+002, 2.8567403E+002, 2.4798352E+002, 2.1623268E+002, 2.4351582E+002, 2.1616282E+002, 5.7696056E+000,-5.0654774E+000, 1.2000192E+002, 6.6560688E+000
