Time, Height, T_lower, T_upper
2360.014900, 1.351733, 48.671752, 141.579516
2380.017200, 1.382183, 50.418300, 142.772553
2400.015500, 1.321186, 48.540997, 141.333814
2420.006100, 1.352237, 48.518117, 142.486204
2440.017500, 1.325250, 48.037817, 141.769602
2460.022100, 1.302375, 48.392126, 141.288870
2480.010300, 1.353414, 49.488283, 142.390134
2500.013700, 1.357173, 50.571533, 143.093711
2520.007200, 1.371277, 49.394181, 143.185542
2540.002000, 1.340885, 49.139001, 142.190640
2560.022300, 1.320196, 49.156058, 143.006012
2580.002700, 1.382031, 51.265232, 143.947350
2600.014100, 1.319693, 48.920068, 142.825046
2620.018500, 1.312263, 48.101215, 142.403495
2640.016900, 1.299088, 48.505872, 141.420681
2660.010600, 1.344980, 50.391696, 144.443133
2680.005100, 1.349166, 49.962144, 144.177878
2700.006100, 1.363495, 50.978590, 144.159618
2720.015000, 1.367613, 50.692814, 143.696011
2740.007100, 1.388111, 51.686202, 144.930970
2760.007200, 1.390895, 51.372542, 145.519764
2780.018100, 1.349648, 50.426559, 144.417368
2800.004600, 1.354599, 51.075002, 143.494740
2820.004100, 1.327970, 49.783452, 143.470925
2840.019200, 1.310111, 47.935782, 144.260094
2860.013300, 1.340702, 49.745871, 143.728979
2880.006700, 1.335616, 49.646745, 143.520852
2900.012900, 1.322881, 50.171203, 143.409993
2920.009700, 1.324337, 50.080771, 143.846228
2940.016700, 1.299057, 48.156588, 144.102797
2960.012500, 1.342760, 51.487128, 145.364746
2980.004600, 1.369149, 51.364937, 145.576563
3000.008600, 1.334496, 50.759023, 144.499830
3020.009700, 1.335252, 51.618715, 144.885261
3040.016200, 1.321104, 50.174590, 144.765868
3060.001400, 1.364602, 51.550660, 146.154151
3080.018500, 1.331795, 48.930757, 146.064814
3100.016600, 1.340159, 51.774943, 145.088708
3120.022300, 1.309221, 50.720875, 144.376401
3140.002200, 1.309057, 51.097915, 144.751998
3160.008500, 1.318474, 51.098790, 144.707438
3180.011600, 1.305724, 51.373046, 144.567829
3200.005700, 1.303992, 50.334175, 144.585430
3220.011500, 1.311819, 51.216033, 144.554279
3240.002800, 1.269774, 49.576836, 143.042848
3260.021100, 1.302193, 50.792495, 144.796486
3280.002800, 1.293420, 49.984476, 144.547178
3300.016600, 1.328807, 51.397041, 144.343091
3320.018900, 1.307359, 51.234284, 144.628382
3340.019000, 1.321514, 50.148564, 145.270626
3360.013700, 1.333598, 50.573049, 146.675970
3380.001600, 1.373547, 52.755739, 146.007605
3400.015600, 1.374601, 52.709449, 146.844261
3420.008600, 1.368726, 51.780546, 147.038740
3440.007400, 1.375831, 51.951935, 147.568365
3460.013900, 1.372815, 52.663966, 147.422700
3480.014400, 1.371362, 52.505348, 148.021697
3500.013600, 1.355573, 51.634725, 147.048518
3520.007100, 1.307126, 50.966874, 145.702884
3540.017500, 1.315048, 50.037799, 145.765485
3560.013300, 1.353757, 52.181575, 147.718799
3580.014700, 1.365729, 52.675917, 147.292077
3600.012700, 1.329702, 50.564624, 146.093726
3620.022500, 1.321417, 51.003277, 146.217581
3640.011200, 1.288067, 50.638756, 144.675378
3660.009200, 1.312062, 51.806600, 146.231100
3680.007100, 1.289057, 50.553666, 144.968120
3700.003000, 1.283471, 50.267400, 144.985625
3720.000600, 1.308944, 50.846596, 145.109564
3740.022400, 1.291910, 50.866888, 145.756278
3760.006400, 1.312643, 50.832232, 145.834382
3780.009200, 1.316532, 51.941310, 146.625054
3800.023700, 1.298044, 50.772703, 145.679506
3820.009400, 1.310565, 51.434604, 145.605347
3840.014200, 1.281726, 50.997320, 145.256359
3860.000800, 1.296901, 51.143272, 145.669420
3880.001100, 1.299837, 51.097567, 146.278317
3900.012500, 1.286710, 50.294046, 145.468713
3920.004900, 1.287568, 50.243136, 145.009764
3940.022300, 1.287391, 51.392457, 145.281802
3960.005200, 1.292275, 50.480718, 145.803027
3980.008500, 1.365424, 53.781655, 147.382656
4000.016400, 1.317315, 51.516726, 147.774686
4020.004900, 1.306300, 51.339071, 147.433221
4040.017300, 1.324789, 52.218722, 147.154737
4060.021700, 1.352829, 53.062228, 147.793565
4080.017200, 1.316023, 51.519883, 146.516457
4100.004200, 1.282831, 50.404898, 146.399870
4120.000300, 1.319632, 52.505511, 146.267480
4140.009000, 1.335972, 52.678613, 147.245256
4160.000200, 1.337042, 52.044717, 147.355930
4180.009400, 1.282542, 50.327473, 145.928809
4200.016400, 1.336455, 52.746054, 147.104951
4220.008200, 1.336949, 52.997639, 147.363967
4240.020000, 1.299913, 51.599701, 146.415054
4260.014500, 1.283900, 49.402733, 145.558822
4280.007800, 1.301307, 50.997407, 146.049478
4300.004200, 1.325426, 52.068821, 146.563602
4320.013900, 1.288266, 50.997925, 145.949027
4340.014800, 1.307705, 51.136495, 145.664326
4360.018400, 1.300847, 52.235186, 146.329389
4380.017700, 1.337473, 52.597218, 147.917448
4400.010000, 1.308020, 51.674117, 145.806491
4420.018500, 1.291001, 51.426420, 145.592885
4440.022000, 1.332458, 52.246419, 147.942208
4460.019600, 1.298206, 50.990916, 145.963691
4480.016500, 1.260980, 49.210757, 145.383504
4500.016900, 1.302820, 51.826057, 146.764751
4520.012500, 1.331856, 53.378491, 147.460197
4540.015100, 1.332403, 52.392165, 147.596530
4560.016100, 1.322546, 51.512927, 145.941351
4580.006200, 1.334568, 51.610820, 146.848155
4600.005600, 1.375761, 55.152484, 147.882127
4620.012600, 1.318944, 53.425261, 146.460407
4640.009900, 1.309984, 51.944680, 146.896180
4660.016200, 1.295932, 50.810906, 147.061026
4680.017900, 1.242084, 49.363126, 144.568956
4700.004500, 1.267712, 49.726498, 145.738235
4720.000800, 1.389645, 53.470875, 148.686070
4740.010800, 1.373929, 54.282663, 148.829819
4760.005900, 1.353326, 53.463193, 147.287617
4780.019700, 1.329236, 52.876160, 147.921365
4800.018400, 1.293423, 52.067086, 146.765360
4820.017500, 1.297091, 51.858222, 146.243737
4840.002500, 1.347190, 52.257454, 148.241586
4860.008500, 1.275323, 50.512877, 146.555061
4880.012600, 1.277448, 50.195708, 145.892808
4900.012000, 1.305492, 51.397235, 146.957852
4920.004900, 1.300718, 51.750421, 147.014836
4940.022400, 1.291566, 50.907560, 146.904541
4960.017600, 1.304065, 51.298771, 147.705689
4980.019900, 1.320039, 52.293057, 147.433044
5000.006600, 1.315062, 52.187903, 147.556612
5020.015300, 1.281207, 51.899450, 145.394346
5040.011000, 1.272940, 50.436170, 145.204415
5060.017500, 1.296806, 51.896666, 146.853226
5080.000300, 1.300762, 52.346228, 146.290546
5100.012700, 1.306898, 52.567211, 146.932111
5120.017200, 1.308833, 52.485480, 147.178695
5140.008900, 1.311593, 51.893490, 146.496150
5160.009800, 1.304161, 52.408591, 146.296898
5180.017600, 1.297610, 51.221954, 146.172736
5200.000500, 1.333267, 53.750937, 147.505482
5220.019700, 1.289528, 52.281904, 146.343363
5240.000600, 1.341917, 54.012044, 147.707717
5260.005900, 1.284598, 51.467169, 146.802182
5280.001800, 1.280898, 49.691210, 147.378210
5300.017900, 1.298210, 51.206221, 147.159182
5320.014700, 1.311778, 52.267901, 147.296381
5340.014300, 1.343385, 53.021158, 149.064901
5360.015100, 1.396627, 55.094497, 150.152255
5380.017600, 1.339491, 53.985296, 149.776225
5400.017300, 1.352740, 53.370148, 148.631972
5420.018600, 1.348289, 52.451306, 147.770794
5440.009900, 1.305345, 51.199468, 146.754726
5460.021100, 1.296099, 51.795897, 146.413364
5480.007400, 1.290509, 52.340910, 147.614893
5500.021800, 1.307079, 52.830793, 147.757811
5520.007600, 1.290112, 51.665010, 146.435637
5540.003700, 1.286677, 51.561660, 146.227000
5560.008600, 1.335177, 52.223478, 147.272773
5580.019800, 1.374391, 54.246803, 149.928823
5600.011800, 1.363581, 54.479613, 149.043211
5620.016600, 1.316493, 53.881077, 147.605925
5640.014000, 1.323526, 53.607969, 147.619886
5660.017100, 1.332818, 53.625159, 148.390442
5680.016800, 1.351647, 54.012836, 148.790139
5700.011800, 1.316035, 53.452758, 147.224683
5720.007700, 1.351294, 53.796413, 149.011491
5740.014400, 1.304598, 52.690899, 148.493808
5760.014100, 1.337008, 52.997407, 149.442045
5780.003200, 1.294891, 51.703108, 146.964699
5800.013200, 1.267443, 51.625972, 145.660170
5820.020800, 1.297313, 51.776032, 146.926442
5840.010300, 1.312880, 53.442993, 147.946269
5860.020100, 1.341221, 54.080161, 148.256506
5880.006800, 1.356849, 54.186437, 149.732575
5900.012500, 1.336360, 52.844429, 148.441383
5920.013400, 1.341368, 52.739967, 148.245517
5940.016600, 1.300555, 51.827552, 147.560456
5960.005800, 1.293974, 51.450957, 147.695172
5980.007500, 1.304652, 51.973861, 148.056327
6000.008400, 1.300187, 52.397825, 147.188698
6020.002500, 1.312481, 52.955767, 147.454259
6040.014700, 1.347779, 53.536378, 148.715410
