s,C,C,C
Time,Lower,Middle,Upper
   0, 47.9, 43.6, 38.9
  20, 52.3, 47.2, 41.8
  40, 55.7, 49.4, 43.5
  60, 58.5, 51.4, 45.0
  80, 60.8, 53.1, 46.3
 100, 62.9, 54.4, 47.3
 120, 68.4, 57.8, 50.0
 140, 73.9, 61.2, 52.7
 160, 78.4, 63.9, 55.4
 180, 80.8, 64.7, 55.9
 200, 83.0, 64.9, 55.8
 220, 85.0, 64.4, 55.3
 240, 86.3, 63.5, 54.6
 260, 87.5, 63.0, 54.1
 280, 88.4, 64.7, 55.3
 300, 89.3, 66.0, 56.4
 320, 90.3, 67.4, 57.3
 340, 91.3, 68.8, 58.4
 360, 92.1, 70.5, 59.6
 380, 92.7, 71.3, 60.1
 400, 93.4, 72.3, 60.7
 420, 94.6, 73.2, 61.6
 440, 95.1, 74.3, 62.5
 460, 95.7, 75.2, 63.4
 480, 96.3, 75.6, 63.5
 500, 97.4, 75.8, 63.2
 520, 98.2, 76.9, 63.7
 540, 98.5, 77.2, 63.9
 560, 98.8, 77.2, 63.7
 580, 99.7, 76.8, 63.1
 600,100.6, 77.0, 63.3
 620,101.2, 76.7, 63.1
 640,101.2, 76.8, 63.0
 660,101.6, 76.8, 63.2
 680,101.9, 76.9, 63.3
 700,102.4, 77.0, 63.5
 720,102.6, 77.0, 64.0
 740,102.7, 76.6, 64.5
 760,103.0, 76.9, 65.2
 780,103.8, 77.3, 66.2
 800,104.3, 78.4, 67.2
 820,104.7, 79.7, 67.7
 840,106.4, 81.8, 68.0
 860,108.5, 84.2, 69.4
 880,111.4, 86.5, 71.0
 900,114.8, 88.9, 72.7
 920,117.6, 91.2, 74.3
 940,120.5, 93.3, 76.3
 960,124.2, 96.1, 77.5
 980,128.6, 98.9, 79.4
1000,132.3,100.7, 80.8
1020,136.5,101.6, 82.8
1040,140.0,102.8, 85.7
1060,142.6,105.0, 87.3
1080,145.7,106.4, 88.3
1100,148.5,108.1, 88.8
1120,150.1,108.7, 89.7
1140,152.6,109.0, 90.4
1160,154.3,109.5, 89.7
1180,156.1,110.2, 89.7
1200,157.2,112.3, 91.8
1220,158.9,115.9, 94.6
1240,158.8,116.5, 96.0
1260,159.7,119.0, 98.0
1280,160.0,121.5,100.2
1300,159.4,121.7,100.5
1320,159.0,122.4,101.5
1340,159.2,122.9,102.1
1360,159.3,123.3,102.5
1380,159.6,123.5,102.8
1400,159.2,123.6,103.2
1420,158.5,122.5,103.3
1440,157.7,124.0,104.4
1460,159.6,124.2,104.8
1480,159.6,126.8,105.9
1500,160.2,127.0,104.6
1520,161.2,128.4,105.3
1540,161.2,128.6,105.2
1560,161.8,128.4,105.0
1580,162.4,127.3,104.0
1600,163.1,126.1,103.0
1620,164.2,127.8,103.3
1640,165.9,127.7,102.5
1660,167.2,126.6,101.9
1680,167.6,127.0,102.7
1700,167.7,126.6,101.6
1720,168.5,126.8,102.6
1740,172.6,129.4,106.8
1760,183.0,139.1,113.1
1780,195.6,150.7,120.6
1800,210.4,164.7,129.2
1820,227.7,181.6,137.2
1840,244.1,198.4,146.4
1860,261.5,220.2,159.1
1880,278.6,239.9,170.5
1900,295.0,259.1,182.5
1920,313.2,280.2,196.2
1940,330.6,299.0,208.5
1960,345.8,310.9,215.3
1980,354.3,320.7,221.3
2000,362.7,330.0,226.0
2020,366.9,333.4,226.0
2040,370.3,338.3,230.9
2060,372.8,341.6,233.5
2080,374.6,336.9,229.3
2100,375.0,338.1,232.1
2120,370.0,334.5,232.9
2140,368.8,335.4,233.2
2160,368.9,337.8,232.2
2180,367.4,342.2,235.1
2200,367.4,346.3,238.1
2220,364.3,350.3,243.5
2240,363.3,356.5,249.9
2260,363.8,351.7,247.3
2280,362.3,353.3,250.4
2300,361.9,358.8,256.2
2320,363.4,358.9,255.0
2340,371.0,365.8,256.5
2360,373.4,365.6,256.4
2380,374.4,368.0,259.3
2400,373.0,368.8,262.4
2420,372.9,366.9,262.3
2440,373.3,365.2,260.8
2460,377.2,363.7,259.7
2480,373.9,368.6,264.2
2500,374.6,369.9,265.7
2520,374.2,370.6,264.6
2540,373.7,371.9,266.1
2560,373.0,370.8,264.8
2580,375.0,373.8,265.0
2600,376.8,373.7,265.1
2620,379.8,372.5,261.6
2640,388.8,379.9,264.2
2660,403.5,393.6,267.7
2680,416.0,414.1,278.4
2700,437.4,435.1,286.5
2720,457.4,461.0,297.7
2740,478.5,481.1,307.2
2760,496.7,506.6,325.7
2780,516.8,518.4,331.3
2800,534.3,537.2,342.5
2820,553.0,569.1,361.4
2840,576.0,587.7,371.4
2860,587.2,607.4,384.0
2880,590.3,613.5,392.0
2900,594.1,605.7,387.8
2920,594.1,594.5,383.6
2940,595.2,580.7,381.6
2960,599.9,570.9,381.6
2980,602.4,552.2,377.9
3000,604.2,559.8,379.6
3020,606.0,545.0,375.9
3040,609.7,523.6,368.1
3060,613.1,512.0,358.0
3080,615.3,491.8,343.2
3100,623.8,486.3,341.8
3120,630.9,492.8,343.8
3140,638.5,491.6,344.8
3160,641.6,497.6,351.8
3180,638.9,501.5,353.4
3200,644.5,519.4,364.8
3220,647.1,525.4,367.3
3240,652.8,538.4,374.1
3260,658.0,539.0,376.8
3280,660.3,543.8,381.9
3300,665.8,556.3,391.7
3320,665.2,560.0,391.1
3340,666.1,552.9,385.8
3360,666.1,563.0,392.2
3380,671.8,559.2,388.7
