s,C,C,C
Time,Lower,Middle,Upper
   0, 34.8, 26.4, 26.6
  20, 36.6, 26.9, 26.6
  40, 38.0, 27.1, 26.6
  60, 39.2, 27.3, 26.6
  80, 40.0, 27.4, 26.7
 100, 40.7, 27.3, 26.8
 120, 43.2, 27.8, 27.1
 140, 46.0, 28.5, 27.7
 160, 48.8, 29.7, 28.4
 180, 49.5, 30.2, 28.7
 200, 50.3, 30.6, 29.0
 220, 50.9, 31.1, 29.5
 240, 51.3, 31.6, 30.0
 260, 51.9, 32.0, 30.8
 280, 52.6, 32.4, 31.4
 300, 53.8, 33.3, 32.1
 320, 55.2, 34.5, 33.2
 340, 56.1, 35.5, 34.1
 360, 56.7, 36.0, 35.0
 380, 57.1, 36.6, 35.8
 400, 57.8, 37.4, 36.5
 420, 58.4, 38.1, 37.1
 440, 58.8, 38.8, 37.5
 460, 59.8, 39.5, 38.3
 480, 60.7, 40.1, 38.9
 500, 61.5, 40.7, 39.7
 520, 62.0, 41.4, 40.3
 540, 62.3, 41.8, 40.9
 560, 62.8, 42.0, 41.5
 580, 63.5, 42.1, 42.1
 600, 64.0, 42.7, 42.7
 620, 64.9, 43.2, 43.3
 640, 65.9, 43.4, 43.9
 660, 67.1, 44.3, 44.4
 680, 67.8, 44.9, 44.8
 700, 68.4, 45.4, 45.2
 720, 68.7, 45.8, 45.6
 740, 69.1, 46.1, 45.8
 760, 69.5, 46.4, 46.1
 780, 69.9, 46.5, 46.4
 800, 70.3, 46.7, 46.5
 820, 70.8, 46.9, 46.8
 840, 71.1, 47.1, 47.0
 860, 71.3, 47.3, 47.3
 880, 71.4, 47.5, 47.6
 900, 71.8, 48.0, 48.0
 920, 72.5, 48.4, 48.3
 940, 72.9, 48.6, 48.7
 960, 73.4, 49.0, 49.1
 980, 73.8, 49.3, 49.5
1000, 74.6, 49.5, 49.9
1020, 75.2, 49.9, 50.2
1040, 76.0, 50.2, 50.6
1060, 76.7, 50.6, 51.1
1080, 77.6, 50.9, 51.5
1100, 78.7, 51.5, 52.0
1120, 79.1, 51.8, 52.3
1140, 79.3, 51.9, 52.5
1160, 80.1, 52.3, 52.8
1180, 81.0, 52.7, 53.1
1200, 81.6, 53.3, 53.5
1220, 81.6, 53.5, 53.8
1240, 81.5, 53.7, 54.0
1260, 81.5, 54.1, 54.4
1280, 81.6, 54.6, 54.8
1300, 81.4, 54.8, 54.9
1320, 81.3, 54.9, 55.0
1340, 81.6, 55.3, 55.4
1360, 82.2, 55.7, 55.7
1380, 81.9, 55.7, 56.0
1400, 81.5, 55.6, 56.0
1420, 81.8, 55.7, 56.1
1440, 82.2, 56.1, 56.4
1460, 82.5, 56.4, 56.7
1480, 82.8, 56.3, 56.7
1500, 82.4, 56.2, 56.6
1520, 82.3, 56.5, 56.7
1540, 81.8, 56.3, 56.9
1560, 81.5, 56.2, 56.8
1580, 81.0, 56.1, 56.8
1600, 81.1, 56.4, 57.1
1620, 81.4, 56.9, 57.4
1640, 81.4, 56.9, 57.6
1660, 81.3, 57.0, 57.7
1680, 81.1, 57.2, 57.9
1700, 81.4, 57.5, 58.2
