s,C,C,C
Time,Lower,Middle,Upper
   0,233.6,149.4,116.5
  20,237.8,152.2,118.7
  40,248.7,160.7,125.0
  60,259.3,169.7,132.1
  80,267.2,176.2,137.0
 100,271.9,179.9,138.5
 120,293.6,196.7,152.1
 140,313.7,211.6,162.9
 160,312.6,217.4,164.7
 180,319.3,222.2,167.0
 200,319.8,221.6,170.3
 220,327.7,222.0,171.2
 240,332.6,225.2,171.5
 260,332.5,224.3,172.6
 280,325.2,222.0,173.2
 300,325.5,221.5,174.3
 320,320.4,221.2,177.3
 340,323.6,223.4,179.9
 360,332.7,228.1,185.5
 380,340.1,236.4,190.0
 400,347.9,240.8,193.8
 420,348.2,242.6,195.8
 440,337.8,238.3,196.1
 460,335.9,235.7,195.9
 480,335.3,236.8,194.6
 500,334.8,238.1,193.1
 520,322.8,232.1,192.4
 540,326.4,233.8,192.8
 560,329.4,235.9,193.7
 580,319.8,232.8,192.2
 600,312.3,227.2,193.4
 620,302.4,226.3,194.5
 640,298.6,225.1,195.0
 660,306.3,227.7,198.8
 680,304.0,227.0,198.7
 700,301.1,227.2,199.3
 720,292.9,227.7,199.1
 740,295.8,229.2,200.7
 760,297.3,227.5,201.6
 780,290.5,224.6,198.8
 800,293.1,223.8,198.6
 820,295.8,224.2,197.7
 840,295.4,223.5,197.8
 860,296.5,224.1,198.7
 880,301.0,226.1,196.3
 900,303.2,228.4,198.8
 920,304.7,226.6,199.0
 940,312.2,232.1,199.8
 960,307.1,229.0,199.8
 980,298.0,224.1,200.0
1000,296.9,224.3,200.9
1020,295.9,225.0,200.8
1040,293.4,225.6,200.1
1060,291.5,226.9,200.1
1080,293.5,227.7,201.3
1100,298.7,231.0,201.9
1120,296.4,229.5,201.5
1140,300.5,230.8,201.6
1160,305.4,231.5,201.3
1180,308.9,234.5,202.9
1200,305.5,234.1,202.6
1220,304.7,235.2,203.8
1240,304.8,234.7,203.7
1260,302.8,234.6,204.7
1280,300.3,234.8,205.5
1300,298.6,231.1,203.3
1320,297.2,229.7,203.9
1340,294.6,229.3,203.3
1360,293.7,228.6,202.1
1380,287.9,227.9,201.8
1400,285.7,227.0,201.4
1420,293.4,229.2,203.8
1440,293.5,230.1,202.9
1460,293.1,230.5,202.9
1480,295.5,230.1,200.1
1500,294.2,228.4,200.2
1520,296.4,228.3,200.3
1540,297.0,229.6,198.3
1560,296.7,230.3,199.5
1580,292.7,226.8,199.1
1600,296.2,228.9,200.4
1620,292.1,226.6,198.5
1640,288.3,225.7,198.4
1660,292.4,226.4,198.7
1680,297.5,228.2,199.4
1700,293.3,228.6,201.0
1720,296.8,230.5,202.4
1740,294.9,231.5,203.2
1760,288.8,227.9,201.4
1780,288.2,226.5,200.2
1800,283.6,225.6,199.2
1820,280.8,224.9,198.7
1840,281.9,222.7,197.9
1860,274.8,218.8,194.6
1880,276.9,215.5,193.0
1900,272.1,212.1,190.8
1920,272.9,214.0,191.4
1940,272.9,214.6,191.3
1960,269.2,212.0,189.4
1980,267.6,210.9,188.8
2000,266.9,212.0,189.8
2020,269.1,213.2,190.9
2040,263.5,211.4,189.1
2060,263.3,210.5,188.0
2080,265.2,211.3,188.2
2100,267.2,211.8,187.7
2120,269.3,211.8,188.5
2140,267.9,211.3,189.5
2160,269.3,212.2,190.6
2180,269.7,213.4,192.1
2200,273.0,215.6,193.3
2220,269.1,214.6,192.6
2240,271.1,213.8,192.5
2260,272.4,214.0,192.7
2280,272.4,215.8,193.5
2300,271.3,215.6,194.1
2320,270.4,215.1,194.4
2340,268.6,215.2,194.4
2360,265.5,214.8,192.2
2380,263.1,214.3,191.8
2400,264.7,213.9,192.9
2420,263.2,213.4,191.9
2440,263.8,214.1,191.3
2460,267.4,213.3,191.5
2480,266.6,214.6,191.7
2500,266.1,213.7,191.6
2520,269.7,217.2,194.0
2540,273.3,219.5,195.7
2560,277.2,221.7,195.1
2580,277.3,222.4,197.1
2600,276.4,222.6,196.9
2620,272.5,222.3,197.4
2640,274.0,222.1,196.1
2660,276.3,222.3,196.4
2680,272.4,221.8,196.8
2700,272.8,221.6,198.2
2720,271.5,224.7,199.7
2740,273.8,222.2,199.2
2760,269.6,220.8,197.6
2780,266.8,218.2,197.3
2800,271.3,220.7,197.5
2820,273.8,220.9,197.8
2840,273.5,224.1,199.5
2860,272.9,222.5,199.4
2880,271.4,222.0,198.9
2900,271.4,224.2,199.1
2920,271.6,223.1,196.8
2940,269.4,222.1,196.1
2960,270.0,223.1,197.7
2980,270.9,224.3,198.8
3000,273.6,226.9,199.3
3020,268.4,225.3,198.2
3040,268.3,222.4,197.5
3060,268.5,220.2,196.0
3080,269.5,218.8,195.0
3100,267.1,219.1,194.8
