s,C,C,C
Time,Lower,Middle,Upper
   0,507.1,429.2,339.3
  20,538.4,453.6,347.6
  40,565.8,478.0,359.8
  60,594.3,499.6,380.7
  80,612.8,518.0,398.9
 100,628.0,529.1,408.3
 120,702.1,598.0,465.9
 140,774.1,665.0,520.6
 160,792.8,683.2,538.5
 180,800.5,694.8,558.9
 200,805.3,698.4,561.3
 220,810.1,705.8,568.4
 240,819.5,716.9,588.3
 260,827.6,728.8,607.4
 280,830.1,739.0,619.2
 300,840.5,750.1,630.9
 320,846.7,761.7,647.9
 340,846.3,760.7,644.1
 360,849.4,755.5,637.1
 380,848.6,755.7,637.0
 400,840.0,740.1,615.5
 420,837.7,739.5,613.6
 440,838.1,743.6,618.9
 460,841.4,746.8,620.1
 480,844.3,748.3,619.6
 500,843.6,746.8,616.2
 520,838.4,739.6,610.5
 540,834.5,735.4,604.0
 560,835.3,734.7,608.5
 580,834.4,743.7,622.4
 600,834.7,741.9,618.0
 620,841.4,755.1,631.7
 640,843.0,760.7,639.8
 660,845.2,763.1,642.5
 680,839.4,759.8,642.3
 700,838.0,756.2,642.2
 720,840.3,759.4,647.7
 740,845.2,767.6,654.1
 760,846.1,764.0,651.1
 780,848.5,767.5,652.7
 800,850.3,763.6,648.1
 820,856.4,771.3,655.7
 840,859.0,772.4,661.5
 860,862.3,771.5,656.9
 880,860.3,774.0,661.8
 900,867.2,777.9,661.2
 920,867.9,783.1,666.8
 940,866.6,785.6,669.2
 960,865.4,781.9,665.1
 980,873.3,794.1,674.6
1000,874.6,792.5,670.2
1020,869.8,790.9,665.8
1040,869.4,795.4,675.9
1060,868.2,796.0,672.9
1080,870.6,800.9,685.4
1100,874.1,800.2,682.1
1120,870.9,802.7,689.2
1140,873.5,802.1,688.5
1160,880.0,804.4,688.4
1180,887.8,814.1,698.2
1200,886.4,810.9,698.2
1220,885.5,808.2,698.4
1240,891.6,815.1,708.0
1260,892.4,816.7,706.8
1280,896.9,821.3,711.7
1300,892.7,816.3,704.7
1320,889.5,809.1,700.9
1340,890.7,805.9,694.8
1360,885.5,801.0,689.9
1380,883.5,795.0,682.5
1400,876.3,790.7,677.6
1420,876.3,793.7,678.0
1440,878.7,794.4,678.5
1460,880.9,798.6,684.6
1480,883.6,797.5,682.9
1500,883.3,798.1,686.0
1520,877.6,792.2,680.0
1540,882.6,801.8,686.9
1560,879.0,798.9,684.8
1580,881.5,803.5,692.3
1600,879.5,801.0,692.5
1620,879.1,799.8,692.9
1640,877.1,800.5,691.2
1660,880.5,810.2,696.9
1680,884.3,810.9,691.2
1700,884.7,817.3,697.0
1720,851.8,791.0,676.4
1740,819.7,769.4,665.0
1760,773.6,731.0,641.8
1780,739.8,705.9,628.3
1800,729.4,679.1,605.5
1820,711.1,652.5,587.8
1840,691.0,622.0,562.8
1860,685.9,599.8,539.1
1880,694.5,583.9,521.0
1900,709.7,575.3,502.9
1920,718.8,575.2,479.6
1940,730.2,577.3,477.9
1960,718.6,569.5,473.2
1980,715.1,563.8,470.4
2000,699.7,559.4,464.4
2020,688.0,550.0,455.2
2040,677.9,540.7,450.1
2060,683.4,543.0,448.9
2080,686.9,545.5,449.1
2100,687.1,546.3,454.5
2120,687.7,547.6,456.1
2140,683.0,547.4,456.8
2160,676.2,545.0,456.2
2180,672.9,544.5,457.2
2200,670.1,542.8,454.4
2220,673.5,543.5,452.8
2240,679.9,546.8,453.0
2260,690.8,556.5,456.9
2280,693.0,559.0,459.5
2300,693.6,563.3,466.0
2320,700.6,566.8,466.3
2340,698.7,566.6,463.7
2360,695.6,561.9,460.2
2380,692.0,556.8,460.2
2400,704.7,564.8,464.0
2420,701.1,564.3,464.0
2440,698.1,559.2,459.7
2460,698.6,557.6,459.0
2480,688.7,549.4,459.7
2500,692.1,547.8,461.7
2520,685.4,542.1,457.2
2540,683.1,533.7,455.3
2560,676.2,535.1,456.4
2580,686.3,544.8,456.8
2600,698.1,555.2,460.8
2620,676.5,544.8,453.2
2640,662.6,533.3,449.5
2660,646.1,521.3,445.5
2680,637.7,508.7,439.5
2700,626.0,491.4,427.8
2720,625.4,486.0,423.2
2740,610.2,467.3,412.4
2760,596.5,456.4,403.6
2780,583.5,447.0,393.1
2800,598.6,443.1,388.4
2820,615.9,447.6,382.1
2840,621.7,455.6,383.2
2860,614.3,452.0,382.7
2880,609.9,450.4,385.1
2900,603.9,445.5,381.6
2920,609.2,447.6,385.5
2940,616.0,449.3,384.1
2960,624.3,458.6,391.7
2980,625.8,463.4,392.9
3000,629.0,467.2,395.3
3020,624.8,461.5,393.5
3040,624.0,460.3,393.1
3060,622.4,454.8,392.8
3080,630.3,460.3,396.1
3100,637.8,465.0,395.8
3120,643.5,464.4,398.9
3140,631.6,456.9,392.8
3160,633.3,459.2,394.4
3180,625.2,449.4,388.9
3200,610.4,448.3,386.7
3220,607.5,441.9,384.1
3240,620.6,444.6,384.8
3260,627.0,454.6,386.7
3280,636.5,460.4,386.1
3300,621.7,448.0,382.3
3320,608.2,441.0,380.7
3340,600.7,444.7,382.2
