s,C,C,C
Time,Lower,Middle,Upper
   0,349.9,249.7,185.9
  20,373.8,263.9,196.1
  40,386.3,281.5,204.8
  60,396.0,289.9,212.4
  80,413.7,302.9,217.6
 100,423.6,311.2,225.5
 120,469.3,344.7,251.3
 140,517.8,380.9,276.1
 160,518.3,390.0,288.6
 180,515.1,389.9,287.7
 200,511.4,388.8,290.3
 220,511.5,386.0,297.4
 240,524.6,383.3,298.4
 260,504.2,375.2,297.9
 280,518.9,376.5,303.8
 300,532.0,380.1,308.1
 320,534.4,386.0,311.1
 340,544.1,395.3,315.0
 360,547.4,401.7,329.5
 380,550.6,406.5,332.6
 400,552.6,406.9,329.8
 420,550.3,409.1,332.2
 440,545.9,408.3,329.9
 460,546.4,413.9,334.2
 480,553.5,414.7,340.1
 500,537.5,408.9,337.6
 520,529.5,403.0,334.0
 540,525.1,400.1,329.9
 560,526.5,399.1,324.8
 580,527.4,390.2,318.1
 600,521.6,378.0,310.8
 620,521.6,380.9,314.9
 640,515.9,382.0,313.1
 660,510.7,379.5,313.0
 680,515.1,380.7,314.8
 700,512.7,376.5,313.5
 720,514.9,377.2,311.4
 740,514.1,376.3,311.3
 760,520.2,383.2,313.9
 780,522.3,385.5,315.6
 800,523.7,389.3,318.2
 820,519.3,395.6,322.8
 840,515.6,394.1,322.0
 860,519.9,389.5,320.0
 880,533.5,392.4,320.3
 900,532.3,388.6,318.0
 920,534.9,390.8,320.2
 940,538.3,397.7,327.5
 960,537.8,399.5,329.1
 980,530.0,392.9,325.6
1000,529.8,392.4,329.8
1020,531.8,392.5,328.6
1040,535.3,391.2,328.5
1060,545.3,390.6,326.8
1080,543.2,395.9,329.2
1100,540.2,398.8,332.0
1120,538.2,395.8,334.1
1140,542.8,398.8,333.6
1160,537.1,392.2,328.4
1180,536.5,389.5,327.4
1200,536.0,394.2,331.5
1220,530.5,394.0,328.1
1240,521.1,389.0,327.8
1260,529.3,391.6,330.5
1280,519.0,389.9,331.7
1300,521.1,390.2,331.9
1320,518.8,390.8,333.8
1340,515.6,388.0,332.5
1360,511.7,385.0,333.1
1380,521.4,391.3,337.7
1400,530.9,398.4,342.5
1420,519.9,394.5,341.8
1440,524.7,395.4,342.9
1460,529.0,395.9,345.5
1480,526.6,397.2,343.6
1500,529.0,400.5,343.8
1520,534.5,400.2,345.5
1540,535.8,398.6,342.2
1560,544.1,403.2,342.9
1580,547.5,405.4,344.6
1600,542.0,399.9,339.0
1620,541.0,396.8,338.1
1640,547.7,396.1,336.9
1660,545.2,395.0,339.1
1680,544.6,395.1,339.3
1700,533.6,388.6,334.4
1720,517.7,381.0,327.6
1740,504.2,377.8,325.5
1760,498.3,375.3,325.3
1780,488.3,375.5,324.5
1800,479.7,368.1,320.9
1820,481.2,366.3,321.0
1840,472.1,358.6,316.2
1860,474.8,362.8,315.6
1880,475.2,362.0,312.6
1900,477.5,367.6,315.1
1920,481.8,372.6,316.2
1940,487.2,376.7,318.5
1960,487.5,375.7,317.4
1980,480.3,369.7,315.8
2000,482.8,368.5,314.1
2020,494.3,372.2,318.4
2040,494.2,374.5,318.2
2060,497.8,377.2,319.1
2080,488.6,374.3,319.5
2100,497.1,376.5,321.2
2120,500.3,377.0,320.6
2140,485.7,368.9,318.8
2160,481.5,369.4,318.7
2180,484.5,371.9,319.8
2200,486.9,371.8,320.4
2220,490.0,380.3,325.1
2240,469.9,370.2,319.4
2260,474.1,368.6,317.7
2280,472.4,374.9,320.7
2300,473.4,376.0,324.7
2320,475.1,377.9,328.8
2340,471.0,377.8,330.7
2360,469.4,373.3,325.2
2380,474.9,374.3,326.2
2400,479.0,375.2,326.1
2420,480.0,375.0,326.6
2440,465.3,367.8,322.6
2460,472.0,372.5,325.1
2480,469.0,372.1,322.4
2500,458.7,363.2,318.9
2520,463.2,366.4,317.3
2540,462.6,363.6,314.1
2560,470.6,365.4,317.2
2580,475.2,371.0,322.2
2600,470.8,367.4,321.1
2620,476.6,368.0,319.2
