s,C,C,C
Time,Lower,Middle,Upper
   0,281.3,195.2,149.6
  20,315.2,219.3,160.3
  40,322.4,228.4,166.1
  60,330.5,228.3,171.1
  80,344.5,239.1,176.2
 100,356.0,249.7,183.4
 120,396.4,275.4,202.9
 140,435.6,301.6,223.3
 160,446.6,313.3,237.3
 180,462.4,314.2,237.0
 200,464.6,315.9,236.4
 220,464.1,323.3,240.2
 240,453.8,317.7,243.0
 260,449.3,318.6,247.6
 280,443.5,323.0,251.9
 300,448.3,329.5,256.1
 320,451.9,331.1,256.1
 340,456.4,331.6,255.3
 360,455.7,329.3,254.9
 380,462.4,332.2,253.1
 400,470.0,335.3,255.2
 420,471.1,335.6,256.6
 440,473.5,334.4,259.6
 460,466.6,331.4,261.3
 480,458.8,328.8,261.2
 500,455.1,327.8,265.0
 520,438.2,321.2,265.3
 540,434.1,317.3,267.4
 560,431.7,319.7,270.9
 580,428.0,312.9,265.5
 600,439.0,322.6,269.4
 620,440.4,325.8,269.4
 640,432.3,323.9,269.2
 660,430.4,320.9,266.1
 680,432.7,318.5,263.9
 700,433.0,314.6,262.8
 720,428.7,313.7,260.7
 740,436.4,320.5,264.6
 760,438.0,321.7,264.3
 780,435.2,323.7,265.0
 800,433.5,326.2,268.4
 820,421.3,318.4,264.6
 840,420.6,318.5,264.9
 860,423.1,317.9,265.3
 880,424.1,313.9,265.2
 900,427.6,318.4,268.5
 920,424.8,317.9,268.7
 940,430.6,320.8,271.4
 960,428.5,316.1,268.3
 980,427.1,314.5,269.4
1000,424.5,312.8,270.8
1020,423.5,311.6,270.0
1040,418.4,310.9,270.0
1060,415.4,309.2,268.7
1080,421.4,313.6,270.2
1100,424.1,318.2,274.0
1120,416.9,315.8,271.9
1140,425.0,322.6,275.8
1160,416.1,317.5,273.8
1180,409.3,315.5,273.8
1200,410.7,315.2,272.5
1220,414.9,314.3,269.8
1240,427.9,320.0,270.2
1260,428.7,322.4,272.2
1280,423.0,321.2,272.2
1300,418.8,320.8,273.9
1320,412.2,316.4,271.2
1340,416.6,315.9,271.3
1360,409.3,308.7,267.9
1380,407.5,308.7,268.5
1400,409.4,309.0,267.4
1420,409.8,310.3,269.9
1440,407.1,312.0,271.2
1460,397.8,308.3,271.5
1480,399.0,305.6,271.2
1500,407.4,307.6,272.8
1520,407.1,306.8,269.5
1540,415.3,309.8,271.1
1560,412.9,310.5,269.4
1580,414.5,311.4,269.0
1600,421.0,316.2,270.3
1620,422.4,316.7,272.0
1640,425.6,317.9,270.3
