s,C,C,C
Time,Lower,Middle,Upper
   0, 45.4, 35.4, 32.4
  20, 48.4, 36.1, 32.7
  40, 50.5, 37.3, 33.3
  60, 52.5, 38.0, 33.5
  80, 54.1, 38.3, 33.8
 100, 55.6, 38.7, 33.9
 120, 59.9, 40.3, 34.7
 140, 64.1, 42.2, 35.7
 160, 67.3, 43.7, 36.6
 180, 68.1, 43.9, 36.3
 200, 68.5, 44.2, 36.1
 220, 68.9, 45.7, 36.5
 240, 69.8, 47.8, 38.0
 260, 70.9, 49.4, 39.0
 280, 72.3, 51.3, 40.7
 300, 73.7, 52.0, 41.1
 320, 74.8, 54.2, 42.9
 340, 75.5, 57.0, 45.4
 360, 76.4, 59.3, 48.0
 380, 76.9, 61.6, 50.1
 400, 78.0, 64.1, 52.7
 420, 79.2, 65.0, 53.7
 440, 80.3, 64.7, 54.1
 460, 81.1, 63.9, 54.1
 480, 81.9, 63.3, 53.9
 500, 82.2, 63.1, 53.5
 520, 82.5, 63.6, 54.7
 540, 83.3, 63.3, 54.6
 560, 85.1, 63.5, 54.1
 580, 87.3, 63.4, 53.4
 600, 89.6, 63.3, 53.2
 620, 90.9, 63.5, 52.0
 640, 90.7, 64.0, 51.8
 660, 91.4, 63.1, 52.3
 680, 91.8, 62.5, 52.6
 700, 92.2, 62.5, 52.8
 720, 91.9, 62.6, 53.0
 740, 91.4, 62.5, 53.0
 760, 91.6, 61.5, 52.5
 780, 91.8, 60.5, 52.4
 800, 91.6, 60.5, 53.1
 820, 91.3, 61.4, 53.3
 840, 91.8, 62.2, 53.4
 860, 93.5, 62.1, 53.3
 880, 94.5, 61.4, 53.0
 900, 94.8, 61.5, 53.0
 920, 94.6, 61.6, 53.0
 940, 95.1, 62.3, 53.1
 960, 96.6, 62.5, 53.4
 980, 97.0, 63.2, 54.0
1000, 97.9, 62.8, 54.2
1020, 99.5, 62.3, 53.5
1040,100.1, 63.7, 53.7
1060, 99.9, 65.9, 55.1
1080, 98.4, 67.9, 57.5
1100, 97.8, 68.7, 58.9
1120, 98.4, 70.1, 59.5
1140, 98.4, 71.3, 61.0
1160, 99.3, 71.7, 61.6
1180, 99.0, 72.6, 62.9
1200, 99.0, 74.9, 64.1
1220, 97.9, 77.5, 66.6
1240, 96.5, 80.0, 69.3
1260, 96.6, 79.6, 70.8
1280, 96.4, 79.5, 71.8
1300, 97.5, 79.8, 71.7
1320, 98.9, 80.6, 72.7
1340, 99.5, 83.2, 75.0
1360,100.4, 84.6, 76.4
1380,101.3, 86.9, 78.4
1400,102.0, 87.8, 79.1
1420,101.4, 89.3, 80.8
1440,100.7, 89.2, 80.2
1460,100.9, 87.3, 78.8
1480,101.8, 87.4, 79.1
1500,102.6, 87.7, 80.0
1520,103.0, 87.4, 80.3
1540,103.2, 87.5, 80.9
1560,104.3, 87.9, 81.5
1580,105.2, 88.4, 82.1
1600,105.5, 89.0, 82.8
1620,105.2, 88.7, 82.7
1640,106.0, 87.3, 81.5
1660,107.3, 87.7, 82.4
1680,108.1, 90.0, 84.2
1700,108.7, 90.8, 85.1
1720,108.9, 91.3, 85.4
1740,109.9, 93.6, 87.0
1760,111.8, 96.3, 88.9
1780,112.3, 97.2, 89.0
1800,113.8, 98.6, 89.3
1820,116.4, 99.7, 89.9
1840,119.5,101.9, 91.3
1860,122.7,105.1, 93.1
1880,125.9,106.9, 94.5
1900,129.6,108.4, 94.7
1920,132.1,110.0, 95.4
1940,135.0,110.6, 95.4
1960,138.8,111.4, 95.2
1980,143.0,111.3, 94.0
2000,144.6,112.1, 94.6
2020,147.2,113.0, 95.2
2040,147.9,114.6, 95.5
