s,C,C,C,m/s,m/s,C,C,C,
Time,"TC Array 1","TC Array 2","TC Array 3","Velocity Probe 1","Velocity Probe 2","Slow","Medium","Fast","Acts"
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000, 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.005E+001, 1.800E+001, 1.801E+001, 1.800E+001, 5.513E-003, 9.815E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.003E+001, 2.198E+001, 2.868E+001, 1.801E+001, 2.512E-001, 1.259E+000, 1.800E+001, 1.800E+001, 1.802E+001, 0.000E+000
 3.002E+001, 4.398E+001, 8.811E+001, 1.805E+001, 1.558E+000, 2.873E+000, 1.824E+001, 1.842E+001, 1.992E+001, 0.000E+000
 4.000E+001, 7.097E+001, 1.655E+002, 1.813E+001, 1.734E+000, 3.933E+000, 1.878E+001, 1.933E+001, 2.354E+001, 0.000E+000
 5.000E+001, 9.376E+001, 2.475E+002, 2.402E+001, 1.768E+000, 4.655E+000, 1.974E+001, 2.095E+001, 2.919E+001, 1.000E+000
 6.000E+001, 1.213E+002, 3.014E+002, 3.687E+001, 1.951E+000, 5.322E+000, 2.112E+001, 2.323E+001, 3.644E+001, 2.000E+000
 7.001E+001, 1.656E+002, 3.811E+002, 4.371E+001, 2.089E+000, 6.135E+000, 2.314E+001, 2.652E+001, 4.611E+001, 2.000E+000
 8.001E+001, 2.061E+002, 4.837E+002, 5.008E+001, 2.355E+000, 7.126E+000, 2.610E+001, 3.132E+001, 5.948E+001, 6.000E+000
 9.000E+001, 2.251E+002, 5.197E+002, 4.884E+001, 2.226E+000, 7.115E+000, 2.947E+001, 3.663E+001, 7.171E+001, 1.500E+001
 1.000E+002, 2.025E+002, 4.894E+002, 3.615E+001, 1.896E+000, 6.759E+000, 3.226E+001, 4.086E+001, 7.777E+001, 2.000E+001
 1.100E+002, 2.218E+002, 5.134E+002, 3.252E+001, 2.076E+000, 7.828E+000, 3.529E+001, 4.536E+001, 8.428E+001, 2.100E+001
