s,C,C,C,m/s,m/s,C,C,C,
Time,"TC Array 1","TC Array 2","TC Array 3","Velocity Probe 1","Velocity Probe 2","Slow","Medium","Fast","Acts"
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000, 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.003E+001, 1.801E+001, 1.800E+001, 1.800E+001, 7.242E-003, 9.600E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.003E+001, 3.119E+001, 2.157E+001, 1.804E+001, 1.138E+000, 5.212E-001, 1.807E+001, 1.812E+001, 1.858E+001, 0.000E+000
 3.000E+001, 9.074E+001, 4.344E+001, 1.817E+001, 2.106E+000, 9.588E-001, 1.868E+001, 1.917E+001, 2.306E+001, 0.000E+000
 4.001E+001, 1.750E+002, 6.866E+001, 1.953E+001, 2.666E+000, 1.770E+000, 1.987E+001, 2.117E+001, 3.027E+001, 0.000E+000
 5.000E+001, 2.571E+002, 9.338E+001, 3.435E+001, 3.350E+000, 1.813E+000, 2.202E+001, 2.472E+001, 4.155E+001, 1.000E+000
 6.001E+001, 3.370E+002, 1.231E+002, 4.303E+001, 3.641E+000, 2.114E+000, 2.530E+001, 3.005E+001, 5.609E+001, 2.000E+000
 7.000E+001, 3.942E+002, 1.498E+002, 5.309E+001, 4.118E+000, 3.547E+000, 2.963E+001, 3.691E+001, 7.257E+001, 3.000E+000
 8.001E+001, 4.872E+002, 2.016E+002, 5.854E+001, 3.763E+000, 3.175E+000, 3.514E+001, 4.551E+001, 9.155E+001, 7.000E+000
 9.001E+001, 5.164E+002, 2.284E+002, 5.139E+001, 3.468E+000, 3.875E+000, 4.138E+001, 5.503E+001, 1.102E+002, 1.400E+001
 1.000E+002, 4.754E+002, 2.061E+002, 4.460E+001, 5.245E+000, 6.947E+000, 4.871E+001, 6.600E+001, 1.300E+002, 1.800E+001
 1.100E+002, 3.490E+002, 1.453E+002, 4.553E+001, 6.337E+000, 6.537E+000, 5.982E+001, 8.241E+001, 1.588E+002, 1.900E+001
