s,C,C,C,m/s,m/s,C,C,C,
Time,"TC Array 1","TC Array 2","TC Array 3","Velocity Probe 1","Velocity Probe 2","Slow","Medium","Fast","Acts"
 3.800E+002, 1.612E+002, 1.011E+002, 4.300E+001, 9.985E+000, 5.420E+000, 2.838E+002, 2.873E+002, 2.985E+002, 1.300E+001
 3.900E+002, 1.325E+002, 8.866E+001, 3.701E+001, 1.022E+001, 4.234E+000, 2.869E+002, 2.921E+002, 3.102E+002, 1.300E+001
 4.000E+002, 1.455E+002, 8.676E+001, 3.882E+001, 1.008E+001, 4.886E+000, 2.930E+002, 3.013E+002, 3.307E+002, 1.300E+001
 4.100E+002, 1.757E+002, 1.074E+002, 3.711E+001, 9.336E+000, 5.858E+000, 2.931E+002, 3.000E+002, 3.068E+002, 1.300E+001
 4.200E+002, 1.566E+002, 9.993E+001, 3.796E+001, 1.014E+001, 5.519E+000, 2.941E+002, 3.005E+002, 3.036E+002, 1.300E+001
 4.300E+002, 1.562E+002, 9.912E+001, 3.712E+001, 9.737E+000, 5.444E+000, 2.941E+002, 2.994E+002, 2.985E+002, 1.300E+001
 4.400E+002, 1.507E+002, 9.662E+001, 3.706E+001, 9.161E+000, 5.258E+000, 2.942E+002, 2.986E+002, 2.959E+002, 1.300E+001
 4.500E+002, 1.434E+002, 9.133E+001, 3.962E+001, 9.539E+000, 5.216E+000, 2.946E+002, 2.986E+002, 2.975E+002, 1.300E+001
 4.600E+002, 1.522E+002, 9.868E+001, 4.155E+001, 9.714E+000, 5.329E+000, 2.957E+002, 2.998E+002, 3.038E+002, 1.300E+001
 4.700E+002, 1.446E+002, 9.567E+001, 4.163E+001, 9.555E+000, 5.508E+000, 2.966E+002, 3.006E+002, 3.014E+002, 1.400E+001
 4.800E+002, 1.608E+002, 1.000E+002, 4.088E+001, 9.215E+000, 5.670E+000, 2.936E+002, 2.949E+002, 2.806E+002, 1.400E+001
 4.900E+002, 1.385E+002, 9.227E+001, 4.064E+001, 9.533E+000, 4.830E+000, 2.942E+002, 2.957E+002, 2.933E+002, 1.400E+001
 5.000E+002, 1.386E+002, 8.559E+001, 4.216E+001, 9.723E+000, 4.844E+000, 2.958E+002, 2.981E+002, 3.037E+002, 1.400E+001
 5.100E+002, 1.410E+002, 9.060E+001, 3.739E+001, 9.625E+000, 5.032E+000, 2.963E+002, 2.985E+002, 3.016E+002, 1.400E+001
 5.200E+002, 1.429E+002, 9.063E+001, 3.493E+001, 1.044E+001, 4.923E+000, 2.991E+002, 3.030E+002, 3.168E+002, 1.400E+001
 5.300E+002, 1.559E+002, 9.551E+001, 3.705E+001, 8.347E+000, 5.992E+000, 2.991E+002, 3.021E+002, 3.024E+002, 1.400E+001
 5.400E+002, 1.653E+002, 1.025E+002, 3.895E+001, 9.390E+000, 5.997E+000, 2.950E+002, 2.948E+002, 2.758E+002, 1.400E+001
 5.500E+002, 1.662E+002, 1.012E+002, 4.124E+001, 9.863E+000, 5.987E+000, 2.945E+002, 2.940E+002, 2.846E+002, 1.400E+001
 5.600E+002, 1.454E+002, 9.538E+001, 4.072E+001, 9.739E+000, 5.125E+000, 2.916E+002, 2.891E+002, 2.735E+002, 1.400E+001
 5.700E+002, 1.516E+002, 9.378E+001, 4.273E+001, 1.059E+001, 5.292E+000, 2.942E+002, 2.941E+002, 3.026E+002, 1.400E+001
 5.800E+002, 1.538E+002, 9.242E+001, 3.945E+001, 1.163E+001, 5.180E+000, 3.011E+002, 3.057E+002, 3.388E+002, 1.400E+001
 5.900E+002, 1.512E+002, 8.885E+001, 3.993E+001, 9.561E+000, 5.559E+000, 3.054E+002, 3.120E+002, 3.372E+002, 1.400E+001
 6.000E+002, 1.569E+002, 1.017E+002, 3.757E+001, 9.090E+000, 5.940E+000, 3.014E+002, 3.040E+002, 2.911E+002, 1.400E+001
