s,C,C,C,m/s,m/s,C,C,C,
Time,"TC Array 1","TC Array 2","TC Array 3","Velocity Probe 1","Velocity Probe 2","Slow","Medium","Fast","Acts"
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000, 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.003E+001, 1.801E+001, 1.800E+001, 1.800E+001, 5.827E-003, 9.597E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.001E+001, 3.115E+001, 2.157E+001, 1.804E+001, 1.132E+000, 5.188E-001, 1.808E+001, 1.813E+001, 1.865E+001, 0.000E+000
 3.002E+001, 9.042E+001, 4.337E+001, 1.817E+001, 2.545E+000, 9.766E-001, 1.899E+001, 1.971E+001, 2.545E+001, 0.000E+000
 4.001E+001, 1.718E+002, 6.772E+001, 2.000E+001, 3.204E+000, 1.697E+000, 2.127E+001, 2.354E+001, 3.940E+001, 0.000E+000
 5.001E+001, 2.565E+002, 9.439E+001, 3.597E+001, 4.306E+000, 1.753E+000, 2.540E+001, 3.035E+001, 6.053E+001, 1.000E+000
 6.001E+001, 3.364E+002, 1.244E+002, 4.682E+001, 4.559E+000, 2.372E+000, 3.171E+001, 4.051E+001, 8.725E+001, 2.000E+000
 7.000E+001, 3.765E+002, 1.458E+002, 5.476E+001, 5.326E+000, 4.199E+000, 4.034E+001, 5.409E+001, 1.181E+002, 2.000E+000
 8.001E+001, 5.008E+002, 2.023E+002, 6.487E+001, 5.556E+000, 3.155E+000, 5.151E+001, 7.127E+001, 1.530E+002, 7.000E+000
 9.001E+001, 5.335E+002, 2.336E+002, 6.712E+001, 5.734E+000, 3.203E+000, 6.333E+001, 8.867E+001, 1.778E+002, 1.500E+001
 1.000E+002, 4.801E+002, 2.166E+002, 5.447E+001, 6.248E+000, 4.879E+000, 7.413E+001, 1.035E+002, 1.883E+002, 1.900E+001
 1.100E+002, 4.617E+002, 1.930E+002, 5.203E+001, 7.058E+000, 5.857E+000, 8.660E+001, 1.204E+002, 2.061E+002, 1.900E+001
