s,C,C,C,m/s,m/s,C,C,C,
Time,"TC Array 1","TC Array 2","TC Array 3","Velocity Probe 1","Velocity Probe 2","Slow","Medium","Fast","Acts"
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000, 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.002E+001, 1.800E+001, 1.800E+001, 1.800E+001, 5.332E-003, 1.108E-002, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.002E+001, 2.054E+001, 1.807E+001, 1.814E+001, 1.943E+000, 8.147E-001, 1.852E+001, 1.890E+001, 2.225E+001, 0.000E+000
 3.001E+001, 3.909E+001, 2.501E+001, 1.866E+001, 4.679E+000, 1.634E+000, 2.302E+001, 2.656E+001, 5.300E+001, 0.000E+000
 4.001E+001, 6.345E+001, 4.811E+001, 2.598E+001, 6.311E+000, 2.489E+000, 3.408E+001, 4.492E+001, 1.130E+002, 0.000E+000
 5.001E+001, 8.146E+001, 6.632E+001, 4.120E+001, 7.119E+000, 3.385E+000, 5.211E+001, 7.394E+001, 1.881E+002, 0.000E+000
 6.000E+001, 1.045E+002, 8.032E+001, 4.944E+001, 8.382E+000, 3.982E+000, 7.943E+001, 1.168E+002, 2.849E+002, 0.000E+000
 7.000E+001, 1.420E+002, 1.081E+002, 5.779E+001, 9.604E+000, 4.343E+000, 1.163E+002, 1.728E+002, 3.909E+002, 1.000E+000
 8.000E+001, 1.904E+002, 1.351E+002, 7.357E+001, 9.883E+000, 5.168E+000, 1.617E+002, 2.392E+002, 4.933E+002, 6.000E+000
 9.001E+001, 2.030E+002, 1.461E+002, 6.197E+001, 9.232E+000, 5.551E+000, 1.995E+002, 2.896E+002, 5.183E+002, 1.100E+001
 1.000E+002, 2.023E+002, 1.426E+002, 5.423E+001, 7.287E+000, 6.375E+000, 2.237E+002, 3.162E+002, 4.768E+002, 1.300E+001
 1.100E+002, 2.083E+002, 1.421E+002, 5.033E+001, 8.963E+000, 5.266E+000, 2.437E+002, 3.352E+002, 4.567E+002, 1.500E+001
