s,C,C,C,m/s,m/s,C,C,C,
Time,"TC Array 1","TC Array 2","TC Array 3","Velocity Probe 1","Velocity Probe 2","Slow","Medium","Fast","Acts"
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000, 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.004E+001, 1.800E+001, 1.800E+001, 1.800E+001, 4.052E-003, 1.139E-002, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.002E+001, 2.430E+001, 3.334E+001, 1.800E+001, 4.433E-001, 1.571E+000, 1.801E+001, 1.802E+001, 1.809E+001, 0.000E+000
 3.001E+001, 4.894E+001, 9.955E+001, 1.803E+001, 1.864E+000, 3.068E+000, 1.843E+001, 1.875E+001, 2.141E+001, 0.000E+000
 4.001E+001, 7.469E+001, 1.660E+002, 1.840E+001, 2.502E+000, 4.206E+000, 1.978E+001, 2.104E+001, 3.047E+001, 0.000E+000
 5.001E+001, 9.811E+001, 2.217E+002, 2.563E+001, 2.828E+000, 5.008E+000, 2.233E+001, 2.529E+001, 4.493E+001, 0.000E+000
 6.001E+001, 1.250E+002, 2.642E+002, 3.955E+001, 3.149E+000, 5.400E+000, 2.611E+001, 3.148E+001, 6.290E+001, 2.000E+000
 7.001E+001, 1.444E+002, 3.559E+002, 4.490E+001, 3.239E+000, 5.576E+000, 3.100E+001, 3.930E+001, 8.210E+001, 2.000E+000
 8.001E+001, 1.690E+002, 4.511E+002, 5.270E+001, 3.398E+000, 6.041E+000, 3.666E+001, 4.812E+001, 1.005E+002, 6.000E+000
 9.001E+001, 1.745E+002, 4.590E+002, 5.861E+001, 3.186E+000, 6.349E+000, 4.263E+001, 5.715E+001, 1.157E+002, 1.000E+001
 1.000E+002, 1.900E+002, 4.471E+002, 6.042E+001, 2.593E+000, 6.843E+000, 4.847E+001, 6.568E+001, 1.266E+002, 1.400E+001
 1.100E+002, 1.825E+002, 4.861E+002, 5.185E+001, 1.605E+000, 6.791E+000, 5.252E+001, 7.129E+001, 1.299E+002, 1.700E+001
