s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,
Time,"TC_001","TC_002","TC_003","TC_004","TC_005","TC_006","TC_007","TC_008","TC_009","TC_010","TC_011","TC_012","TC_013","TC_014","TC_015","TC_016","TC_017","TC_018","TC_019","TC_020","TC_021","TC_022","TC_023","TC_024","TC_025","TC_026","TC_027","TC_028","TC_029","TC_030","TC_031","TC_032","TC_033","TC_034","TC_035","TC_036","TC_037","TC_038","TC_039","TC_040","TC_041","TC_042","TC_043","TC_044","TC_045","TC_046","TC_047","TC_048","TC_049","TC_050","TC_051","TC_052","TC_053","TC_054","TC_055","TC_056","TC_057","TC_058","TC_059","TC_060","TC_061","TC_062","TC_063","TC_064","TC_065","TC_066","TC_067","TC_068","TC_069","TC_070","TC_071","TC_087","TC_088","TC_089","TC_090","TC_094","TC_095","TC_096","TC_097","O2_FLOOR","CO2_FLOOR","CO_FLOOR","O2_VENT","CO2_VENT","CO_VENT","Acts"
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.080E-001, 3.873E-004, 0.000E+000, 2.080E-001, 3.873E-004, 0.000E+000, 0.000E+000
 1.001E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.800E+001, 1.809E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.803E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.803E+001, 1.813E+001, 1.838E+001, 1.800E+001, 1.802E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.080E-001, 3.873E-004, 1.467E-084, 2.080E-001, 3.873E-004, 4.867E-041, 0.000E+000
 2.001E+001, 2.020E+001, 1.883E+001, 1.814E+001, 1.818E+001, 1.821E+001, 1.825E+001, 1.827E+001, 1.832E+001, 1.837E+001, 1.800E+001, 2.038E+001, 1.946E+001, 1.846E+001, 1.818E+001, 1.818E+001, 1.818E+001, 1.819E+001, 1.820E+001, 1.824E+001, 1.828E+001, 1.800E+001, 2.351E+001, 4.162E+001, 4.327E+001, 4.749E+001, 5.165E+001, 5.565E+001, 5.977E+001, 6.214E+001, 6.716E+001, 7.256E+001, 1.800E+001, 1.834E+001, 1.805E+001, 1.805E+001, 1.804E+001, 1.803E+001, 1.802E+001, 1.802E+001, 1.801E+001, 1.802E+001, 1.802E+001, 2.134E+001, 2.136E+001, 2.127E+001, 2.121E+001, 2.169E+001, 2.194E+001, 2.206E+001, 2.118E+001, 2.701E+001, 2.664E+001, 2.060E+001, 2.117E+001, 2.823E+001, 2.739E+001, 2.070E+001, 1.931E+001, 2.122E+001, 2.093E+001, 1.922E+001, 1.815E+001, 1.829E+001, 1.823E+001, 1.812E+001, 2.377E+001, 2.046E+001, 1.828E+001, 1.839E+001, 1.812E+001, 2.356E+001, 1.801E+001, 1.808E+001, 1.807E+001, 1.802E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 2.080E-001, 3.873E-004, 2.295E-076, 2.069E-001, 1.064E-003, 2.120E-006, 0.000E+000
 3.000E+001, 2.980E+001, 2.300E+001, 1.868E+001, 1.878E+001, 1.893E+001, 1.909E+001, 1.918E+001, 1.937E+001, 1.961E+001, 1.800E+001, 2.881E+001, 2.587E+001, 2.026E+001, 1.882E+001, 1.883E+001, 1.884E+001, 1.889E+001, 1.893E+001, 1.906E+001, 1.921E+001, 1.800E+001, 3.908E+001, 9.486E+001, 9.700E+001, 1.041E+002, 1.125E+002, 1.220E+002, 1.324E+002, 1.382E+002, 1.501E+002, 1.627E+002, 1.800E+001, 1.994E+001, 2.010E+001, 1.913E+001, 1.820E+001, 1.812E+001, 1.809E+001, 1.808E+001, 1.808E+001, 1.809E+001, 1.812E+001, 3.933E+001, 4.038E+001, 4.157E+001, 4.242E+001, 4.251E+001, 4.253E+001, 4.221E+001, 3.950E+001, 5.611E+001, 5.750E+001, 3.953E+001, 3.824E+001, 5.417E+001, 5.665E+001, 3.801E+001, 3.144E+001, 3.938E+001, 3.711E+001, 3.266E+001, 2.647E+001, 2.937E+001, 2.696E+001, 2.611E+001, 4.375E+001, 3.540E+001, 2.866E+001, 2.848E+001, 2.706E+001, 4.686E+001, 2.169E+001, 2.176E+001, 2.070E+001, 2.018E+001, 1.864E+001, 1.864E+001, 1.838E+001, 1.804E+001, 2.080E-001, 3.873E-004, 6.688E-062, 2.040E-001, 2.736E-003, 7.357E-006, 0.000E+000
 4.001E+001, 3.635E+001, 2.585E+001, 2.008E+001, 2.031E+001, 2.067E+001, 2.110E+001, 2.131E+001, 2.180E+001, 2.239E+001, 1.800E+001, 4.341E+001, 4.127E+001, 2.849E+001, 2.016E+001, 2.018E+001, 2.028E+001, 2.044E+001, 2.054E+001, 2.084E+001, 2.117E+001, 1.800E+001, 6.463E+001, 1.519E+002, 1.537E+002, 1.629E+002, 1.760E+002, 1.914E+002, 2.096E+002, 2.196E+002, 2.414E+002, 2.661E+002, 1.800E+001, 2.395E+001, 2.603E+001, 2.022E+001, 1.833E+001, 1.825E+001, 1.822E+001, 1.822E+001, 1.823E+001, 1.827E+001, 1.836E+001, 6.116E+001, 6.128E+001, 6.092E+001, 6.240E+001, 6.344E+001, 6.512E+001, 6.724E+001, 5.411E+001, 8.742E+001, 8.984E+001, 5.792E+001, 5.622E+001, 8.510E+001, 9.277E+001, 6.009E+001, 5.159E+001, 6.118E+001, 5.478E+001, 5.256E+001, 4.124E+001, 4.392E+001, 4.264E+001, 4.039E+001, 6.461E+001, 5.623E+001, 4.458E+001, 4.281E+001, 4.068E+001, 7.346E+001, 3.466E+001, 3.489E+001, 3.328E+001, 3.163E+001, 2.634E+001, 2.804E+001, 2.673E+001, 2.465E+001, 2.080E-001, 3.873E-004, 8.958E-051, 2.024E-001, 3.686E-003, 1.033E-005, 0.000E+000
 5.001E+001, 4.215E+001, 3.068E+001, 2.380E+001, 2.408E+001, 2.457E+001, 2.519E+001, 2.542E+001, 2.624E+001, 2.721E+001, 1.801E+001, 6.384E+001, 5.263E+001, 3.246E+001, 2.302E+001, 2.285E+001, 2.299E+001, 2.325E+001, 2.342E+001, 2.379E+001, 2.416E+001, 1.802E+001, 1.142E+002, 2.261E+002, 2.225E+002, 2.304E+002, 2.474E+002, 2.675E+002, 2.932E+002, 3.078E+002, 3.446E+002, 3.894E+002, 1.800E+001, 2.910E+001, 3.248E+001, 2.141E+001, 1.863E+001, 1.854E+001, 1.851E+001, 1.853E+001, 1.857E+001, 1.867E+001, 1.876E+001, 9.161E+001, 9.252E+001, 9.084E+001, 8.940E+001, 8.765E+001, 8.896E+001, 9.186E+001, 7.224E+001, 1.159E+002, 1.296E+002, 7.684E+001, 8.594E+001, 1.289E+002, 1.414E+002, 8.151E+001, 7.061E+001, 7.778E+001, 7.467E+001, 7.241E+001, 5.719E+001, 5.550E+001, 5.767E+001, 5.729E+001, 1.029E+002, 7.539E+001, 5.765E+001, 5.581E+001, 5.489E+001, 1.072E+002, 4.575E+001, 4.510E+001, 4.438E+001, 4.460E+001, 3.655E+001, 3.754E+001, 3.784E+001, 3.698E+001, 2.080E-001, 3.873E-004, 1.387E-036, 2.000E-001, 5.065E-003, 1.465E-005, 0.000E+000
 6.000E+001, 6.818E+001, 4.828E+001, 2.868E+001, 2.889E+001, 2.943E+001, 3.020E+001, 3.053E+001, 3.161E+001, 3.290E+001, 1.804E+001, 8.114E+001, 6.287E+001, 3.614E+001, 2.692E+001, 2.650E+001, 2.646E+001, 2.665E+001, 2.681E+001, 2.717E+001, 2.754E+001, 1.807E+001, 1.595E+002, 2.456E+002, 2.346E+002, 2.351E+002, 2.532E+002, 2.792E+002, 3.113E+002, 3.300E+002, 3.684E+002, 4.151E+002, 1.801E+001, 3.574E+001, 4.003E+001, 2.357E+001, 1.913E+001, 1.905E+001, 1.905E+001, 1.902E+001, 1.902E+001, 1.901E+001, 1.904E+001, 1.263E+002, 1.288E+002, 1.327E+002, 1.291E+002, 1.249E+002, 1.255E+002, 1.278E+002, 8.881E+001, 1.413E+002, 1.649E+002, 9.798E+001, 9.709E+001, 1.608E+002, 1.778E+002, 9.351E+001, 9.081E+001, 1.083E+002, 9.463E+001, 8.476E+001, 7.228E+001, 7.104E+001, 7.232E+001, 6.834E+001, 1.177E+002, 9.680E+001, 7.539E+001, 7.259E+001, 6.541E+001, 1.269E+002, 5.766E+001, 5.888E+001, 5.667E+001, 5.470E+001, 4.436E+001, 4.748E+001, 4.673E+001, 4.818E+001, 2.080E-001, 3.873E-004, 8.162E-028, 1.970E-001, 6.850E-003, 2.024E-005, 0.000E+000
 7.001E+001, 7.664E+001, 5.555E+001, 3.307E+001, 3.044E+001, 3.103E+001, 3.171E+001, 3.194E+001, 3.351E+001, 3.485E+001, 1.811E+001, 8.214E+001, 6.499E+001, 4.002E+001, 2.818E+001, 2.763E+001, 2.758E+001, 2.770E+001, 2.780E+001, 2.828E+001, 2.859E+001, 1.821E+001, 1.647E+002, 2.294E+002, 2.252E+002, 2.314E+002, 2.443E+002, 2.652E+002, 2.937E+002, 3.112E+002, 3.526E+002, 4.020E+002, 1.802E+001, 3.956E+001, 4.490E+001, 2.632E+001, 1.994E+001, 1.970E+001, 1.926E+001, 1.896E+001, 1.894E+001, 1.897E+001, 1.905E+001, 1.333E+002, 1.349E+002, 1.370E+002, 1.345E+002, 1.321E+002, 1.326E+002, 1.316E+002, 9.255E+001, 1.344E+002, 1.534E+002, 1.089E+002, 9.084E+001, 1.502E+002, 1.623E+002, 9.579E+001, 8.789E+001, 1.131E+002, 1.010E+002, 8.168E+001, 7.625E+001, 7.885E+001, 7.462E+001, 6.796E+001, 1.084E+002, 9.661E+001, 8.104E+001, 7.692E+001, 6.721E+001, 1.188E+002, 5.985E+001, 6.365E+001, 5.912E+001, 5.504E+001, 5.165E+001, 5.176E+001, 5.107E+001, 4.859E+001, 2.080E-001, 3.873E-004, 1.822E-024, 1.952E-001, 7.401E-003, 2.197E-005, 3.000E+000
 8.000E+001, 6.871E+001, 5.277E+001, 3.747E+001, 3.211E+001, 3.162E+001, 3.132E+001, 3.127E+001, 3.179E+001, 3.248E+001, 1.825E+001, 7.498E+001, 7.355E+001, 5.186E+001, 2.976E+001, 2.655E+001, 2.621E+001, 2.618E+001, 2.611E+001, 2.631E+001, 2.650E+001, 1.850E+001, 1.784E+002, 2.649E+002, 2.629E+002, 2.731E+002, 2.953E+002, 3.228E+002, 3.563E+002, 3.765E+002, 4.203E+002, 4.704E+002, 1.806E+001, 3.911E+001, 4.416E+001, 2.757E+001, 2.064E+001, 2.022E+001, 1.912E+001, 1.870E+001, 1.872E+001, 1.879E+001, 1.888E+001, 1.322E+002, 1.327E+002, 1.295E+002, 1.272E+002, 1.239E+002, 1.244E+002, 1.269E+002, 9.128E+001, 1.393E+002, 1.342E+002, 1.017E+002, 9.715E+001, 1.308E+002, 1.338E+002, 1.007E+002, 8.468E+001, 1.078E+002, 1.093E+002, 7.748E+001, 7.216E+001, 7.408E+001, 7.041E+001, 6.639E+001, 1.202E+002, 9.376E+001, 7.534E+001, 7.349E+001, 7.254E+001, 1.167E+002, 5.760E+001, 5.900E+001, 5.574E+001, 5.664E+001, 5.143E+001, 4.948E+001, 4.769E+001, 4.669E+001, 2.078E-001, 3.869E-004, 2.004E-020, 1.912E-001, 7.713E-003, 2.297E-005, 4.000E+000
