s,C,C,C,m/s,m/s,C,C,C,
Time,"TC Array 1","TC Array 2","TC Array 3","Velocity Probe 1","Velocity Probe 2","Slow","Medium","Fast","Acts"
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000, 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.002E+001, 1.800E+001, 1.800E+001, 1.800E+001, 3.386E-003, 8.440E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.000E+001, 1.805E+001, 1.801E+001, 2.210E+001, 4.412E-001, 1.083E-002, 1.801E+001, 1.802E+001, 1.809E+001, 0.000E+000
 3.002E+001, 1.902E+001, 1.805E+001, 4.716E+001, 1.049E+000, 5.346E-001, 1.816E+001, 1.827E+001, 1.923E+001, 0.000E+000
 4.001E+001, 2.505E+001, 1.951E+001, 7.840E+001, 1.739E+000, 1.269E+000, 1.858E+001, 1.900E+001, 2.227E+001, 0.000E+000
 5.000E+001, 3.708E+001, 2.994E+001, 1.109E+002, 3.015E+000, 2.208E+000, 1.990E+001, 2.122E+001, 3.067E+001, 0.000E+000
 6.001E+001, 5.057E+001, 4.285E+001, 1.509E+002, 3.998E+000, 2.898E+000, 2.279E+001, 2.603E+001, 4.656E+001, 1.000E+000
 7.000E+001, 6.691E+001, 5.509E+001, 1.666E+002, 4.796E+000, 3.481E+000, 2.792E+001, 3.437E+001, 7.043E+001, 4.000E+000
 8.000E+001, 6.904E+001, 5.931E+001, 1.208E+002, 3.289E+000, 2.849E+000, 3.249E+001, 4.141E+001, 8.161E+001, 6.000E+000
 9.000E+001, 7.073E+001, 5.665E+001, 1.129E+002, 2.589E+000, 2.454E+000, 3.513E+001, 4.507E+001, 8.055E+001, 8.000E+000
 1.000E+002, 6.897E+001, 5.784E+001, 1.893E+002, 3.340E+000, 2.209E+000, 3.765E+001, 4.849E+001, 8.142E+001, 1.300E+001
 1.100E+002, 9.806E+001, 7.837E+001, 2.093E+002, 4.564E+000, 3.155E+000, 4.429E+001, 5.852E+001, 1.066E+002, 1.400E+001
