s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,
Time,"TC_001","TC_002","TC_003","TC_004","TC_005","TC_006","TC_007","TC_008","TC_009","TC_010","TC_011","TC_012","TC_013","TC_014","TC_015","TC_016","TC_017","TC_018","TC_019","TC_020","TC_021","TC_022","TC_023","TC_024","TC_025","TC_026","TC_027","TC_028","TC_029","TC_030","TC_031","TC_032","TC_033","TC_034","TC_035","TC_036","TC_037","TC_038","TC_039","TC_040","TC_041","TC_042","TC_043","TC_044","TC_045","TC_046","TC_047","TC_048","TC_049","TC_054","TC_055","TC_056","TC_057","TC_058","TC_059","TC_060","TC_061","TC_062","TC_063","TC_064","TC_065","TC_066","TC_067","TC_068","TC_069","TC_070","TC_071","TC_075","TC_076","TC_077","TC_078","TC_079","TC_080","TC_081","TC_082","TC_083","TC_084","TC_085","TC_086","TC_087","TC_088","TC_089","TC_090","TC_091","TC_092","TC_093","TC_094","TC_095","TC_096","TC_097","TC_098","TC_099","TC_100","TC_101","TC_102","TC_103","TC_104","O2_FLOOR","CO2_FLOOR","CO_FLOOR","O2_VENT","CO2_VENT","CO_VENT","Acts"
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.080E-001, 3.873E-004, 0.000E+000, 2.080E-001, 3.873E-004, 0.000E+000, 0.000E+000
 1.002E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.802E+001, 1.800E+001, 1.801E+001, 1.806E+001, 1.818E+001, 1.838E+001, 1.868E+001, 1.886E+001, 1.936E+001, 2.006E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.080E-001, 3.873E-004, 3.145E-115, 2.080E-001, 3.873E-004, 1.974E-137, 0.000E+000
 2.001E+001, 1.878E+001, 1.832E+001, 1.803E+001, 1.803E+001, 1.803E+001, 1.803E+001, 1.803E+001, 1.802E+001, 1.803E+001, 1.800E+001, 1.822E+001, 1.807E+001, 1.804E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.800E+001, 1.822E+001, 1.808E+001, 1.805E+001, 1.802E+001, 1.802E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.800E+001, 2.641E+001, 5.685E+001, 5.927E+001, 6.452E+001, 7.018E+001, 7.648E+001, 8.354E+001, 8.738E+001, 9.556E+001, 1.042E+002, 1.819E+001, 1.819E+001, 1.830E+001, 1.840E+001, 1.858E+001, 1.860E+001, 1.858E+001, 1.942E+001, 1.898E+001, 1.809E+001, 1.801E+001, 2.529E+001, 2.155E+001, 1.893E+001, 1.801E+001, 3.413E+001, 2.516E+001, 1.895E+001, 1.804E+001, 1.974E+001, 2.290E+001, 2.917E+001, 2.129E+001, 1.819E+001, 1.801E+001, 1.810E+001, 1.866E+001, 1.948E+001, 1.865E+001, 2.114E+001, 2.383E+001, 2.004E+001, 2.434E+001, 3.440E+001, 1.976E+001, 2.482E+001, 3.257E+001, 3.312E+001, 2.567E+001, 1.931E+001, 1.805E+001, 1.873E+001, 2.098E+001, 2.377E+001, 2.438E+001, 2.096E+001, 1.916E+001, 1.801E+001, 1.805E+001, 1.863E+001, 1.913E+001, 1.908E+001, 1.885E+001, 1.812E+001, 1.801E+001, 2.080E-001, 3.873E-004, 1.771E-084, 2.078E-001, 5.415E-004, 4.830E-007, 0.000E+000
 3.001E+001, 2.256E+001, 1.940E+001, 1.827E+001, 1.827E+001, 1.825E+001, 1.823E+001, 1.822E+001, 1.821E+001, 1.821E+001, 1.800E+001, 2.095E+001, 2.301E+001, 2.037E+001, 1.834E+001, 1.816E+001, 1.814E+001, 1.813E+001, 1.812E+001, 1.813E+001, 1.816E+001, 1.800E+001, 2.125E+001, 2.379E+001, 2.065E+001, 1.884E+001, 1.815E+001, 1.813E+001, 1.812E+001, 1.812E+001, 1.813E+001, 1.816E+001, 1.800E+001, 4.232E+001, 9.327E+001, 9.364E+001, 9.939E+001, 1.095E+002, 1.217E+002, 1.352E+002, 1.429E+002, 1.602E+002, 1.815E+002, 2.621E+001, 2.625E+001, 2.716E+001, 2.787E+001, 2.875E+001, 2.915E+001, 2.939E+001, 3.428E+001, 3.265E+001, 2.475E+001, 2.212E+001, 4.810E+001, 3.895E+001, 2.949E+001, 2.330E+001, 6.714E+001, 4.617E+001, 3.540E+001, 2.476E+001, 3.313E+001, 4.378E+001, 5.380E+001, 4.078E+001, 3.011E+001, 2.266E+001, 2.693E+001, 3.114E+001, 3.283E+001, 3.058E+001, 3.832E+001, 4.375E+001, 3.437E+001, 4.556E+001, 6.421E+001, 3.339E+001, 4.325E+001, 6.414E+001, 6.393E+001, 4.635E+001, 3.622E+001, 2.610E+001, 3.052E+001, 3.802E+001, 4.356E+001, 4.447E+001, 3.842E+001, 3.215E+001, 2.443E+001, 2.713E+001, 3.044E+001, 3.302E+001, 3.246E+001, 3.216E+001, 2.688E+001, 2.314E+001, 2.080E-001, 3.873E-004, 1.538E-077, 2.066E-001, 1.255E-003, 2.718E-006, 0.000E+000
 4.000E+001, 2.823E+001, 2.088E+001, 1.896E+001, 1.891E+001, 1.887E+001, 1.882E+001, 1.880E+001, 1.878E+001, 1.885E+001, 1.800E+001, 2.715E+001, 3.286E+001, 2.470E+001, 1.888E+001, 1.855E+001, 1.850E+001, 1.848E+001, 1.848E+001, 1.854E+001, 1.866E+001, 1.800E+001, 2.741E+001, 3.290E+001, 2.441E+001, 1.899E+001, 1.854E+001, 1.849E+001, 1.846E+001, 1.847E+001, 1.853E+001, 1.865E+001, 1.800E+001, 9.537E+001, 1.575E+002, 1.582E+002, 1.718E+002, 1.924E+002, 2.180E+002, 2.461E+002, 2.607E+002, 2.941E+002, 3.311E+002, 4.339E+001, 4.265E+001, 4.297E+001, 4.370E+001, 4.432E+001, 4.492E+001, 4.694E+001, 4.875E+001, 4.868E+001, 3.898E+001, 3.541E+001, 6.745E+001, 5.877E+001, 4.658E+001, 3.814E+001, 9.547E+001, 6.562E+001, 5.160E+001, 3.923E+001, 4.903E+001, 6.249E+001, 7.963E+001, 5.673E+001, 4.501E+001, 3.717E+001, 4.032E+001, 4.755E+001, 4.922E+001, 4.686E+001, 5.607E+001, 6.542E+001, 5.003E+001, 6.558E+001, 9.784E+001, 4.799E+001, 6.249E+001, 9.395E+001, 9.146E+001, 6.681E+001, 5.114E+001, 4.030E+001, 4.500E+001, 5.388E+001, 6.653E+001, 6.642E+001, 5.435E+001, 4.642E+001, 3.750E+001, 3.867E+001, 4.674E+001, 4.913E+001, 5.277E+001, 4.504E+001, 4.019E+001, 3.530E+001, 2.080E-001, 3.873E-004, 4.780E-072, 2.049E-001, 2.217E-003, 5.730E-006, 0.000E+000
 5.001E+001, 3.214E+001, 2.224E+001, 2.001E+001, 1.999E+001, 1.991E+001, 1.991E+001, 1.996E+001, 2.006E+001, 2.034E+001, 1.800E+001, 3.462E+001, 4.226E+001, 2.884E+001, 1.960E+001, 1.920E+001, 1.917E+001, 1.922E+001, 1.929E+001, 1.948E+001, 1.972E+001, 1.800E+001, 3.491E+001, 4.160E+001, 2.762E+001, 1.949E+001, 1.914E+001, 1.913E+001, 1.920E+001, 1.925E+001, 1.943E+001, 1.968E+001, 1.803E+001, 2.115E+002, 2.672E+002, 2.707E+002, 2.929E+002, 3.252E+002, 3.659E+002, 4.140E+002, 4.405E+002, 4.962E+002, 5.581E+002, 5.784E+001, 5.678E+001, 5.704E+001, 5.786E+001, 5.889E+001, 6.017E+001, 6.393E+001, 6.584E+001, 6.449E+001, 4.920E+001, 4.721E+001, 9.337E+001, 8.144E+001, 6.226E+001, 5.104E+001, 1.417E+002, 8.496E+001, 6.286E+001, 4.925E+001, 6.528E+001, 8.565E+001, 1.104E+002, 7.105E+001, 5.743E+001, 5.022E+001, 5.817E+001, 6.398E+001, 6.489E+001, 6.481E+001, 8.095E+001, 8.865E+001, 6.798E+001, 9.012E+001, 1.483E+002, 6.422E+001, 8.773E+001, 1.305E+002, 1.357E+002, 8.628E+001, 6.561E+001, 5.155E+001, 6.112E+001, 7.612E+001, 8.838E+001, 9.075E+001, 7.750E+001, 6.167E+001, 4.698E+001, 5.156E+001, 6.065E+001, 6.713E+001, 6.833E+001, 6.570E+001, 5.386E+001, 4.573E+001, 2.080E-001, 3.873E-004, 2.596E-056, 2.033E-001, 3.156E-003, 8.673E-006, 0.000E+000
 6.001E+001, 3.870E+001, 2.404E+001, 2.111E+001, 2.125E+001, 2.141E+001, 2.155E+001, 2.170E+001, 2.200E+001, 2.243E+001, 1.801E+001, 4.266E+001, 5.326E+001, 3.411E+001, 2.030E+001, 2.005E+001, 2.017E+001, 2.039E+001, 2.052E+001, 2.079E+001, 2.099E+001, 1.801E+001, 4.214E+001, 4.936E+001, 3.070E+001, 2.016E+001, 1.994E+001, 2.006E+001, 2.029E+001, 2.041E+001, 2.066E+001, 2.087E+001, 1.810E+001, 3.267E+002, 3.562E+002, 3.571E+002, 3.817E+002, 4.213E+002, 4.722E+002, 5.373E+002, 5.736E+002, 6.488E+002, 7.262E+002, 7.517E+001, 7.365E+001, 7.400E+001, 7.520E+001, 7.810E+001, 8.070E+001, 8.635E+001, 7.874E+001, 8.132E+001, 6.422E+001, 6.122E+001, 1.138E+002, 1.020E+002, 7.788E+001, 6.179E+001, 1.820E+002, 1.014E+002, 7.923E+001, 6.199E+001, 8.185E+001, 1.108E+002, 1.373E+002, 8.763E+001, 7.052E+001, 6.665E+001, 7.469E+001, 7.854E+001, 7.609E+001, 8.215E+001, 1.030E+002, 1.021E+002, 8.289E+001, 1.079E+002, 1.861E+002, 7.986E+001, 1.066E+002, 1.781E+002, 1.679E+002, 1.069E+002, 8.237E+001, 6.239E+001, 7.953E+001, 9.643E+001, 1.143E+002, 1.067E+002, 9.334E+001, 7.682E+001, 6.143E+001, 6.782E+001, 8.080E+001, 8.080E+001, 7.982E+001, 8.024E+001, 7.293E+001, 5.815E+001, 2.080E-001, 3.873E-004, 3.368E-046, 2.020E-001, 3.922E-003, 1.107E-005, 1.000E+000
 7.000E+001, 4.340E+001, 2.989E+001, 2.193E+001, 2.175E+001, 2.193E+001, 2.212E+001, 2.215E+001, 2.233E+001, 2.254E+001, 1.803E+001, 4.401E+001, 5.573E+001, 3.710E+001, 2.096E+001, 2.040E+001, 2.056E+001, 2.082E+001, 2.095E+001, 2.112E+001, 2.111E+001, 1.803E+001, 4.361E+001, 5.205E+001, 3.420E+001, 2.091E+001, 2.027E+001, 2.043E+001, 2.073E+001, 2.087E+001, 2.103E+001, 2.083E+001, 1.833E+001, 3.204E+002, 3.123E+002, 3.126E+002, 3.340E+002, 3.722E+002, 4.190E+002, 4.757E+002, 5.084E+002, 5.780E+002, 6.528E+002, 7.550E+001, 7.472E+001, 7.503E+001, 7.572E+001, 7.779E+001, 7.934E+001, 8.299E+001, 7.648E+001, 7.868E+001, 6.484E+001, 6.276E+001, 1.068E+002, 9.420E+001, 7.695E+001, 6.267E+001, 1.380E+002, 1.003E+002, 7.584E+001, 6.051E+001, 7.292E+001, 9.732E+001, 1.273E+002, 8.342E+001, 6.832E+001, 6.804E+001, 6.870E+001, 7.382E+001, 7.472E+001, 7.703E+001, 9.249E+001, 1.023E+002, 7.601E+001, 1.021E+002, 1.460E+002, 7.669E+001, 1.013E+002, 1.560E+002, 1.558E+002, 1.072E+002, 8.011E+001, 6.213E+001, 7.660E+001, 8.920E+001, 1.005E+002, 1.054E+002, 9.450E+001, 7.769E+001, 6.310E+001, 6.867E+001, 7.394E+001, 7.546E+001, 7.752E+001, 7.649E+001, 7.165E+001, 6.336E+001, 2.080E-001, 3.873E-004, 4.852E-037, 2.008E-001, 4.036E-003, 1.143E-005, 4.000E+000
 8.000E+001, 4.147E+001, 2.961E+001, 2.148E+001, 2.123E+001, 2.110E+001, 2.097E+001, 2.088E+001, 2.091E+001, 2.103E+001, 1.808E+001, 4.096E+001, 4.722E+001, 3.263E+001, 2.125E+001, 2.037E+001, 2.027E+001, 2.025E+001, 2.021E+001, 2.017E+001, 2.017E+001, 1.808E+001, 3.998E+001, 4.471E+001, 3.105E+001, 2.095E+001, 2.030E+001, 2.033E+001, 2.047E+001, 2.052E+001, 2.019E+001, 1.986E+001, 1.885E+001, 2.647E+002, 2.111E+002, 2.040E+002, 2.091E+002, 2.338E+002, 2.675E+002, 3.082E+002, 3.285E+002, 3.725E+002, 4.216E+002, 6.089E+001, 6.064E+001, 6.116E+001, 6.190E+001, 6.443E+001, 6.591E+001, 6.860E+001, 6.924E+001, 6.271E+001, 5.403E+001, 5.158E+001, 8.702E+001, 7.766E+001, 6.241E+001, 5.224E+001, 1.122E+002, 8.756E+001, 6.332E+001, 5.151E+001, 6.532E+001, 8.300E+001, 1.124E+002, 7.132E+001, 5.713E+001, 5.458E+001, 5.546E+001, 6.643E+001, 6.905E+001, 6.291E+001, 7.441E+001, 9.082E+001, 6.454E+001, 8.690E+001, 1.128E+002, 6.668E+001, 8.712E+001, 1.194E+002, 1.257E+002, 9.199E+001, 6.478E+001, 5.370E+001, 6.097E+001, 7.949E+001, 9.604E+001, 9.917E+001, 8.422E+001, 6.742E+001, 5.394E+001, 5.379E+001, 6.615E+001, 6.869E+001, 7.167E+001, 6.989E+001, 5.989E+001, 5.152E+001, 2.080E-001, 3.873E-004, 1.141E-020, 1.975E-001, 4.523E-003, 1.297E-005, 4.000E+000
