s,C,C,C,m/s,m/s,C,C,C,
Time,"TC Array 1","TC Array 2","TC Array 3","Velocity Probe 1","Velocity Probe 2","Slow","Medium","Fast","Acts"
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000, 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.005E+001, 1.800E+001, 1.801E+001, 1.800E+001, 3.893E-003, 9.803E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.003E+001, 2.197E+001, 2.867E+001, 1.801E+001, 2.243E-001, 1.259E+000, 1.800E+001, 1.800E+001, 1.802E+001, 0.000E+000
 3.002E+001, 4.409E+001, 8.809E+001, 1.805E+001, 1.733E+000, 2.874E+000, 1.829E+001, 1.850E+001, 2.032E+001, 0.000E+000
 4.000E+001, 7.037E+001, 1.647E+002, 1.813E+001, 2.312E+000, 3.889E+000, 1.941E+001, 2.041E+001, 2.809E+001, 0.000E+000
 5.000E+001, 9.426E+001, 2.463E+002, 2.457E+001, 2.907E+000, 4.656E+000, 2.168E+001, 2.422E+001, 4.138E+001, 1.000E+000
 6.001E+001, 1.242E+002, 3.005E+002, 3.940E+001, 3.144E+000, 5.270E+000, 2.509E+001, 2.980E+001, 5.779E+001, 2.000E+000
 7.000E+001, 1.535E+002, 3.731E+002, 4.608E+001, 3.413E+000, 6.031E+000, 2.975E+001, 3.729E+001, 7.715E+001, 3.000E+000
 8.001E+001, 2.018E+002, 4.736E+002, 5.727E+001, 3.739E+000, 6.737E+000, 3.664E+001, 4.823E+001, 1.043E+002, 7.000E+000
 9.001E+001, 2.270E+002, 5.146E+002, 6.375E+001, 3.093E+000, 6.873E+000, 4.408E+001, 5.972E+001, 1.271E+002, 1.500E+001
 1.000E+002, 2.520E+002, 5.157E+002, 5.798E+001, 2.802E+000, 7.631E+000, 5.101E+001, 7.008E+001, 1.435E+002, 1.800E+001
 1.100E+002, 2.129E+002, 5.297E+002, 4.524E+001, 2.561E+000, 7.026E+000, 5.690E+001, 7.838E+001, 1.492E+002, 2.200E+001
