s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,
Time,"TC_001","TC_002","TC_003","TC_004","TC_005","TC_006","TC_007","TC_008","TC_009","TC_010","TC_011","TC_012","TC_013","TC_014","TC_015","TC_016","TC_017","TC_018","TC_019","TC_020","TC_021","TC_022","TC_023","TC_024","TC_025","TC_026","TC_027","TC_028","TC_029","TC_030","TC_031","TC_032","TC_033","TC_034","TC_035","TC_036","TC_037","TC_038","TC_039","TC_040","TC_041","TC_042","TC_043","TC_044","TC_045","TC_046","TC_047","TC_048","TC_049","TC_050","TC_051","TC_052","TC_053","TC_054","TC_055","TC_056","TC_057","TC_058","TC_059","TC_060","TC_061","TC_062","TC_063","TC_064","TC_065","TC_066","TC_067","TC_068","TC_069","TC_070","TC_071","TC_087","TC_088","TC_089","TC_090","TC_094","TC_095","TC_096","TC_097","O2_FLOOR","CO2_FLOOR","CO_FLOOR","O2_VENT","CO2_VENT","CO_VENT","Acts"
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.080E-001, 3.873E-004, 0.000E+000, 2.080E-001, 3.873E-004, 0.000E+000, 0.000E+000
 1.004E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.803E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.805E+001, 1.816E+001, 1.826E+001, 1.852E+001, 1.894E+001, 1.800E+001, 1.810E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.803E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.080E-001, 3.873E-004, 6.791E-048, 2.080E-001, 3.873E-004, 4.324E-031, 0.000E+000
 2.000E+001, 2.024E+001, 1.915E+001, 1.833E+001, 1.826E+001, 1.831E+001, 1.836E+001, 1.839E+001, 1.845E+001, 1.851E+001, 1.800E+001, 2.553E+001, 5.115E+001, 5.351E+001, 5.795E+001, 6.255E+001, 6.735E+001, 7.226E+001, 7.491E+001, 8.021E+001, 8.586E+001, 1.800E+001, 2.181E+001, 2.072E+001, 1.911E+001, 1.827E+001, 1.826E+001, 1.826E+001, 1.828E+001, 1.829E+001, 1.832E+001, 1.837E+001, 1.800E+001, 1.871E+001, 1.809E+001, 1.808E+001, 1.807E+001, 1.805E+001, 1.804E+001, 1.803E+001, 1.803E+001, 1.803E+001, 1.805E+001, 2.502E+001, 2.539E+001, 2.516E+001, 2.487E+001, 2.396E+001, 2.334E+001, 2.214E+001, 1.838E+001, 2.074E+001, 2.293E+001, 2.335E+001, 1.819E+001, 2.076E+001, 3.034E+001, 2.896E+001, 1.847E+001, 2.263E+001, 3.058E+001, 3.047E+001, 1.855E+001, 2.062E+001, 2.356E+001, 2.214E+001, 1.880E+001, 1.942E+001, 1.942E+001, 2.209E+001, 2.173E+001, 3.573E+001, 1.807E+001, 1.851E+001, 1.932E+001, 1.885E+001, 1.804E+001, 1.803E+001, 1.816E+001, 1.816E+001, 2.080E-001, 3.873E-004, 2.588E-039, 2.067E-001, 1.143E-003, 2.366E-006, 0.000E+000
 3.001E+001, 2.685E+001, 2.071E+001, 1.910E+001, 1.924E+001, 1.945E+001, 1.969E+001, 1.981E+001, 2.008E+001, 2.039E+001, 1.800E+001, 4.423E+001, 1.069E+002, 1.085E+002, 1.157E+002, 1.260E+002, 1.377E+002, 1.505E+002, 1.571E+002, 1.706E+002, 1.835E+002, 1.800E+001, 3.370E+001, 2.951E+001, 2.195E+001, 1.926E+001, 1.926E+001, 1.929E+001, 1.935E+001, 1.941E+001, 1.955E+001, 1.974E+001, 1.800E+001, 2.187E+001, 2.257E+001, 2.001E+001, 1.828E+001, 1.822E+001, 1.818E+001, 1.816E+001, 1.816E+001, 1.819E+001, 1.826E+001, 5.262E+001, 5.302E+001, 5.157E+001, 5.109E+001, 4.877E+001, 4.694E+001, 4.424E+001, 2.868E+001, 3.616E+001, 4.182E+001, 4.344E+001, 2.817E+001, 4.007E+001, 6.268E+001, 5.899E+001, 2.953E+001, 4.173E+001, 6.312E+001, 6.008E+001, 2.939E+001, 3.730E+001, 4.114E+001, 4.142E+001, 3.188E+001, 3.429E+001, 3.308E+001, 4.063E+001, 4.031E+001, 6.976E+001, 2.592E+001, 2.894E+001, 2.978E+001, 2.922E+001, 2.086E+001, 2.273E+001, 2.433E+001, 2.282E+001, 2.080E-001, 3.873E-004, 2.522E-033, 2.042E-001, 2.605E-003, 6.945E-006, 0.000E+000
 4.000E+001, 4.439E+001, 2.814E+001, 2.070E+001, 2.114E+001, 2.162E+001, 2.218E+001, 2.252E+001, 2.314E+001, 2.389E+001, 1.800E+001, 7.152E+001, 1.645E+002, 1.674E+002, 1.802E+002, 1.967E+002, 2.154E+002, 2.380E+002, 2.507E+002, 2.785E+002, 3.117E+002, 1.800E+001, 5.282E+001, 4.412E+001, 2.798E+001, 2.107E+001, 2.117E+001, 2.128E+001, 2.148E+001, 2.162E+001, 2.196E+001, 2.234E+001, 1.800E+001, 2.733E+001, 2.789E+001, 2.050E+001, 1.864E+001, 1.852E+001, 1.846E+001, 1.845E+001, 1.847E+001, 1.856E+001, 1.873E+001, 8.780E+001, 8.825E+001, 8.579E+001, 8.479E+001, 8.064E+001, 7.749E+001, 7.286E+001, 4.646E+001, 5.833E+001, 6.777E+001, 6.635E+001, 4.693E+001, 6.267E+001, 9.937E+001, 9.183E+001, 4.609E+001, 6.147E+001, 9.380E+001, 9.050E+001, 4.469E+001, 5.369E+001, 6.450E+001, 6.401E+001, 5.196E+001, 5.195E+001, 4.892E+001, 5.901E+001, 6.703E+001, 1.068E+002, 3.900E+001, 4.231E+001, 4.856E+001, 4.489E+001, 3.152E+001, 3.559E+001, 3.743E+001, 3.451E+001, 2.080E-001, 3.873E-004, 7.943E-033, 2.001E-001, 5.008E-003, 1.447E-005, 0.000E+000
 5.001E+001, 5.784E+001, 3.399E+001, 2.374E+001, 2.452E+001, 2.548E+001, 2.648E+001, 2.701E+001, 2.815E+001, 2.948E+001, 1.802E+001, 1.226E+002, 2.451E+002, 2.471E+002, 2.665E+002, 2.958E+002, 3.308E+002, 3.744E+002, 3.977E+002, 4.496E+002, 5.035E+002, 1.801E+001, 7.748E+001, 6.326E+001, 3.753E+001, 2.392E+001, 2.418E+001, 2.454E+001, 2.500E+001, 2.522E+001, 2.566E+001, 2.609E+001, 1.800E+001, 3.433E+001, 3.504E+001, 2.210E+001, 1.916E+001, 1.905E+001, 1.899E+001, 1.904E+001, 1.911E+001, 1.930E+001, 1.953E+001, 1.203E+002, 1.185E+002, 1.130E+002, 1.110E+002, 1.053E+002, 1.019E+002, 9.707E+001, 6.148E+001, 7.782E+001, 8.866E+001, 9.140E+001, 6.337E+001, 8.340E+001, 1.359E+002, 1.388E+002, 6.554E+001, 8.517E+001, 1.379E+002, 1.341E+002, 6.076E+001, 7.808E+001, 8.918E+001, 8.789E+001, 7.112E+001, 7.121E+001, 6.862E+001, 8.525E+001, 8.702E+001, 1.506E+002, 5.324E+001, 6.311E+001, 6.556E+001, 6.715E+001, 4.656E+001, 5.076E+001, 5.165E+001, 4.878E+001, 2.080E-001, 3.873E-004, 1.459E-032, 1.990E-001, 5.678E-003, 1.657E-005, 0.000E+000
 6.001E+001, 6.359E+001, 3.693E+001, 2.878E+001, 2.984E+001, 3.107E+001, 3.240E+001, 3.287E+001, 3.446E+001, 3.629E+001, 1.809E+001, 2.018E+002, 3.321E+002, 3.343E+002, 3.620E+002, 4.029E+002, 4.535E+002, 5.122E+002, 5.453E+002, 6.164E+002, 6.883E+002, 1.805E+001, 1.020E+002, 7.676E+001, 4.547E+001, 2.772E+001, 2.798E+001, 2.854E+001, 2.908E+001, 2.924E+001, 2.964E+001, 2.999E+001, 1.801E+001, 4.197E+001, 4.746E+001, 2.584E+001, 1.981E+001, 1.975E+001, 1.981E+001, 1.997E+001, 2.008E+001, 2.018E+001, 2.028E+001, 1.497E+002, 1.451E+002, 1.358E+002, 1.329E+002, 1.239E+002, 1.190E+002, 1.122E+002, 7.778E+001, 1.013E+002, 1.115E+002, 1.141E+002, 7.200E+001, 1.001E+002, 1.768E+002, 1.894E+002, 7.192E+001, 9.508E+001, 1.784E+002, 1.849E+002, 7.599E+001, 9.974E+001, 1.078E+002, 1.121E+002, 8.210E+001, 7.789E+001, 8.686E+001, 1.079E+002, 1.097E+002, 1.983E+002, 7.149E+001, 7.831E+001, 7.851E+001, 8.072E+001, 6.143E+001, 6.023E+001, 6.208E+001, 6.157E+001, 2.080E-001, 3.873E-004, 5.877E-032, 1.979E-001, 6.303E-003, 1.853E-005, 1.000E+000
 7.000E+001, 6.725E+001, 4.231E+001, 3.245E+001, 3.247E+001, 3.295E+001, 3.385E+001, 3.415E+001, 3.562E+001, 3.720E+001, 1.825E+001, 2.164E+002, 3.172E+002, 3.130E+002, 3.311E+002, 3.648E+002, 4.087E+002, 4.597E+002, 4.869E+002, 5.486E+002, 6.180E+002, 1.815E+001, 9.996E+001, 9.558E+001, 6.504E+001, 3.317E+001, 3.094E+001, 3.017E+001, 2.957E+001, 2.938E+001, 2.942E+001, 2.961E+001, 1.804E+001, 4.288E+001, 4.463E+001, 2.911E+001, 2.039E+001, 2.019E+001, 2.027E+001, 2.028E+001, 2.006E+001, 2.010E+001, 2.020E+001, 1.549E+002, 1.491E+002, 1.380E+002, 1.345E+002, 1.257E+002, 1.210E+002, 1.150E+002, 7.493E+001, 9.795E+001, 1.162E+002, 1.144E+002, 7.362E+001, 9.481E+001, 1.555E+002, 1.601E+002, 7.276E+001, 9.824E+001, 1.525E+002, 1.698E+002, 7.324E+001, 9.388E+001, 1.102E+002, 1.112E+002, 7.769E+001, 7.979E+001, 8.154E+001, 1.046E+002, 1.044E+002, 1.927E+002, 6.859E+001, 7.908E+001, 7.531E+001, 7.797E+001, 6.354E+001, 6.196E+001, 6.156E+001, 6.387E+001, 2.079E-001, 3.870E-004, 3.707E-023, 1.939E-001, 7.321E-003, 2.173E-005, 4.000E+000
 8.001E+001, 7.023E+001, 4.815E+001, 3.364E+001, 3.030E+001, 2.941E+001, 2.983E+001, 3.026E+001, 3.137E+001, 3.289E+001, 1.859E+001, 1.836E+002, 2.282E+002, 2.166E+002, 2.174E+002, 2.329E+002, 2.621E+002, 3.014E+002, 3.280E+002, 3.899E+002, 4.582E+002, 1.834E+001, 8.680E+001, 9.548E+001, 7.972E+001, 4.868E+001, 3.943E+001, 3.103E+001, 2.822E+001, 2.704E+001, 2.669E+001, 2.678E+001, 1.809E+001, 4.147E+001, 4.282E+001, 2.802E+001, 2.042E+001, 1.993E+001, 1.960E+001, 1.943E+001, 1.935E+001, 1.948E+001, 1.962E+001, 1.452E+002, 1.404E+002, 1.313E+002, 1.286E+002, 1.219E+002, 1.182E+002, 1.125E+002, 6.912E+001, 8.655E+001, 9.964E+001, 9.483E+001, 8.098E+001, 9.855E+001, 1.191E+002, 1.342E+002, 7.403E+001, 9.257E+001, 1.407E+002, 1.455E+002, 6.831E+001, 8.711E+001, 1.049E+002, 1.126E+002, 8.362E+001, 7.630E+001, 7.670E+001, 9.735E+001, 1.103E+002, 1.529E+002, 6.033E+001, 7.113E+001, 7.079E+001, 7.687E+001, 5.599E+001, 5.446E+001, 5.683E+001, 6.063E+001, 2.063E-001, 3.882E-004, 1.267E-008, 1.879E-001, 8.394E-003, 2.511E-005, 4.000E+000
