s,C,C,C,m/s,m/s,C,C,C,
Time,"TC Array 1","TC Array 2","TC Array 3","Velocity Probe 1","Velocity Probe 2","Slow","Medium","Fast","Acts"
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000, 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.005E+001, 1.800E+001, 1.801E+001, 1.800E+001, 5.513E-003, 9.815E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.003E+001, 2.198E+001, 2.868E+001, 1.801E+001, 2.513E-001, 1.259E+000, 1.800E+001, 1.800E+001, 1.802E+001, 0.000E+000
 3.002E+001, 4.406E+001, 8.821E+001, 1.805E+001, 1.557E+000, 2.877E+000, 1.824E+001, 1.842E+001, 1.992E+001, 0.000E+000
 4.000E+001, 7.028E+001, 1.663E+002, 1.813E+001, 1.692E+000, 3.883E+000, 1.877E+001, 1.932E+001, 2.346E+001, 0.000E+000
 5.001E+001, 9.578E+001, 2.467E+002, 2.395E+001, 1.889E+000, 4.802E+000, 1.974E+001, 2.094E+001, 2.914E+001, 1.000E+000
 6.000E+001, 1.233E+002, 3.029E+002, 3.801E+001, 2.012E+000, 5.270E+000, 2.128E+001, 2.349E+001, 3.747E+001, 2.000E+000
 7.001E+001, 1.540E+002, 3.563E+002, 4.393E+001, 2.045E+000, 5.970E+000, 2.334E+001, 2.685E+001, 4.729E+001, 2.000E+000
 8.001E+001, 2.035E+002, 4.839E+002, 5.218E+001, 2.202E+000, 6.898E+000, 2.625E+001, 3.156E+001, 6.017E+001, 6.000E+000
 9.001E+001, 2.168E+002, 4.862E+002, 5.193E+001, 2.078E+000, 6.853E+000, 2.965E+001, 3.695E+001, 7.281E+001, 1.500E+001
 1.000E+002, 1.948E+002, 4.666E+002, 3.938E+001, 1.923E+000, 6.399E+000, 3.254E+001, 4.131E+001, 7.910E+001, 1.700E+001
 1.100E+002, 2.188E+002, 4.989E+002, 3.205E+001, 2.022E+000, 7.842E+000, 3.538E+001, 4.549E+001, 8.392E+001, 2.100E+001
