s,C,C,C,m/s,m/s,C,C,C,
Time,"TC Array 1","TC Array 2","TC Array 3","Velocity Probe 1","Velocity Probe 2","Slow","Medium","Fast","Acts"
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000, 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.004E+001, 1.800E+001, 1.800E+001, 1.800E+001, 5.065E-003, 9.927E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.002E+001, 1.876E+001, 1.808E+001, 1.968E+001, 4.829E-001, 4.920E-001, 1.801E+001, 1.802E+001, 1.810E+001, 0.000E+000
 3.000E+001, 2.668E+001, 2.116E+001, 4.264E+001, 1.093E+000, 1.300E+000, 1.816E+001, 1.828E+001, 1.927E+001, 0.000E+000
 4.001E+001, 4.115E+001, 3.210E+001, 7.167E+001, 1.752E+000, 2.219E+000, 1.857E+001, 1.898E+001, 2.212E+001, 0.000E+000
 5.001E+001, 5.601E+001, 4.577E+001, 1.007E+002, 2.586E+000, 2.943E+000, 1.957E+001, 2.066E+001, 2.830E+001, 0.000E+000
 6.000E+001, 7.743E+001, 5.887E+001, 1.248E+002, 3.555E+000, 3.734E+000, 2.156E+001, 2.395E+001, 3.902E+001, 2.000E+000
 7.000E+001, 9.929E+001, 8.050E+001, 1.218E+002, 4.746E+000, 4.472E+000, 2.530E+001, 3.009E+001, 5.770E+001, 4.000E+000
 8.000E+001, 1.183E+002, 9.821E+001, 1.201E+002, 4.380E+000, 4.342E+000, 3.233E+001, 4.146E+001, 8.946E+001, 6.000E+000
 9.000E+001, 1.184E+002, 9.384E+001, 1.521E+002, 3.408E+000, 3.855E+000, 3.766E+001, 4.956E+001, 1.012E+002, 1.000E+001
 1.000E+002, 1.094E+002, 9.834E+001, 1.403E+002, 2.688E+000, 2.327E+000, 4.257E+001, 5.671E+001, 1.081E+002, 1.500E+001
 1.100E+002, 9.958E+001, 9.463E+001, 1.523E+002, 1.641E+000, 1.279E+000, 4.500E+001, 5.974E+001, 1.028E+002, 1.600E+001
