s,status,status,status,status
Time,"Act1","Act2","Act3","Act4"
 0.000E+00,-1,-1,-1,-1
 1.000E-01,-1,-1,-1,-1
 2.000E-01,-1,-1,-1,-1
 3.000E-01,-1,-1,-1,-1
 4.000E-01,-1,-1,-1,-1
 5.000E-01,-1,-1,-1,-1
 6.000E-01,-1,-1,-1,-1
 7.000E-01,-1,-1,-1,-1
 8.000E-01,-1,-1,-1,-1
 9.000E-01,-1,-1,-1,-1
 1.000E+00,-1,-1,-1,-1
 1.100E+00,-1,-1,-1,-1
 1.224E+00,-1,-1,-1,-1
 1.338E+00,-1,-1,-1,-1
 1.418E+00,-1,-1,-1,-1
 1.516E+00,-1,-1,-1,-1
 1.619E+00,-1,-1,-1,-1
 1.717E+00,-1,-1,-1,-1
 1.804E+00,-1,-1,-1,-1
 1.912E+00,-1,-1,-1,-1
 2.020E+00,-1,-1,-1,-1
 2.107E+00,-1,-1,-1,-1
 2.215E+00,-1,-1,-1,-1
 2.302E+00,-1,-1,-1,-1
 2.410E+00,-1,-1,-1,-1
 2.518E+00,-1,-1,-1,-1
 2.605E+00,-1,-1,-1,-1
 2.713E+00,-1,-1,-1,-1
 2.814E+00,-1,-1,-1,-1
 2.911E+00,-1,-1,-1,-1
 3.008E+00,-1,-1,-1,-1
 3.117E+00,-1,-1,-1,-1
 3.203E+00,-1,-1,-1,-1
 3.306E+00,-1,-1,-1,-1
 3.409E+00,-1,-1,-1,-1
 3.512E+00,-1,-1,-1,-1
 3.601E+00,-1,-1,-1,-1
 3.714E+00,-1,-1,-1,-1
 3.809E+00,-1,-1,-1,-1
 3.903E+00,-1,-1,-1,-1
 4.015E+00,-1,-1,-1,-1
 4.116E+00,-1,-1,-1,-1
 4.201E+00,-1,-1,-1,-1
 4.306E+00,-1,-1,-1,-1
 4.401E+00,-1,-1,-1,-1
 4.507E+00,-1,-1,-1,-1
 4.601E+00,-1,-1,-1,-1
 4.712E+00,-1,-1,-1,-1
 4.813E+00,-1,-1,-1,-1
 4.906E+00,-1,-1,-1,-1
 5.002E+00,-1,-1,-1,-1
 5.111E+00,-1,-1,-1,-1
 5.202E+00,-1,-1,-1,-1
 5.312E+00,-1,-1,-1,-1
