s,status,status,status,status
Time,"Act1","Act2","Act3","Act4"
 0.000E+00,-1,-1,-1,-1
 1.861E-01,-1,-1,-1,-1
 2.792E-01,-1,-1,-1,-1
 3.722E-01,-1,-1,-1,-1
 4.653E-01,-1,-1,-1,-1
 5.584E-01,-1,-1,-1,-1
 6.514E-01,-1,-1,-1,-1
 7.445E-01,-1,-1,-1,-1
 8.375E-01,-1,-1,-1,-1
 9.306E-01,-1,-1,-1,-1
 1.024E+00,-1,-1,-1,-1
 1.117E+00,-1,-1,-1,-1
 1.267E+00,-1,-1,-1,-1
 1.337E+00,-1,-1,-1,-1
 1.447E+00,-1,-1,-1,-1
 1.542E+00,-1,-1,-1,-1
 1.622E+00,-1,-1,-1,-1
 1.728E+00,-1,-1,-1,-1
 1.830E+00,-1,-1,-1,-1
 1.922E+00,-1,-1,-1,-1
 2.015E+00,-1,-1,-1,-1
 2.127E+00,-1,-1,-1,-1
 2.208E+00,-1,-1,-1,-1
 2.317E+00,-1,-1,-1,-1
 2.426E+00,-1,-1,-1,-1
 2.502E+00,-1,-1,-1,-1
 2.624E+00,-1,-1,-1,-1
 2.710E+00,-1,-1,-1,-1
 2.807E+00,-1,-1,-1,-1
 2.904E+00,-1,-1,-1,-1
 3.000E+00,-1,-1,-1,-1
 3.116E+00,-1,-1,-1,-1
 3.204E+00,-1,-1,-1,-1
 3.303E+00,-1,-1,-1,-1
 3.405E+00,-1,-1,-1,-1
 3.506E+00,-1,-1,-1,-1
 3.615E+00,-1,-1,-1,-1
 3.704E+00,-1,-1,-1,-1
 3.805E+00,-1,-1,-1,-1
 3.901E+00,-1,-1,-1,-1
 4.013E+00,-1,-1,-1,-1
 4.109E+00,-1,-1,-1,-1
 4.214E+00,-1,-1,-1,-1
 4.314E+00,-1,-1,-1,-1
 4.414E+00,-1,-1,-1,-1
 4.514E+00,-1,-1,-1,-1
 4.614E+00,-1,-1,-1,-1
 4.714E+00,-1,-1,-1,-1
 4.814E+00,-1,-1,-1,-1
 4.914E+00,-1,-1,-1,-1
 5.014E+00,-1,-1,-1,-1
 5.114E+00,-1,-1,-1,-1
 5.212E+00,-1,-1,-1,-1
 5.312E+00,-1,-1,-1,-1
