s,status,status,status,status
Time,"Act1","Act2","Act3","Act4"
 0.000E+00,-1,-1,-1,-1
 1.000E-01,-1,-1,-1,-1
 2.000E-01,-1,-1,-1,-1
 3.000E-01,-1,-1,-1,-1
 4.000E-01,-1,-1,-1,-1
 5.000E-01,-1,-1,-1,-1
 6.000E-01,-1,-1,-1,-1
 7.000E-01,-1,-1,-1,-1
 8.000E-01,-1,-1,-1,-1
 9.000E-01,-1,-1,-1,-1
 1.000E+00,-1,-1,-1,-1
 1.100E+00,-1,-1,-1,-1
 1.249E+00,-1,-1,-1,-1
 1.318E+00,-1,-1,-1,-1
 1.423E+00,-1,-1,-1,-1
 1.514E+00,-1,-1,-1,-1
 1.624E+00,-1,-1,-1,-1
 1.717E+00,-1,-1,-1,-1
 1.806E+00,-1,-1,-1,-1
 1.910E+00,-1,-1,-1,-1
 2.013E+00,-1,-1,-1,-1
 2.113E+00,-1,-1,-1,-1
 2.205E+00,-1,-1,-1,-1
 2.321E+00,-1,-1,-1,-1
 2.422E+00,-1,-1,-1,-1
 2.521E+00,-1,-1,-1,-1
 2.612E+00,-1,-1,-1,-1
 2.703E+00,-1,-1,-1,-1
 2.812E+00,-1,-1,-1,-1
 2.914E+00,-1,-1,-1,-1
 3.015E+00,-1,-1,-1,-1
 3.113E+00,-1,-1,-1,-1
 3.204E+00,-1,-1,-1,-1
 3.311E+00,-1,-1,-1,-1
 3.412E+00,-1,-1,-1,-1
 3.507E+00,-1,-1,-1,-1
 3.611E+00,-1,-1,-1,-1
 3.714E+00,-1,-1,-1,-1
 3.818E+00,-1,-1,-1,-1
 3.901E+00,-1,-1,-1,-1
 4.005E+00,-1,-1,-1,-1
 4.109E+00,-1,-1,-1,-1
 4.204E+00,-1,-1,-1,-1
 4.303E+00,-1,-1,-1,-1
 4.405E+00,-1,-1,-1,-1
 4.502E+00,-1,-1,-1,-1
 4.611E+00,-1,-1,-1,-1
 4.702E+00,-1,-1,-1,-1
 4.811E+00,-1,-1,-1,-1
 4.908E+00,-1,-1,-1,-1
 5.001E+00,-1,-1,-1,-1
 5.110E+00,-1,-1,-1,-1
 5.209E+00,-1,-1,-1,-1
 5.312E+00,-1,-1,-1,-1
