m,m/s,m/s,m,m/s,m/s
Height,u_left,u_right,Length,u_bottom,u_top
 6.2500000E-004, 3.6836901E-003,-5.4910817E-002, 3.0000000E-002, 0.0000000E+000, 4.5500000E-001
 3.0303030E-002, 3.6836901E-003,-5.4910817E-002, 9.2517483E-002, 2.4977911E-003, 4.2666717E-001
 6.0606061E-002, 7.9274115E-003,-7.0069085E-002, 1.5503497E-001, 3.2535851E-003, 4.0617660E-001
 9.0909091E-002, 1.0111942E-002,-7.3944431E-002, 2.1755245E-001, 3.0696035E-003, 3.9502124E-001
 1.2121212E-001, 1.1157022E-002,-7.4614671E-002, 2.8006993E-001, 2.7521104E-003, 3.8905656E-001
 1.5151515E-001, 1.1700899E-002,-7.3460955E-002, 3.4258741E-001, 2.7793607E-003, 3.8580904E-001
 1.8181818E-001, 1.2077886E-002,-7.2822829E-002, 4.0510490E-001, 3.0443645E-003, 3.8404088E-001
 2.1212121E-001, 1.2495433E-002,-7.1401361E-002, 4.6762238E-001, 3.4152696E-003, 3.8309453E-001
 2.4242424E-001, 1.3047385E-002,-6.9304625E-002, 5.3013986E-001, 3.7790696E-003, 3.8261350E-001
 2.7272727E-001, 1.3515867E-002,-6.8965693E-002, 5.9265734E-001, 4.1012815E-003, 3.8239124E-001
 3.0303030E-001, 1.3515867E-002,-6.8965693E-002, 6.5517483E-001, 4.3832428E-003, 3.8232609E-001
 3.3333333E-001, 1.3726861E-002,-6.8213262E-002, 7.1769231E-001, 4.6415289E-003, 3.8233270E-001
 3.6363636E-001, 1.3882494E-002,-6.6337485E-002, 7.8020979E-001, 4.8914914E-003, 3.8238911E-001
 3.9393939E-001, 1.3882494E-002,-6.6337485E-002, 8.4272727E-001, 5.1486183E-003, 3.8246416E-001
 4.2424242E-001, 1.4439088E-002,-6.5938691E-002, 9.0524476E-001, 5.4128315E-003, 3.8254912E-001
 4.5454545E-001, 1.4439088E-002,-6.5938691E-002, 9.6776224E-001, 5.6851317E-003, 3.8263659E-001
 4.8484848E-001, 1.4753201E-002,-6.3711052E-002, 1.0302797E+000, 5.9528986E-003, 3.8272293E-001
 5.1515152E-001, 1.4753201E-002,-6.3711052E-002, 1.0927972E+000, 6.2003056E-003, 3.8278303E-001
 5.4545455E-001, 1.4753201E-002,-6.3711052E-002, 1.1553147E+000, 6.4092173E-003, 3.8284449E-001
 5.7575758E-001, 1.4851047E-002,-6.2930555E-002, 1.2178322E+000, 6.5706428E-003, 3.8288041E-001
 6.0606061E-001, 1.4851047E-002,-6.2930555E-002, 1.2803497E+000, 6.6848354E-003, 3.8291030E-001
 6.3636364E-001, 1.5290223E-002,-6.1448763E-002, 1.3428671E+000, 6.7648683E-003, 3.8292127E-001
 6.6666667E-001, 1.5290223E-002,-6.1448763E-002, 1.4053846E+000, 6.8217912E-003, 3.8292548E-001
 6.9696970E-001, 1.5290223E-002,-6.1448763E-002, 1.4679021E+000, 6.8758346E-003, 3.8290499E-001
 7.2727273E-001, 1.5664783E-002,-5.9363767E-002, 1.5304196E+000, 6.9274476E-003, 3.8287798E-001
 7.5757576E-001, 1.5664783E-002,-5.9363767E-002, 1.5929371E+000, 6.9893153E-003, 3.8282190E-001
 7.8787879E-001, 1.5664783E-002,-5.9363767E-002, 1.6554545E+000, 7.0520898E-003, 3.8275363E-001
 8.1818182E-001, 1.5356085E-002,-5.6314346E-002, 1.7179720E+000, 7.1340218E-003, 3.8265681E-001
 8.4848485E-001, 1.5356085E-002,-5.6314346E-002, 1.7804895E+000, 7.2219516E-003, 3.8255673E-001
 8.7878788E-001, 1.5356085E-002,-5.6314346E-002, 1.8430070E+000, 7.3348307E-003, 3.8242092E-001
 9.0909091E-001, 1.4150473E-002,-5.4819986E-002, 1.9055245E+000, 7.4600082E-003, 3.8227671E-001
 9.3939394E-001, 1.4150473E-002,-5.4819986E-002, 1.9680420E+000, 7.6085204E-003, 3.8209297E-001
 9.6969697E-001, 1.4150473E-002,-5.4819986E-002, 2.0305594E+000, 7.7527317E-003, 3.8187999E-001
 1.0000000E+000, 1.3041025E-002,-4.8270092E-002, 2.0930769E+000, 7.9206744E-003, 3.8161935E-001
 1.0303030E+000, 1.3041025E-002,-4.8270092E-002, 2.1555944E+000, 8.0660712E-003, 3.8132415E-001
