m,C,m,C,m/s,m/s,m/s,m/s
Room_z,Room_TC,Door_z,Door_TC,Door_q,Door_u,Door_v,Door_w
 2.500E-02, 3.027E+01, 2.500E-02, 2.485E+01, 2.069E-01, 2.203E-01, 7.527E-02,-2.677E-06
 7.500E-02, 3.186E+01, 7.500E-02, 2.386E+01, 6.301E-01, 6.034E-01, 4.898E-02, 6.174E-02
 1.250E-01, 3.373E+01, 1.250E-01, 2.353E+01, 7.838E-01, 7.635E-01, 4.898E-02, 4.759E-02
 1.750E-01, 3.454E+01, 1.750E-01, 2.344E+01, 7.893E-01, 7.784E-01, 2.601E-03, 2.798E-02
 2.250E-01, 3.536E+01, 2.250E-01, 2.340E+01, 7.591E-01, 7.440E-01,-1.193E-02, 1.908E-02
 2.750E-01, 3.608E+01, 2.750E-01, 2.339E+01, 7.323E-01, 7.033E-01,-1.193E-02, 4.442E-03
 3.250E-01, 3.668E+01, 3.250E-01, 2.341E+01, 7.100E-01, 6.920E-01,-1.087E-02,-1.071E-02
 3.750E-01, 3.721E+01, 3.750E-01, 2.341E+01, 6.907E-01, 6.704E-01, 3.147E-04, 1.214E-03
 4.250E-01, 3.761E+01, 4.250E-01, 2.342E+01, 6.733E-01, 6.525E-01, 3.147E-04,-9.210E-03
 4.750E-01, 3.807E+01, 4.750E-01, 2.345E+01, 6.557E-01, 6.405E-01, 7.880E-03,-3.367E-02
 5.250E-01, 3.865E+01, 5.250E-01, 2.349E+01, 6.389E-01, 6.159E-01, 2.854E-03,-5.175E-02
 5.750E-01, 3.937E+01, 5.750E-01, 2.356E+01, 6.233E-01, 6.037E-01, 2.854E-03,-7.772E-02
 6.250E-01, 4.014E+01, 6.250E-01, 2.364E+01, 6.054E-01, 5.802E-01,-4.104E-03,-9.088E-02
 6.750E-01, 4.103E+01, 6.750E-01, 2.373E+01, 5.871E-01, 5.615E-01,-7.585E-03,-1.110E-01
 7.250E-01, 4.187E+01, 7.250E-01, 2.382E+01, 5.687E-01, 5.391E-01,-7.585E-03,-1.348E-01
 7.750E-01, 4.265E+01, 7.750E-01, 2.392E+01, 5.476E-01, 5.181E-01,-9.018E-03,-1.348E-01
 8.250E-01, 4.348E+01, 8.250E-01, 2.401E+01, 5.275E-01, 4.907E-01,-1.190E-02,-1.417E-01
 8.750E-01, 4.454E+01, 8.750E-01, 2.413E+01, 5.084E-01, 4.684E-01,-1.190E-02,-1.465E-01
 9.250E-01, 4.692E+01, 9.250E-01, 2.441E+01, 4.835E-01, 4.396E-01,-1.211E-02,-1.484E-01
 9.750E-01, 5.131E+01, 9.750E-01, 2.536E+01, 4.396E-01, 4.115E-01,-1.184E-02,-1.530E-01
 1.025E+00, 5.943E+01, 1.025E+00, 2.873E+01, 3.364E-01, 3.551E-01,-1.184E-02,-1.430E-01
 1.075E+00, 7.157E+01, 1.075E+00, 3.542E+01, 9.351E-02, 1.938E-01,-1.661E-02,-8.447E-02
 1.125E+00, 8.680E+01, 1.125E+00, 4.467E+01,-1.825E-01,-6.555E-02,-2.194E-02, 1.403E-02
 1.175E+00, 1.031E+02, 1.175E+00, 5.669E+01,-3.820E-01,-2.375E-01,-2.194E-02, 9.012E-02
 1.225E+00, 1.190E+02, 1.225E+00, 7.379E+01,-6.009E-01,-4.299E-01,-1.703E-02, 1.907E-01
 1.275E+00, 1.309E+02, 1.275E+00, 9.164E+01,-7.810E-01,-6.133E-01,-1.803E-02, 2.764E-01
 1.325E+00, 1.395E+02, 1.325E+00, 1.068E+02,-9.772E-01,-7.775E-01,-1.803E-02, 3.141E-01
 1.375E+00, 1.450E+02, 1.375E+00, 1.194E+02,-1.136E+00,-9.129E-01,-1.547E-02, 3.648E-01
 1.425E+00, 1.492E+02, 1.425E+00, 1.294E+02,-1.245E+00,-1.007E+00,-1.494E-02, 4.298E-01
 1.475E+00, 1.524E+02, 1.475E+00, 1.369E+02,-1.341E+00,-1.062E+00,-1.494E-02, 5.448E-01
 1.525E+00, 1.545E+02, 1.525E+00, 1.422E+02,-1.435E+00,-1.128E+00,-2.143E-02, 6.700E-01
 1.575E+00, 1.564E+02, 1.575E+00, 1.459E+02,-1.527E+00,-1.235E+00,-2.708E-02, 7.420E-01
 1.625E+00, 1.579E+02, 1.625E+00, 1.494E+02,-1.629E+00,-1.368E+00,-2.708E-02, 7.564E-01
 1.675E+00, 1.591E+02, 1.675E+00, 1.522E+02,-1.735E+00,-1.505E+00,-8.016E-03, 7.477E-01
 1.725E+00, 1.595E+02, 1.725E+00, 1.535E+02,-1.842E+00,-1.665E+00, 1.673E-03, 7.150E-01
 1.775E+00, 1.597E+02, 1.775E+00, 1.545E+02,-2.000E+00,-1.872E+00, 1.673E-03, 6.389E-01
 1.825E+00, 1.602E+02, 1.825E+00, 1.572E+02,-2.230E+00,-2.134E+00, 7.725E-03, 5.172E-01
 1.875E+00, 1.606E+02, 1.875E+00, 1.604E+02,-2.059E+00,-2.058E+00, 6.488E-03, 2.556E-01
