m,C,m,C,m/s,m/s,m/s,m/s
Room_z,Room_TC,Door_z,Door_TC,Door_q,Door_u,Door_v,Door_w
 2.500E-02, 3.705E+01, 2.500E-02, 2.792E+01, 2.828E-01, 2.818E-01,-4.139E-02,-2.387E-06
 7.500E-02, 3.855E+01, 7.500E-02, 2.590E+01, 7.875E-01, 7.518E-01,-3.115E-02, 5.470E-02
 1.250E-01, 4.180E+01, 1.250E-01, 2.527E+01, 9.561E-01, 9.352E-01,-3.115E-02, 1.806E-02
 1.750E-01, 4.371E+01, 1.750E-01, 2.515E+01, 9.504E-01, 9.381E-01,-3.272E-03, 4.271E-03
 2.250E-01, 4.502E+01, 2.250E-01, 2.514E+01, 9.099E-01, 8.883E-01, 8.072E-03, 2.606E-03
 2.750E-01, 4.591E+01, 2.750E-01, 2.515E+01, 8.747E-01, 8.422E-01, 8.072E-03,-9.176E-03
 3.250E-01, 4.675E+01, 3.250E-01, 2.522E+01, 8.470E-01, 8.274E-01, 6.573E-03,-2.834E-02
 3.750E-01, 4.753E+01, 3.750E-01, 2.527E+01, 8.232E-01, 7.979E-01, 6.114E-03,-1.246E-02
 4.250E-01, 4.853E+01, 4.250E-01, 2.533E+01, 7.979E-01, 7.722E-01, 6.114E-03,-2.390E-02
 4.750E-01, 4.952E+01, 4.750E-01, 2.541E+01, 7.738E-01, 7.525E-01, 2.698E-03,-5.207E-02
 5.250E-01, 5.043E+01, 5.250E-01, 2.549E+01, 7.508E-01, 7.214E-01,-8.853E-03,-7.809E-02
 5.750E-01, 5.168E+01, 5.750E-01, 2.560E+01, 7.297E-01, 7.022E-01,-8.853E-03,-1.133E-01
 6.250E-01, 5.292E+01, 6.250E-01, 2.573E+01, 7.066E-01, 6.729E-01,-7.547E-03,-1.377E-01
 6.750E-01, 5.417E+01, 6.750E-01, 2.589E+01, 6.813E-01, 6.457E-01,-1.332E-03,-1.624E-01
 7.250E-01, 5.553E+01, 7.250E-01, 2.604E+01, 6.564E-01, 6.109E-01,-1.332E-03,-1.897E-01
 7.750E-01, 5.731E+01, 7.750E-01, 2.623E+01, 6.309E-01, 5.834E-01,-4.268E-03,-1.897E-01
 8.250E-01, 5.931E+01, 8.250E-01, 2.643E+01, 6.026E-01, 5.475E-01,-5.474E-03,-1.993E-01
 8.750E-01, 6.264E+01, 8.750E-01, 2.687E+01, 5.731E-01, 5.110E-01,-5.474E-03,-2.075E-01
 9.250E-01, 6.815E+01, 9.250E-01, 2.866E+01, 5.140E-01, 4.728E-01,-1.656E-02,-2.131E-01
 9.750E-01, 7.747E+01, 9.750E-01, 3.373E+01, 3.948E-01, 3.971E-01,-1.841E-02,-1.820E-01
 1.025E+00, 9.191E+01, 1.025E+00, 4.412E+01, 1.184E-01, 2.205E-01,-1.841E-02,-1.134E-01
 1.075E+00, 1.125E+02, 1.075E+00, 5.635E+01,-1.827E-01,-4.160E-02,-7.288E-03,-3.662E-03
 1.125E+00, 1.359E+02, 1.125E+00, 7.132E+01,-4.113E-01,-2.588E-01, 2.254E-04, 1.097E-01
 1.175E+00, 1.571E+02, 1.175E+00, 9.391E+01,-6.641E-01,-5.112E-01, 2.254E-04, 2.167E-01
 1.225E+00, 1.776E+02, 1.225E+00, 1.210E+02,-9.262E-01,-7.379E-01, 4.689E-03, 2.971E-01
 1.275E+00, 1.937E+02, 1.275E+00, 1.460E+02,-1.180E+00,-9.578E-01, 1.687E-02, 3.774E-01
 1.325E+00, 2.041E+02, 1.325E+00, 1.649E+02,-1.367E+00,-1.110E+00, 1.687E-02, 4.388E-01
 1.375E+00, 2.113E+02, 1.375E+00, 1.788E+02,-1.516E+00,-1.210E+00, 2.604E-02, 5.260E-01
 1.425E+00, 2.159E+02, 1.425E+00, 1.890E+02,-1.632E+00,-1.279E+00, 3.091E-02, 6.473E-01
 1.475E+00, 2.186E+02, 1.475E+00, 1.964E+02,-1.729E+00,-1.340E+00, 3.091E-02, 7.808E-01
 1.525E+00, 2.199E+02, 1.525E+00, 2.024E+02,-1.855E+00,-1.459E+00, 1.059E-02, 8.986E-01
 1.575E+00, 2.218E+02, 1.575E+00, 2.069E+02,-1.965E+00,-1.603E+00,-4.446E-03, 9.680E-01
 1.625E+00, 2.233E+02, 1.625E+00, 2.107E+02,-2.069E+00,-1.740E+00,-4.446E-03, 9.662E-01
 1.675E+00, 2.251E+02, 1.675E+00, 2.134E+02,-2.182E+00,-1.909E+00,-1.507E-02, 9.486E-01
 1.725E+00, 2.266E+02, 1.725E+00, 2.147E+02,-2.311E+00,-2.104E+00, 3.544E-03, 9.000E-01
 1.775E+00, 2.271E+02, 1.775E+00, 2.168E+02,-2.520E+00,-2.377E+00, 3.544E-03, 7.620E-01
 1.825E+00, 2.275E+02, 1.825E+00, 2.222E+02,-2.827E+00,-2.730E+00, 3.536E-02, 5.923E-01
 1.875E+00, 2.278E+02, 1.875E+00, 2.275E+02,-2.551E+00,-2.546E+00, 9.907E-03, 3.041E-01
 1.925E+00, 2.279E+02, 1.925E+00, 2.242E+02,-3.666E-01,-4.018E-01, 9.907E-03, 3.041E-01
 1.975E+00, 2.279E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.025E+00, 2.281E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.075E+00, 2.283E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.125E+00, 2.287E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.175E+00, 2.298E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.225E+00, 2.329E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.275E+00, 2.375E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.325E+00, 2.427E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.375E+00, 2.468E+02,NaN,NaN,NaN,NaN,NaN,NaN
