m,C,m,C,m/s,m/s,m/s,m/s
Room_z,Room_TC,Door_z,Door_TC,Door_q,Door_u,Door_v,Door_w
 2.500E-02, 3.404E+01, 2.500E-02, 2.636E+01, 2.466E-01, 2.514E-01, 1.009E-02,-3.966E-06
 7.500E-02, 3.549E+01, 7.500E-02, 2.486E+01, 7.186E-01, 6.848E-01,-1.088E-03, 8.097E-02
 1.250E-01, 3.795E+01, 1.250E-01, 2.436E+01, 8.798E-01, 8.469E-01,-1.088E-03, 4.803E-02
 1.750E-01, 3.925E+01, 1.750E-01, 2.424E+01, 8.810E-01, 8.700E-01,-7.994E-03, 1.044E-02
 2.250E-01, 4.035E+01, 2.250E-01, 2.421E+01, 8.466E-01, 8.365E-01,-7.016E-03, 1.457E-02
 2.750E-01, 4.117E+01, 2.750E-01, 2.421E+01, 8.152E-01, 7.790E-01,-7.016E-03, 2.037E-02
 3.250E-01, 4.177E+01, 3.250E-01, 2.426E+01, 7.910E-01, 7.681E-01,-8.104E-03,-8.268E-03
 3.750E-01, 4.231E+01, 3.750E-01, 2.428E+01, 7.694E-01, 7.495E-01,-2.454E-03, 2.044E-03
 4.250E-01, 4.296E+01, 4.250E-01, 2.430E+01, 7.483E-01, 7.212E-01,-2.454E-03,-4.235E-03
 4.750E-01, 4.358E+01, 4.750E-01, 2.435E+01, 7.268E-01, 7.091E-01, 1.084E-03,-3.770E-02
 5.250E-01, 4.443E+01, 5.250E-01, 2.441E+01, 7.070E-01, 6.808E-01, 7.589E-04,-6.371E-02
 5.750E-01, 4.531E+01, 5.750E-01, 2.450E+01, 6.864E-01, 6.641E-01, 7.589E-04,-9.914E-02
 6.250E-01, 4.655E+01, 6.250E-01, 2.459E+01, 6.670E-01, 6.367E-01,-3.209E-03,-1.163E-01
 6.750E-01, 4.774E+01, 6.750E-01, 2.471E+01, 6.448E-01, 6.143E-01,-8.687E-03,-1.349E-01
 7.250E-01, 4.915E+01, 7.250E-01, 2.484E+01, 6.217E-01, 5.831E-01,-8.687E-03,-1.621E-01
 7.750E-01, 5.064E+01, 7.750E-01, 2.497E+01, 5.986E-01, 5.556E-01,-8.946E-03,-1.621E-01
 8.250E-01, 5.245E+01, 8.250E-01, 2.512E+01, 5.706E-01, 5.228E-01,-3.282E-03,-1.739E-01
 8.750E-01, 5.482E+01, 8.750E-01, 2.540E+01, 5.421E-01, 4.908E-01,-3.282E-03,-1.870E-01
 9.250E-01, 5.876E+01, 9.250E-01, 2.666E+01, 4.878E-01, 4.446E-01, 4.053E-03,-1.951E-01
 9.750E-01, 6.648E+01, 9.750E-01, 3.051E+01, 3.847E-01, 3.727E-01, 1.341E-02,-1.954E-01
 1.025E+00, 7.792E+01, 1.025E+00, 3.742E+01, 1.685E-01, 2.350E-01, 1.341E-02,-1.460E-01
 1.075E+00, 9.270E+01, 1.075E+00, 4.504E+01,-3.683E-03, 9.913E-02, 1.970E-02,-5.451E-02
 1.125E+00, 1.111E+02, 1.125E+00, 5.627E+01,-2.305E-01,-7.582E-02, 2.009E-02, 5.360E-02
 1.175E+00, 1.301E+02, 1.175E+00, 7.296E+01,-5.024E-01,-3.107E-01, 2.009E-02, 1.775E-01
 1.225E+00, 1.466E+02, 1.225E+00, 9.574E+01,-7.922E-01,-5.773E-01, 1.925E-02, 2.965E-01
 1.275E+00, 1.608E+02, 1.275E+00, 1.183E+02,-1.017E+00,-8.023E-01, 1.626E-02, 3.843E-01
 1.325E+00, 1.707E+02, 1.325E+00, 1.353E+02,-1.186E+00,-9.501E-01, 1.626E-02, 4.351E-01
 1.375E+00, 1.775E+02, 1.375E+00, 1.480E+02,-1.334E+00,-1.068E+00, 4.747E-03, 4.932E-01
 1.425E+00, 1.824E+02, 1.425E+00, 1.581E+02,-1.465E+00,-1.131E+00, 4.331E-03, 5.914E-01
 1.475E+00, 1.854E+02, 1.475E+00, 1.670E+02,-1.564E+00,-1.187E+00, 4.331E-03, 7.028E-01
 1.525E+00, 1.875E+02, 1.525E+00, 1.738E+02,-1.673E+00,-1.301E+00,-5.212E-03, 7.973E-01
 1.575E+00, 1.890E+02, 1.575E+00, 1.775E+02,-1.765E+00,-1.428E+00,-1.590E-02, 8.762E-01
 1.625E+00, 1.904E+02, 1.625E+00, 1.804E+02,-1.867E+00,-1.547E+00,-1.590E-02, 9.155E-01
 1.675E+00, 1.917E+02, 1.675E+00, 1.829E+02,-1.987E+00,-1.700E+00,-5.592E-03, 9.120E-01
 1.725E+00, 1.925E+02, 1.725E+00, 1.845E+02,-2.103E+00,-1.876E+00, 1.305E-02, 8.685E-01
 1.775E+00, 1.932E+02, 1.775E+00, 1.856E+02,-2.268E+00,-2.101E+00, 1.305E-02, 7.699E-01
 1.825E+00, 1.938E+02, 1.825E+00, 1.890E+02,-2.535E+00,-2.415E+00, 1.843E-02, 6.240E-01
 1.875E+00, 1.943E+02, 1.875E+00, 1.933E+02,-2.367E+00,-2.356E+00, 1.890E-02, 3.045E-01
 1.925E+00, 1.948E+02, 1.925E+00, 1.911E+02,-4.797E-01,-4.834E-01, 1.890E-02, 3.045E-01
 1.975E+00, 1.949E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.025E+00, 1.948E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.075E+00, 1.947E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.125E+00, 1.950E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.175E+00, 1.964E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.225E+00, 1.990E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.275E+00, 2.030E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.325E+00, 2.076E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.375E+00, 2.104E+02,NaN,NaN,NaN,NaN,NaN,NaN
