m,C,m,C,m/s,m/s,m/s,m/s
Room_z,Room_TC,Door_z,Door_TC,Door_q,Door_u,Door_v,Door_w
 2.500E-02, 2.590E+01, 2.500E-02, 2.296E+01, 4.863E-01, 5.052E-01,-7.008E-03,-1.512E-06
 7.500E-02, 2.734E+01, 7.500E-02, 2.273E+01, 6.503E-01, 6.346E-01, 6.326E-03, 5.030E-02
 1.250E-01, 2.945E+01, 1.250E-01, 2.267E+01, 6.601E-01, 6.384E-01, 6.326E-03, 3.059E-02
 1.750E-01, 3.033E+01, 1.750E-01, 2.266E+01, 6.340E-01, 6.159E-01, 1.902E-02,-2.385E-03
 2.250E-01, 3.083E+01, 2.250E-01, 2.266E+01, 6.103E-01, 5.965E-01, 3.649E-02,-2.420E-02
 2.750E-01, 3.118E+01, 2.750E-01, 2.265E+01, 5.922E-01, 5.760E-01, 3.649E-02,-1.761E-02
 3.250E-01, 3.128E+01, 3.250E-01, 2.263E+01, 5.725E-01, 5.530E-01, 4.010E-02,-5.319E-03
 3.750E-01, 3.145E+01, 3.750E-01, 2.262E+01, 5.541E-01, 5.413E-01, 4.422E-02,-8.938E-03
 4.250E-01, 3.168E+01, 4.250E-01, 2.262E+01, 5.384E-01, 5.198E-01, 4.422E-02,-1.620E-02
 4.750E-01, 3.199E+01, 4.750E-01, 2.264E+01, 5.247E-01, 5.100E-01, 3.161E-02,-3.986E-02
 5.250E-01, 3.232E+01, 5.250E-01, 2.268E+01, 5.118E-01, 4.885E-01, 1.990E-02,-5.356E-02
 5.750E-01, 3.280E+01, 5.750E-01, 2.274E+01, 4.990E-01, 4.774E-01, 1.990E-02,-7.364E-02
 6.250E-01, 3.337E+01, 6.250E-01, 2.281E+01, 4.851E-01, 4.601E-01, 3.841E-03,-8.356E-02
 6.750E-01, 3.389E+01, 6.750E-01, 2.289E+01, 4.695E-01, 4.447E-01,-1.653E-02,-9.562E-02
 7.250E-01, 3.436E+01, 7.250E-01, 2.296E+01, 4.543E-01, 4.266E-01,-1.653E-02,-1.093E-01
 7.750E-01, 3.480E+01, 7.750E-01, 2.303E+01, 4.386E-01, 4.110E-01,-2.931E-02,-1.093E-01
 8.250E-01, 3.520E+01, 8.250E-01, 2.309E+01, 4.221E-01, 3.918E-01,-3.392E-02,-1.156E-01
 8.750E-01, 3.595E+01, 8.750E-01, 2.314E+01, 4.078E-01, 3.716E-01,-3.392E-02,-1.203E-01
 9.250E-01, 3.737E+01, 9.250E-01, 2.320E+01, 3.910E-01, 3.545E-01,-3.220E-02,-1.257E-01
 9.750E-01, 3.992E+01, 9.750E-01, 2.356E+01, 3.674E-01, 3.343E-01,-2.697E-02,-1.231E-01
 1.025E+00, 4.441E+01, 1.025E+00, 2.490E+01, 3.209E-01, 2.960E-01,-2.697E-02,-1.174E-01
 1.075E+00, 5.159E+01, 1.075E+00, 2.824E+01, 1.851E-01, 2.040E-01,-2.080E-02,-9.192E-02
 1.125E+00, 6.054E+01, 1.125E+00, 3.398E+01, 1.394E-02, 6.244E-02,-1.749E-02,-3.785E-02
 1.175E+00, 7.063E+01, 1.175E+00, 4.142E+01,-1.716E-01,-6.061E-02,-1.749E-02, 3.023E-02
 1.225E+00, 8.001E+01, 1.225E+00, 5.355E+01,-4.104E-01,-2.579E-01,-9.977E-03, 1.176E-01
 1.275E+00, 8.966E+01, 1.275E+00, 6.811E+01,-6.134E-01,-4.570E-01,-9.568E-03, 2.003E-01
 1.325E+00, 9.761E+01, 1.325E+00, 8.145E+01,-7.756E-01,-6.209E-01,-9.568E-03, 2.568E-01
 1.375E+00, 1.036E+02, 1.375E+00, 9.067E+01,-9.010E-01,-7.327E-01,-9.984E-03, 3.054E-01
 1.425E+00, 1.078E+02, 1.425E+00, 9.677E+01,-9.931E-01,-7.916E-01,-1.167E-02, 3.498E-01
 1.475E+00, 1.111E+02, 1.475E+00, 1.024E+02,-1.074E+00,-8.248E-01,-1.167E-02, 4.231E-01
 1.525E+00, 1.134E+02, 1.525E+00, 1.068E+02,-1.145E+00,-8.843E-01,-1.596E-02, 5.218E-01
 1.575E+00, 1.151E+02, 1.575E+00, 1.100E+02,-1.222E+00,-9.704E-01,-1.996E-02, 5.759E-01
 1.625E+00, 1.161E+02, 1.625E+00, 1.122E+02,-1.292E+00,-1.068E+00,-1.996E-02, 5.971E-01
 1.675E+00, 1.172E+02, 1.675E+00, 1.139E+02,-1.361E+00,-1.170E+00,-2.978E-03, 6.006E-01
 1.725E+00, 1.184E+02, 1.725E+00, 1.150E+02,-1.422E+00,-1.278E+00,-1.185E-02, 5.699E-01
 1.775E+00, 1.192E+02, 1.775E+00, 1.161E+02,-1.502E+00,-1.403E+00,-1.185E-02, 4.772E-01
 1.825E+00, 1.194E+02, 1.825E+00, 1.182E+02,-1.616E+00,-1.557E+00, 2.249E-03, 3.479E-01
 1.875E+00, 1.197E+02, 1.875E+00, 1.208E+02,-1.611E+00,-1.579E+00, 1.056E-02, 1.210E-01
 1.925E+00, 1.202E+02, 1.925E+00, 1.211E+02,-9.981E-01,-9.567E-01, 1.056E-02, 1.210E-01
 1.975E+00, 1.206E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.025E+00, 1.210E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.075E+00, 1.214E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.125E+00, 1.220E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.175E+00, 1.227E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.225E+00, 1.239E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.275E+00, 1.258E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.325E+00, 1.280E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.375E+00, 1.294E+02,NaN,NaN,NaN,NaN,NaN,NaN
