m,C,m,C,m/s,m/s,m/s,m/s
Room_z,Room_TC,Door_z,Door_TC,Door_q,Door_u,Door_v,Door_w
 2.500E-02, 5.633E+01, 2.500E-02, 4.251E+01, 2.533E-01, 2.671E-01,-5.977E-03, 1.054E-06
 7.500E-02, 6.169E+01, 7.500E-02, 3.602E+01, 9.504E-01, 9.222E-01, 9.406E-03, 6.723E-02
 1.250E-01, 7.080E+01, 1.250E-01, 3.350E+01, 1.225E+00, 1.198E+00, 9.406E-03, 7.304E-02
 1.750E-01, 7.532E+01, 1.750E-01, 3.277E+01, 1.235E+00, 1.202E+00, 2.756E-02, 7.313E-02
 2.250E-01, 7.897E+01, 2.250E-01, 3.250E+01, 1.171E+00, 1.135E+00, 2.503E-02, 4.701E-02
 2.750E-01, 8.206E+01, 2.750E-01, 3.243E+01, 1.114E+00, 1.071E+00, 2.503E-02, 1.108E-02
 3.250E-01, 8.460E+01, 3.250E-01, 3.255E+01, 1.074E+00, 1.042E+00, 1.608E-02,-5.026E-03
 3.750E-01, 8.620E+01, 3.750E-01, 3.273E+01, 1.038E+00, 1.005E+00, 6.327E-03, 2.053E-02
 4.250E-01, 8.826E+01, 4.250E-01, 3.298E+01, 1.001E+00, 9.667E-01, 6.327E-03, 1.331E-02
 4.750E-01, 8.972E+01, 4.750E-01, 3.329E+01, 9.633E-01, 9.321E-01,-1.544E-02,-2.569E-02
 5.250E-01, 9.207E+01, 5.250E-01, 3.364E+01, 9.236E-01, 8.909E-01,-3.174E-02,-7.442E-02
 5.750E-01, 9.490E+01, 5.750E-01, 3.407E+01, 8.846E-01, 8.511E-01,-3.174E-02,-1.257E-01
 6.250E-01, 9.807E+01, 6.250E-01, 3.447E+01, 8.478E-01, 8.000E-01,-2.797E-02,-1.638E-01
 6.750E-01, 1.016E+02, 6.750E-01, 3.497E+01, 8.107E-01, 7.561E-01,-1.397E-02,-2.045E-01
 7.250E-01, 1.062E+02, 7.250E-01, 3.558E+01, 7.704E-01, 7.087E-01,-1.397E-02,-2.531E-01
 7.750E-01, 1.121E+02, 7.750E-01, 3.673E+01, 7.253E-01, 6.519E-01,-4.952E-03,-2.531E-01
 8.250E-01, 1.195E+02, 8.250E-01, 4.003E+01, 6.501E-01, 5.852E-01, 3.746E-03,-2.734E-01
 8.750E-01, 1.299E+02, 8.750E-01, 4.788E+01, 4.872E-01, 4.818E-01, 3.746E-03,-2.635E-01
 9.250E-01, 1.481E+02, 9.250E-01, 6.015E+01, 2.418E-01, 3.203E-01, 1.121E-03,-1.935E-01
 9.750E-01, 1.750E+02, 9.750E-01, 7.368E+01,-4.666E-02, 9.138E-02,-7.518E-04,-4.844E-02
 1.025E+00, 2.100E+02, 1.025E+00, 8.804E+01,-2.992E-01,-1.294E-01,-7.518E-04, 9.464E-02
 1.075E+00, 2.476E+02, 1.075E+00, 1.100E+02,-6.123E-01,-4.187E-01, 2.408E-03, 2.203E-01
 1.125E+00, 2.842E+02, 1.125E+00, 1.421E+02,-9.665E-01,-7.236E-01, 4.947E-03, 3.390E-01
 1.175E+00, 3.145E+02, 1.175E+00, 1.796E+02,-1.267E+00,-1.006E+00, 4.947E-03, 4.341E-01
 1.225E+00, 3.372E+02, 1.225E+00, 2.183E+02,-1.536E+00,-1.259E+00, 1.101E-02, 5.374E-01
 1.275E+00, 3.532E+02, 1.275E+00, 2.506E+02,-1.769E+00,-1.442E+00,-4.357E-03, 6.365E-01
 1.325E+00, 3.626E+02, 1.325E+00, 2.753E+02,-1.990E+00,-1.577E+00,-4.357E-03, 7.578E-01
 1.375E+00, 3.691E+02, 1.375E+00, 2.947E+02,-2.160E+00,-1.662E+00,-7.128E-03, 8.979E-01
 1.425E+00, 3.726E+02, 1.425E+00, 3.087E+02,-2.297E+00,-1.744E+00,-2.060E-02, 1.062E+00
 1.475E+00, 3.740E+02, 1.475E+00, 3.190E+02,-2.448E+00,-1.888E+00,-2.060E-02, 1.242E+00
 1.525E+00, 3.751E+02, 1.525E+00, 3.268E+02,-2.591E+00,-2.054E+00,-1.772E-02, 1.343E+00
 1.575E+00, 3.756E+02, 1.575E+00, 3.337E+02,-2.714E+00,-2.216E+00,-2.592E-02, 1.354E+00
 1.625E+00, 3.748E+02, 1.625E+00, 3.399E+02,-2.855E+00,-2.429E+00,-2.592E-02, 1.324E+00
 1.675E+00, 3.743E+02, 1.675E+00, 3.433E+02,-3.009E+00,-2.678E+00,-2.048E-02, 1.265E+00
 1.725E+00, 3.740E+02, 1.725E+00, 3.445E+02,-3.191E+00,-2.962E+00, 3.968E-02, 1.140E+00
 1.775E+00, 3.735E+02, 1.775E+00, 3.492E+02,-3.509E+00,-3.372E+00, 3.968E-02, 9.147E-01
 1.825E+00, 3.727E+02, 1.825E+00, 3.637E+02,-3.997E+00,-3.910E+00, 2.397E-03, 6.823E-01
 1.875E+00, 3.721E+02, 1.875E+00, 3.788E+02,-3.582E+00,-3.573E+00, 6.517E-02, 3.759E-01
 1.925E+00, 3.714E+02, 1.925E+00, 3.726E+02,-4.009E-01,-4.436E-01, 6.517E-02, 3.759E-01
 1.975E+00, 3.712E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.025E+00, 3.721E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.075E+00, 3.741E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.125E+00, 3.777E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.175E+00, 3.822E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.225E+00, 3.896E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.275E+00, 4.001E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.325E+00, 4.126E+02,NaN,NaN,NaN,NaN,NaN,NaN
 2.375E+00, 4.217E+02,NaN,NaN,NaN,NaN,NaN,NaN
