m,C,m,C,m/s,m/s,m/s,m/s
Room_z,Room_TC,Door_z,Door_TC,Door_q,Door_u,Door_v,Door_w
 2.500E-02, 2.485E+01, 2.500E-02, 2.265E+01, 9.858E-02, 1.075E-01,-7.249E-03, 8.639E-08
 7.500E-02, 2.541E+01, 7.500E-02, 2.233E+01, 3.970E-01, 3.853E-01,-3.954E-03, 6.005E-02
 1.250E-01, 2.595E+01, 1.250E-01, 2.221E+01, 5.110E-01, 4.868E-01,-3.954E-03, 7.022E-02
 1.750E-01, 2.634E+01, 1.750E-01, 2.217E+01, 5.187E-01, 4.994E-01,-1.167E-03, 4.248E-02
 2.250E-01, 2.659E+01, 2.250E-01, 2.215E+01, 5.027E-01, 4.940E-01,-9.176E-03, 2.313E-02
 2.750E-01, 2.663E+01, 2.750E-01, 2.213E+01, 4.898E-01, 4.792E-01,-9.176E-03, 3.293E-02
 3.250E-01, 2.673E+01, 3.250E-01, 2.211E+01, 4.782E-01, 4.590E-01,-1.014E-02, 4.472E-02
 3.750E-01, 2.684E+01, 3.750E-01, 2.211E+01, 4.660E-01, 4.516E-01,-8.173E-03, 3.611E-02
 4.250E-01, 2.701E+01, 4.250E-01, 2.212E+01, 4.546E-01, 4.404E-01,-8.173E-03, 2.519E-02
 4.750E-01, 2.726E+01, 4.750E-01, 2.213E+01, 4.428E-01, 4.291E-01,-2.535E-03, 9.854E-03
 5.250E-01, 2.753E+01, 5.250E-01, 2.215E+01, 4.305E-01, 4.174E-01, 4.200E-03,-7.428E-03
 5.750E-01, 2.781E+01, 5.750E-01, 2.218E+01, 4.190E-01, 4.060E-01, 4.200E-03,-2.544E-02
 6.250E-01, 2.811E+01, 6.250E-01, 2.222E+01, 4.074E-01, 3.943E-01, 1.439E-02,-4.441E-02
 6.750E-01, 2.845E+01, 6.750E-01, 2.226E+01, 3.963E-01, 3.795E-01, 2.425E-02,-6.040E-02
 7.250E-01, 2.871E+01, 7.250E-01, 2.229E+01, 3.841E-01, 3.654E-01, 2.425E-02,-8.180E-02
 7.750E-01, 2.889E+01, 7.750E-01, 2.232E+01, 3.714E-01, 3.495E-01, 1.979E-02,-8.180E-02
 8.250E-01, 2.906E+01, 8.250E-01, 2.235E+01, 3.574E-01, 3.344E-01, 6.532E-03,-9.063E-02
 8.750E-01, 2.936E+01, 8.750E-01, 2.237E+01, 3.443E-01, 3.194E-01, 6.532E-03,-9.773E-02
 9.250E-01, 2.986E+01, 9.250E-01, 2.239E+01, 3.290E-01, 3.026E-01,-4.031E-04,-1.019E-01
 9.750E-01, 3.066E+01, 9.750E-01, 2.242E+01, 3.124E-01, 2.827E-01,-2.571E-03,-1.061E-01
 1.025E+00, 3.216E+01, 1.025E+00, 2.254E+01, 2.947E-01, 2.649E-01,-2.571E-03,-1.091E-01
 1.075E+00, 3.521E+01, 1.075E+00, 2.338E+01, 2.591E-01, 2.400E-01,-1.080E-02,-1.061E-01
 1.125E+00, 4.032E+01, 1.125E+00, 2.558E+01, 1.466E-01, 1.706E-01,-1.955E-02,-7.921E-02
 1.175E+00, 4.720E+01, 1.175E+00, 2.867E+01,-2.202E-02, 3.297E-02,-1.955E-02,-3.073E-02
 1.225E+00, 5.511E+01, 1.225E+00, 3.303E+01,-1.392E-01,-8.016E-02,-1.737E-02, 3.110E-02
 1.275E+00, 6.276E+01, 1.275E+00, 4.125E+01,-3.378E-01,-2.133E-01,-2.278E-02, 9.142E-02
 1.325E+00, 6.930E+01, 1.325E+00, 5.378E+01,-5.486E-01,-4.320E-01,-2.278E-02, 1.929E-01
 1.375E+00, 7.387E+01, 1.375E+00, 6.409E+01,-6.792E-01,-5.711E-01,-2.595E-02, 2.240E-01
 1.425E+00, 7.719E+01, 1.425E+00, 6.971E+01,-7.702E-01,-6.511E-01,-2.954E-02, 2.264E-01
 1.475E+00, 7.946E+01, 1.475E+00, 7.338E+01,-8.371E-01,-7.026E-01,-2.954E-02, 2.588E-01
 1.525E+00, 8.132E+01, 1.525E+00, 7.672E+01,-9.044E-01,-7.326E-01,-2.506E-02, 3.191E-01
 1.575E+00, 8.295E+01, 1.575E+00, 7.987E+01,-9.792E-01,-7.760E-01,-2.276E-02, 3.954E-01
 1.625E+00, 8.410E+01, 1.625E+00, 8.192E+01,-1.035E+00,-8.671E-01,-2.276E-02, 4.502E-01
 1.675E+00, 8.492E+01, 1.675E+00, 8.343E+01,-1.112E+00,-9.566E-01,-2.748E-02, 4.703E-01
 1.725E+00, 8.572E+01, 1.725E+00, 8.469E+01,-1.192E+00,-1.058E+00,-7.997E-03, 4.664E-01
