m,C,m,C,m/s,m/s,m/s,m/s
Room_z,Room_TC,Door_z,Door_TC,Door_q,Door_u,Door_v,Door_w
 2.500E-02, 9.442E+01, 2.500E-02, 6.944E+01, 4.377E-01, 4.310E-01,-4.540E-02, 5.431E-06
 7.500E-02, 1.037E+02, 7.500E-02, 5.514E+01, 1.232E+00, 1.206E+00,-4.258E-02, 5.753E-02
 1.250E-01, 1.234E+02, 1.250E-01, 5.027E+01, 1.491E+00, 1.461E+00,-4.258E-02, 6.608E-02
 1.750E-01, 1.323E+02, 1.750E-01, 4.878E+01, 1.476E+00, 1.436E+00, 2.103E-02, 6.797E-02
 2.250E-01, 1.404E+02, 2.250E-01, 4.819E+01, 1.395E+00, 1.353E+00, 5.103E-02, 3.699E-02
 2.750E-01, 1.459E+02, 2.750E-01, 4.798E+01, 1.323E+00, 1.278E+00, 5.103E-02, 5.818E-04
 3.250E-01, 1.509E+02, 3.250E-01, 4.823E+01, 1.265E+00, 1.227E+00, 4.157E-02,-2.176E-02
 3.750E-01, 1.552E+02, 3.750E-01, 4.869E+01, 1.215E+00, 1.172E+00, 3.325E-02,-1.227E-02
 4.250E-01, 1.594E+02, 4.250E-01, 4.939E+01, 1.163E+00, 1.124E+00, 3.325E-02,-2.535E-02
 4.750E-01, 1.629E+02, 4.750E-01, 5.022E+01, 1.112E+00, 1.074E+00, 1.887E-02,-5.821E-02
 5.250E-01, 1.668E+02, 5.250E-01, 5.119E+01, 1.060E+00, 1.020E+00, 1.024E-02,-1.061E-01
 5.750E-01, 1.712E+02, 5.750E-01, 5.226E+01, 1.010E+00, 9.638E-01, 1.024E-02,-1.609E-01
 6.250E-01, 1.774E+02, 6.250E-01, 5.339E+01, 9.596E-01, 9.019E-01, 3.785E-03,-1.999E-01
 6.750E-01, 1.855E+02, 6.750E-01, 5.475E+01, 9.077E-01, 8.437E-01,-2.070E-03,-2.359E-01
 7.250E-01, 1.958E+02, 7.250E-01, 5.671E+01, 8.508E-01, 7.754E-01,-2.070E-03,-2.778E-01
 7.750E-01, 2.135E+02, 7.750E-01, 6.243E+01, 7.591E-01, 7.014E-01,-8.433E-03,-2.778E-01
 8.250E-01, 2.451E+02, 8.250E-01, 7.678E+01, 5.563E-01, 5.774E-01,-1.013E-02,-2.685E-01
 8.750E-01, 2.906E+02, 8.750E-01, 9.964E+01, 2.353E-01, 3.520E-01,-1.013E-02,-1.808E-01
 9.250E-01, 3.430E+02, 9.250E-01, 1.197E+02,-1.046E-01, 7.940E-02,-1.348E-02,-9.203E-03
 9.750E-01, 3.967E+02, 9.750E-01, 1.417E+02,-4.250E-01,-1.857E-01,-1.291E-02, 1.452E-01
 1.025E+00, 4.406E+02, 1.025E+00, 1.740E+02,-8.305E-01,-5.188E-01,-1.291E-02, 2.952E-01
 1.075E+00, 4.721E+02, 1.075E+00, 2.159E+02,-1.222E+00,-8.917E-01,-1.599E-02, 4.685E-01
 1.125E+00, 4.964E+02, 1.125E+00, 2.620E+02,-1.625E+00,-1.262E+00,-3.297E-02, 6.022E-01
 1.175E+00, 5.133E+02, 1.175E+00, 3.067E+02,-1.919E+00,-1.562E+00,-3.297E-02, 7.127E-01
 1.225E+00, 5.227E+02, 1.225E+00, 3.434E+02,-2.160E+00,-1.762E+00,-1.965E-02, 7.899E-01
 1.275E+00, 5.280E+02, 1.275E+00, 3.730E+02,-2.390E+00,-1.907E+00, 2.036E-02, 9.115E-01
 1.325E+00, 5.304E+02, 1.325E+00, 3.973E+02,-2.578E+00,-2.030E+00, 2.036E-02, 1.062E+00
 1.375E+00, 5.316E+02, 1.375E+00, 4.157E+02,-2.753E+00,-2.152E+00, 8.220E-03, 1.234E+00
 1.425E+00, 5.327E+02, 1.425E+00, 4.283E+02,-2.906E+00,-2.297E+00, 3.403E-02, 1.405E+00
 1.475E+00, 5.326E+02, 1.475E+00, 4.374E+02,-3.054E+00,-2.501E+00, 3.403E-02, 1.486E+00
 1.525E+00, 5.318E+02, 1.525E+00, 4.449E+02,-3.175E+00,-2.691E+00, 1.223E-02, 1.485E+00
