s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"T1.1","T1.2","T1.3","T1.4","T1.5","T1.6","T1.7","T1.8","T1.9","T1.10","T2.1","T2.2","T2.3","T2.4","T2.5","T2.6","T2.7","T2.8","T2.9","T2.10","T3.1","T3.2","T3.3","T3.4","T3.5","T3.6","T3.7","T3.8","T3.9","T3.10","TG.1","TG.2"
 0.0000000E+000, 2.4999998E+001, 2.4999998E+001, 2.4999998E+001, 2.4999998E+001, 2.4999998E+001, 2.4999998E+001, 2.4999997E+001, 2.4999997E+001, 2.4999997E+001, 2.4999997E+001, 2.4999996E+001, 2.4999996E+001, 2.4999996E+001, 2.4999996E+001, 2.4999996E+001, 2.4999997E+001, 2.4999996E+001, 2.4999996E+001, 2.4999996E+001, 2.4999996E+001, 2.4999989E+001, 2.4999987E+001, 2.4999987E+001, 2.4999986E+001, 2.4999985E+001, 2.4999983E+001, 2.4999984E+001, 2.4999991E+001, 2.5000000E+001, 2.4999990E+001, 2.4999946E+001, 2.4999944E+001
 3.0002257E+001, 2.5028884E+001, 2.5045592E+001, 2.5039261E+001, 2.6679456E+001, 2.6985285E+001, 2.8162293E+001, 2.8973394E+001, 3.0354878E+001, 3.1065303E+001, 3.2191403E+001, 2.5220046E+001, 2.5219185E+001, 2.5141022E+001, 2.5101042E+001, 2.5073638E+001, 2.5084177E+001, 2.6442306E+001, 2.7808688E+001, 3.0770925E+001, 3.4869990E+001, 2.9039734E+001, 2.7774469E+001, 2.6456335E+001, 2.5743230E+001, 2.5373519E+001, 2.5192616E+001, 2.5746158E+001, 3.2680139E+001, 2.5000000E+001, 3.9048328E+001, 1.8365015E+002, 6.9715845E+001
 6.0001498E+001, 2.5292082E+001, 2.5404526E+001, 2.5489499E+001, 2.8096492E+001, 3.3976181E+001, 5.3206758E+001, 5.6294088E+001, 5.7960690E+001, 5.8788352E+001, 5.9423433E+001, 2.5963737E+001, 2.6153199E+001, 2.6107638E+001, 2.7040879E+001, 3.0000093E+001, 4.0433191E+001, 4.6408987E+001, 5.1032486E+001, 5.5285011E+001, 6.1996403E+001, 3.2639145E+001, 3.1888267E+001, 2.9806559E+001, 2.8635378E+001, 2.9080986E+001, 3.6067858E+001, 5.0573865E+001, 5.5459984E+001, 2.5000000E+001, 6.5055035E+001, 2.4360093E+002, 9.6384538E+001
 9.0006761E+001, 2.6963136E+001, 2.8578457E+001, 3.0147520E+001, 3.5833915E+001, 5.6839800E+001, 6.3740499E+001, 6.5911364E+001, 6.7158318E+001, 6.7503854E+001, 6.7602262E+001, 2.7103785E+001, 2.9521652E+001, 3.1855196E+001, 3.6785056E+001, 4.5718865E+001, 5.5562376E+001, 6.0088467E+001, 6.2293573E+001, 6.4210001E+001, 7.0024372E+001, 3.6740798E+001, 3.5804996E+001, 3.4490783E+001, 3.6736379E+001, 4.3931377E+001, 5.5568390E+001, 6.2200591E+001, 6.6376039E+001, 2.5000000E+001, 7.4669027E+001, 1.5338898E+002, 8.8496262E+001
 1.2000581E+002, 3.1051001E+001, 3.3536927E+001, 3.6141694E+001, 5.1065166E+001, 6.9949190E+001, 7.2751272E+001, 7.4757148E+001, 7.5821312E+001, 7.6300995E+001, 7.6725726E+001, 3.1635110E+001, 3.3891316E+001, 3.7044954E+001, 4.8534169E+001, 6.0926480E+001, 6.6230985E+001, 6.9091231E+001, 7.2599120E+001, 7.6067773E+001, 8.0311428E+001, 4.0121811E+001, 4.1302979E+001, 4.0979399E+001, 5.0881212E+001, 5.7897985E+001, 6.4678632E+001, 7.2650304E+001, 7.6956241E+001, 2.5000000E+001, 8.5278390E+001, 1.8113254E+002, 1.0176493E+002
 1.5000491E+002, 3.4290717E+001, 3.9648486E+001, 4.5503788E+001, 6.2628562E+001, 8.2687820E+001, 8.3926130E+001, 8.6556182E+001, 8.8199609E+001, 8.9342603E+001, 8.9636866E+001, 3.5624694E+001, 3.9403945E+001, 4.6616507E+001, 5.9197289E+001, 6.8123624E+001, 7.5271009E+001, 7.8149265E+001, 8.1756081E+001, 8.6530041E+001, 9.3339808E+001, 4.2904703E+001, 4.6844259E+001, 4.9248205E+001, 5.6947864E+001, 6.6740487E+001, 7.3968265E+001, 8.1222582E+001, 8.9239576E+001, 2.5000000E+001, 9.9514942E+001, 2.7232311E+002, 1.2673920E+002
 1.8000174E+002, 4.1046756E+001, 4.5322513E+001, 5.4322691E+001, 6.7649897E+001, 9.1528181E+001, 9.6230907E+001, 9.8497352E+001, 1.0037457E+002, 1.0168435E+002, 1.0183998E+002, 4.1880890E+001, 4.6179937E+001, 5.4047574E+001, 6.7670102E+001, 7.7071719E+001, 8.2843906E+001, 8.8082442E+001, 9.1306260E+001, 9.8756025E+001, 1.0554530E+002, 4.5574594E+001, 5.2308131E+001, 5.7459564E+001, 6.7931159E+001, 7.5480690E+001, 8.2961904E+001, 9.1889363E+001, 9.9967541E+001, 2.5000000E+001, 1.1079999E+002, 2.8541268E+002, 1.3312461E+002
 2.1000222E+002, 4.5315320E+001, 5.1598593E+001, 6.2847442E+001, 7.7415444E+001, 1.0019469E+002, 1.0340965E+002, 1.0584177E+002, 1.0850871E+002, 1.0966974E+002, 1.0889580E+002, 4.4451371E+001, 5.2874378E+001, 6.0093666E+001, 7.7298215E+001, 8.3329834E+001, 8.9807412E+001, 9.6752243E+001, 1.0106546E+002, 1.0786514E+002, 1.1313160E+002, 5.0569135E+001, 5.8752742E+001, 6.5231726E+001, 7.4936664E+001, 8.3186763E+001, 9.2675859E+001, 9.8588773E+001, 1.0827439E+002, 2.5000000E+001, 1.2054024E+002, 3.0877226E+002, 1.4799051E+002
 2.4000228E+002, 4.7425889E+001, 5.7859329E+001, 6.9000920E+001, 8.7382819E+001, 1.0899751E+002, 1.1108552E+002, 1.1435941E+002, 1.1607137E+002, 1.1637066E+002, 1.1628476E+002, 4.6891709E+001, 5.9000614E+001, 6.9029927E+001, 8.4938668E+001, 9.0839372E+001, 9.8969218E+001, 1.0491354E+002, 1.0782662E+002, 1.1427593E+002, 1.2020804E+002, 5.5977438E+001, 6.4241121E+001, 7.1930390E+001, 8.4101276E+001, 9.2750454E+001, 9.9892131E+001, 1.0662491E+002, 1.1440389E+002, 2.5000000E+001, 1.2554010E+002, 3.1372578E+002, 1.4881406E+002
