s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,T1.1,T1.2,T1.3,T1.4,T1.5,T1.6,T1.7,T1.8,T1.9,T1.10,T2.1,T2.2,T2.3,T2.4,T2.5,T2.6,T2.7,T2.8,T2.9,T2.10,T3.1,T3.2,T3.3,T3.4,T3.5,T3.6,T3.7,T3.8,T3.9,T3.10,TG.1,TG.2
 0.0000000E+000, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001
 3.0006143E+001, 2.2020814E+001, 2.2030410E+001, 2.2025823E+001, 2.2025163E+001, 2.2149487E+001, 2.2448511E+001, 2.2864739E+001, 2.3738225E+001, 2.4356497E+001, 2.4537405E+001, 2.2127134E+001, 2.2132747E+001, 2.2083620E+001, 2.2064986E+001, 2.2046146E+001, 2.2046939E+001, 2.2429470E+001, 2.3328384E+001, 2.4906888E+001, 2.6652033E+001, 2.4637209E+001, 2.3563024E+001, 2.2783389E+001, 2.2392155E+001, 2.2196321E+001, 2.2103334E+001, 2.2586469E+001, 2.7199984E+001, 2.2000000E+001, 2.8807334E+001, 1.0155628E+002, 4.6584202E+001
 6.0001942E+001, 2.2189652E+001, 2.2238364E+001, 2.2259826E+001, 2.3295701E+001, 2.5313806E+001, 3.3021220E+001, 3.8462253E+001, 4.0004587E+001, 4.0669067E+001, 4.1083402E+001, 2.2538648E+001, 2.2505534E+001, 2.2428453E+001, 2.2512647E+001, 2.3649105E+001, 2.8767053E+001, 3.0926530E+001, 3.6058182E+001, 3.8471256E+001, 4.2649031E+001, 2.6818204E+001, 2.5650615E+001, 2.4215825E+001, 2.3596963E+001, 2.3260152E+001, 2.5948266E+001, 3.4163814E+001, 3.9864369E+001, 2.2000000E+001, 4.5155788E+001, 1.3258422E+002, 5.8483297E+001
 9.0003152E+001, 2.2540330E+001, 2.2718353E+001, 2.3000411E+001, 2.5142897E+001, 3.5732874E+001, 4.3379146E+001, 4.5120386E+001, 4.6218853E+001, 4.6550905E+001, 4.7110363E+001, 2.2741527E+001, 2.3259819E+001, 2.3983027E+001, 2.6619105E+001, 3.2068685E+001, 3.5366724E+001, 4.1347378E+001, 4.2064165E+001, 4.4335134E+001, 4.8404367E+001, 2.7426243E+001, 2.6374668E+001, 2.5619963E+001, 2.6240852E+001, 3.0207215E+001, 3.7092097E+001, 4.2556032E+001, 4.6545809E+001, 2.2000000E+001, 5.1190294E+001, 1.5123726E+002, 7.0899082E+001
 1.2000141E+002, 2.4125697E+001, 2.6232256E+001, 2.6731404E+001, 3.0280508E+001, 4.2202432E+001, 5.0311384E+001, 5.1686535E+001, 5.2441605E+001, 5.2587285E+001, 5.2644707E+001, 2.4213753E+001, 2.5552249E+001, 2.7165847E+001, 3.2312270E+001, 3.8086721E+001, 4.3706528E+001, 4.7925418E+001, 5.0179414E+001, 5.2129548E+001, 5.4620137E+001, 3.0366081E+001, 2.9388809E+001, 2.9315096E+001, 3.1109485E+001, 3.7673415E+001, 4.3491799E+001, 4.9239066E+001, 5.1513318E+001, 2.2000000E+001, 5.6170807E+001, 1.3640280E+002, 7.0125261E+001
 1.5000425E+002, 2.6210852E+001, 2.7615790E+001, 2.9679871E+001, 3.8006242E+001, 5.1296292E+001, 5.4557602E+001, 5.6169509E+001, 5.7108944E+001, 5.7499987E+001, 5.7400435E+001, 2.6894956E+001, 2.8195226E+001, 3.0503244E+001, 3.9544881E+001, 4.4674388E+001, 4.9988279E+001, 5.3039009E+001, 5.4074345E+001, 5.6752890E+001, 5.9338547E+001, 3.2416764E+001, 3.1719741E+001, 3.2404384E+001, 3.9261247E+001, 4.5044843E+001, 4.8817307E+001, 5.3858956E+001, 5.7687402E+001, 2.2000000E+001, 6.1945704E+001, 1.0757721E+002, 6.6855622E+001
 1.8000083E+002, 2.8249101E+001, 3.1163042E+001, 3.6430058E+001, 4.3891176E+001, 5.7879730E+001, 6.0111563E+001, 6.1284072E+001, 6.2211936E+001, 6.2619885E+001, 6.2766215E+001, 2.9364584E+001, 3.1779115E+001, 3.5490146E+001, 4.6364730E+001, 4.9019741E+001, 5.3568172E+001, 5.6400919E+001, 6.0577796E+001, 6.2010126E+001, 6.4963959E+001, 3.3130083E+001, 3.5109663E+001, 3.7756327E+001, 4.5751826E+001, 4.9327871E+001, 5.3200947E+001, 5.7924640E+001, 6.2535684E+001, 2.2000000E+001, 6.7854625E+001, 1.4754655E+002, 8.0045498E+001
 2.1000665E+002, 3.1675641E+001, 3.4446628E+001, 4.2735221E+001, 4.8776876E+001, 5.7497788E+001, 6.4986181E+001, 6.6691270E+001, 6.7549922E+001, 6.7883682E+001, 6.8031745E+001, 3.2484658E+001, 3.5654868E+001, 4.1499824E+001, 5.0312678E+001, 5.3083192E+001, 5.7118855E+001, 6.1449350E+001, 6.3871412E+001, 6.6753466E+001, 7.0246166E+001, 3.5970750E+001, 3.9358556E+001, 4.3319329E+001, 5.0665286E+001, 5.2873181E+001, 5.7211973E+001, 6.2949878E+001, 6.8621559E+001, 2.2000000E+001, 7.3737430E+001, 1.4731658E+002, 8.5210192E+001
 2.4000701E+002, 3.4451042E+001, 3.8619053E+001, 4.6608074E+001, 5.2522568E+001, 6.1895134E+001, 7.0186602E+001, 7.1577370E+001, 7.2674325E+001, 7.3042611E+001, 7.2738618E+001, 3.4896908E+001, 3.9647120E+001, 4.5868337E+001, 5.4836951E+001, 5.7205626E+001, 6.1009122E+001, 6.5756192E+001, 6.8050920E+001, 7.1634845E+001, 7.5159251E+001, 3.9375915E+001, 4.3778423E+001, 4.7842145E+001, 5.3595337E+001, 5.7877959E+001, 6.2515856E+001, 6.6309037E+001, 7.3191480E+001, 2.2000000E+001, 7.8617596E+001, 1.5963271E+002, 9.0989555E+001
