s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,T1.1,T1.2,T1.3,T1.4,T1.5,T1.6,T1.7,T1.8,T1.9,T1.10,T2.1,T2.2,T2.3,T2.4,T2.5,T2.6,T2.7,T2.8,T2.9,T2.10,T3.1,T3.2,T3.3,T3.4,T3.5,T3.6,T3.7,T3.8,T3.9,T3.10,TG.1,TG.2
 0.0000000E+000, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001, 2.5000000E+001
 3.0005436E+001, 2.5036174E+001, 2.5052884E+001, 2.5043623E+001, 2.5445496E+001, 2.6169101E+001, 2.6370792E+001, 2.7996832E+001, 2.9409251E+001, 2.9869143E+001, 3.0464184E+001, 2.5247402E+001, 2.5231112E+001, 2.5168120E+001, 2.5120807E+001, 2.5081271E+001, 2.5074471E+001, 2.6462433E+001, 2.7688456E+001, 3.0080339E+001, 3.3612490E+001, 2.9048801E+001, 2.7806292E+001, 2.6576163E+001, 2.5837259E+001, 2.5422421E+001, 2.5207956E+001, 2.6261309E+001, 3.4439429E+001, 2.5000000E+001, 3.7854551E+001, 1.6732209E+002, 6.4664364E+001
 6.0003859E+001, 2.5330781E+001, 2.5447422E+001, 2.5497053E+001, 2.7612493E+001, 3.3875289E+001, 4.8231490E+001, 5.3189299E+001, 5.5303842E+001, 5.5941183E+001, 5.6448378E+001, 2.5918632E+001, 2.5972781E+001, 2.5959519E+001, 2.7380735E+001, 2.9724560E+001, 3.7740950E+001, 4.3615560E+001, 4.7955522E+001, 5.0068681E+001, 5.8521495E+001, 3.2804250E+001, 3.1976640E+001, 2.9556676E+001, 2.8436675E+001, 2.9057831E+001, 3.5266147E+001, 4.7132415E+001, 5.5451863E+001, 2.5000000E+001, 6.3009499E+001, 1.9582878E+002, 8.4699213E+001
 9.0006845E+001, 2.6438182E+001, 2.8159105E+001, 2.9420549E+001, 3.5673427E+001, 5.0299462E+001, 6.0491290E+001, 6.3883986E+001, 6.5125565E+001, 6.5614522E+001, 6.5643123E+001, 2.6599387E+001, 2.8398037E+001, 3.0924900E+001, 3.7022496E+001, 4.4436945E+001, 5.0903059E+001, 5.7128520E+001, 6.1087975E+001, 6.3965408E+001, 6.8546398E+001, 3.5254831E+001, 3.4387658E+001, 3.3328633E+001, 3.5697447E+001, 4.3368903E+001, 5.3471106E+001, 5.9228261E+001, 6.5749760E+001, 2.5000000E+001, 7.3083575E+001, 2.1702616E+002, 9.8759786E+001
 1.2000539E+002, 3.0630818E+001, 3.3223654E+001, 3.6743309E+001, 4.6738779E+001, 6.8952847E+001, 7.2439719E+001, 7.4073002E+001, 7.5148540E+001, 7.5675078E+001, 7.6014581E+001, 3.1758877E+001, 3.3720809E+001, 3.6873627E+001, 5.0288096E+001, 5.4056386E+001, 6.2198163E+001, 6.7104367E+001, 7.0566426E+001, 7.4863269E+001, 7.9287910E+001, 4.0676474E+001, 4.0019492E+001, 4.0043672E+001, 4.8146260E+001, 5.7047030E+001, 6.2794615E+001, 7.0109723E+001, 7.8665204E+001, 2.5000000E+001, 8.3716118E+001, 1.3157319E+002, 9.2706663E+001
 1.5000411E+002, 3.4622350E+001, 3.8867802E+001, 4.8085087E+001, 5.8148977E+001, 7.9086272E+001, 8.1425403E+001, 8.3323992E+001, 8.4833776E+001, 8.5567170E+001, 8.6283042E+001, 3.6163762E+001, 4.0896637E+001, 4.7097682E+001, 6.0390403E+001, 6.5850973E+001, 7.1022826E+001, 7.5076190E+001, 7.9848016E+001, 8.3287078E+001, 8.9443778E+001, 4.4075203E+001, 4.7795169E+001, 5.1084775E+001, 6.1093411E+001, 6.6010738E+001, 7.1907323E+001, 7.7738860E+001, 8.9443350E+001, 2.5000000E+001, 9.4324287E+001, 1.8717029E+002, 1.0884265E+002
 1.8000346E+002, 4.1334299E+001, 4.7545414E+001, 5.8995855E+001, 6.6446126E+001, 8.6192189E+001, 9.0526699E+001, 9.2406826E+001, 9.3832950E+001, 9.4691537E+001, 9.5183517E+001, 4.2667933E+001, 4.9145236E+001, 6.0513454E+001, 6.7475312E+001, 7.3548844E+001, 7.7053125E+001, 8.5750120E+001, 8.9780525E+001, 9.3990720E+001, 9.8023788E+001, 4.9048610E+001, 5.6547787E+001, 6.1577649E+001, 6.8217985E+001, 7.2567171E+001, 8.1003095E+001, 8.6405279E+001, 9.6298948E+001, 2.5000000E+001, 1.0247498E+002, 2.0947309E+002, 1.1759349E+002
 2.1000551E+002, 4.8005663E+001, 5.6431461E+001, 6.6529786E+001, 7.3242887E+001, 9.3473641E+001, 9.9796382E+001, 1.0209711E+002, 1.0394712E+002, 1.0468667E+002, 1.0482608E+002, 4.8806532E+001, 5.7130082E+001, 6.6915010E+001, 7.5230398E+001, 8.0555748E+001, 8.5462183E+001, 9.3057268E+001, 9.7272218E+001, 1.0284726E+002, 1.0913438E+002, 5.5881564E+001, 6.4851674E+001, 6.9191838E+001, 7.4722378E+001, 8.0238711E+001, 8.8559806E+001, 9.5649969E+001, 1.0701340E+002, 2.5000000E+001, 1.1575581E+002, 2.5916229E+002, 1.3477250E+002
 2.4000462E+002, 5.3181250E+001, 6.5031299E+001, 7.3361764E+001, 7.9766105E+001, 9.8606657E+001, 1.0909465E+002, 1.1153536E+002, 1.1380145E+002, 1.1466742E+002, 1.1440230E+002, 5.4291343E+001, 6.5138595E+001, 7.2969161E+001, 8.2197889E+001, 8.8296892E+001, 9.3624721E+001, 1.0150277E+002, 1.0449441E+002, 1.1127687E+002, 1.1913919E+002, 6.2946190E+001, 7.1136058E+001, 7.5810852E+001, 8.2622166E+001, 8.7232416E+001, 9.7408657E+001, 1.0433832E+002, 1.1529362E+002, 2.5000000E+001, 1.2241878E+002, 2.9745702E+002, 1.5508428E+002
 2.7000231E+002, 6.1041950E+001, 7.0888488E+001, 7.8536009E+001, 8.6696090E+001, 1.0573087E+002, 1.1304663E+002, 1.1718210E+002, 1.1956563E+002, 1.2034183E+002, 1.1967698E+002, 6.1845625E+001, 7.1744282E+001, 7.8821920E+001, 8.8333199E+001, 9.6057106E+001, 1.0215705E+002, 1.0943449E+002, 1.1278457E+002, 1.1892611E+002, 1.2375934E+002, 6.7327666E+001, 7.5991803E+001, 8.2125425E+001, 8.8957727E+001, 9.5459165E+001, 1.0387545E+002, 1.1081549E+002, 1.2067135E+002, 2.5000000E+001, 1.2933326E+002, 3.0820394E+002, 1.5230782E+002
 3.0000147E+002, 6.6262194E+001, 7.5989642E+001, 8.4389364E+001, 9.2719418E+001, 1.1462992E+002, 1.1850162E+002, 1.2128259E+002, 1.2399756E+002, 1.2416681E+002, 1.2434738E+002, 6.6283551E+001, 7.6942289E+001, 8.5410871E+001, 9.5373481E+001, 1.0143975E+002, 1.0668597E+002, 1.1539248E+002, 1.1913181E+002, 1.2248425E+002, 1.2860653E+002, 7.2255518E+001, 8.1659267E+001, 8.6636047E+001, 9.5275647E+001, 9.9786899E+001, 1.1026448E+002, 1.1776538E+002, 1.2615937E+002, 2.5000000E+001, 1.3473506E+002, 3.1737181E+002, 1.5915549E+002
 3.3000460E+002, 7.0433236E+001, 8.1281740E+001, 8.9090199E+001, 9.7279424E+001, 1.1701463E+002, 1.2240426E+002, 1.2670492E+002, 1.2907148E+002, 1.2904159E+002, 1.2947425E+002, 7.0456104E+001, 8.1723376E+001, 9.1017104E+001, 9.8978660E+001, 1.0544631E+002, 1.1169777E+002, 1.1991126E+002, 1.2334154E+002, 1.2799595E+002, 1.3320978E+002, 7.6189735E+001, 8.7229696E+001, 9.1525552E+001, 1.0030364E+002, 1.0495401E+002, 1.1396442E+002, 1.1955712E+002, 1.2941210E+002, 2.5000000E+001, 1.3893075E+002, 3.1823678E+002, 1.6660947E+002
 3.6000663E+002, 7.3383013E+001, 8.5412872E+001, 9.2988995E+001, 1.0236988E+002, 1.1688603E+002, 1.2730878E+002, 1.2889930E+002, 1.3068128E+002, 1.3137965E+002, 1.3079138E+002, 7.3649794E+001, 8.5916543E+001, 9.4621448E+001, 1.0338166E+002, 1.0941736E+002, 1.1629680E+002, 1.2207958E+002, 1.2480455E+002, 1.3009096E+002, 1.3448464E+002, 7.6944608E+001, 8.9614041E+001, 9.6657036E+001, 1.0292237E+002, 1.0890228E+002, 1.1793680E+002, 1.2356620E+002, 1.3385578E+002, 2.5000000E+001, 1.4074560E+002, 2.9341447E+002, 1.6103808E+002
 3.9000493E+002, 7.2005212E+001, 8.8278549E+001, 9.6179045E+001, 1.0399972E+002, 1.1804909E+002, 1.2665571E+002, 1.2911675E+002, 1.3080409E+002, 1.3188002E+002, 1.3148931E+002, 7.3488020E+001, 8.8530008E+001, 9.6988937E+001, 1.0460872E+002, 1.1148069E+002, 1.1778931E+002, 1.2258967E+002, 1.2630536E+002, 1.3007763E+002, 1.3515043E+002, 7.6192460E+001, 9.1865339E+001, 9.7223801E+001, 1.0291274E+002, 1.1048372E+002, 1.1935245E+002, 1.2265317E+002, 1.3284480E+002, 2.5000000E+001, 1.3829328E+002, 2.5082750E+002, 1.5393205E+002
 4.2000800E+002, 6.5770491E+001, 8.7284525E+001, 9.5075249E+001, 1.0128869E+002, 1.0877267E+002, 1.1713509E+002, 1.2157492E+002, 1.2308968E+002, 1.2280673E+002, 1.2174172E+002, 6.3170814E+001, 8.6517973E+001, 9.3901690E+001, 1.0304362E+002, 1.0852503E+002, 1.1358462E+002, 1.1861290E+002, 1.2081839E+002, 1.2195605E+002, 1.2194194E+002, 6.3566898E+001, 8.7312875E+001, 9.5112099E+001, 1.0341504E+002, 1.0836770E+002, 1.1436130E+002, 1.1714253E+002, 1.1831479E+002, 2.5000000E+001, 1.1920101E+002, 1.0834898E+002, 1.1706008E+002
