m,C,C,C,C,C,C,C,C
x,T1,T2,T3,T4,T5,T6,T7,T8
 4.9999000E+000, 2.0000067E+001, 2.0000204E+001, 2.0000324E+001, 2.0000508E+001, 2.0000754E+001, 2.0000951E+001, 2.0001202E+001, 2.0001463E+001
 5.0100503E+000, 2.0000076E+001, 2.0000232E+001, 2.0000373E+001, 2.0000585E+001, 2.0000873E+001, 2.0001101E+001, 2.0001394E+001, 2.0001696E+001
 5.0201005E+000, 2.0000081E+001, 2.0000248E+001, 2.0000400E+001, 2.0000628E+001, 2.0000939E+001, 2.0001184E+001, 2.0001500E+001, 2.0001826E+001
 5.0301508E+000, 2.0000086E+001, 2.0000265E+001, 2.0000430E+001, 2.0000675E+001, 2.0001011E+001, 2.0001273E+001, 2.0001615E+001, 2.0001966E+001
 5.0402010E+000, 2.0000092E+001, 2.0000283E+001, 2.0000461E+001, 2.0000724E+001, 2.0001087E+001, 2.0001369E+001, 2.0001738E+001, 2.0002116E+001
 5.0502513E+000, 2.0000098E+001, 2.0000303E+001, 2.0000495E+001, 2.0000777E+001, 2.0001169E+001, 2.0001472E+001, 2.0001870E+001, 2.0002277E+001
 5.0603015E+000, 2.0000104E+001, 2.0000324E+001, 2.0000532E+001, 2.0000834E+001, 2.0001256E+001, 2.0001583E+001, 2.0002011E+001, 2.0002450E+001
 5.0703518E+000, 2.0000111E+001, 2.0000346E+001, 2.0000571E+001, 2.0000894E+001, 2.0001350E+001, 2.0001702E+001, 2.0002161E+001, 2.0002635E+001
 5.0804020E+000, 2.0000119E+001, 2.0000370E+001, 2.0000612E+001, 2.0000959E+001, 2.0001451E+001, 2.0001829E+001, 2.0002323E+001, 2.0002835E+001
 5.0904523E+000, 2.0000127E+001, 2.0000396E+001, 2.0000657E+001, 2.0001029E+001, 2.0001559E+001, 2.0001965E+001, 2.0002497E+001, 2.0003048E+001
 5.1005025E+000, 2.0000135E+001, 2.0000423E+001, 2.0000704E+001, 2.0001104E+001, 2.0001676E+001, 2.0002111E+001, 2.0002682E+001, 2.0003276E+001
 5.1105528E+000, 2.0000144E+001, 2.0000453E+001, 2.0000755E+001, 2.0001184E+001, 2.0001802E+001, 2.0002267E+001, 2.0002881E+001, 2.0003519E+001
 5.1206030E+000, 2.0000153E+001, 2.0000484E+001, 2.0000810E+001, 2.0001270E+001, 2.0001936E+001, 2.0002432E+001, 2.0003093E+001, 2.0003778E+001
 5.1306533E+000, 2.0000164E+001, 2.0000518E+001, 2.0000869E+001, 2.0001362E+001, 2.0002080E+001, 2.0002609E+001, 2.0003320E+001, 2.0004056E+001
 5.1407035E+000, 2.0000174E+001, 2.0000554E+001, 2.0000932E+001, 2.0001461E+001, 2.0002235E+001, 2.0002798E+001, 2.0003564E+001, 2.0004353E+001
 5.1507538E+000, 2.0000186E+001, 2.0000593E+001, 2.0000999E+001, 2.0001566E+001, 2.0002400E+001, 2.0003001E+001, 2.0003825E+001, 2.0004673E+001
 5.1608040E+000, 2.0000198E+001, 2.0000634E+001, 2.0001071E+001, 2.0001679E+001, 2.0002577E+001, 2.0003217E+001, 2.0004104E+001, 2.0005015E+001
 5.1708543E+000, 2.0000211E+001, 2.0000678E+001, 2.0001147E+001, 2.0001798E+001, 2.0002767E+001, 2.0003450E+001, 2.0004403E+001, 2.0005383E+001
 5.1809045E+000, 2.0000225E+001, 2.0000725E+001, 2.0001229E+001, 2.0001926E+001, 2.0002969E+001, 2.0003698E+001, 2.0004723E+001, 2.0005776E+001
 5.1909548E+000, 2.0000239E+001, 2.0000775E+001, 2.0001316E+001, 2.0002062E+001, 2.0003186E+001, 2.0003965E+001, 2.0005065E+001, 2.0006199E+001
 5.2010050E+000, 2.0000255E+001, 2.0000828E+001, 2.0001409E+001, 2.0002207E+001, 2.0003418E+001, 2.0004249E+001, 2.0005429E+001, 2.0006653E+001
 5.2110553E+000, 2.0000272E+001, 2.0000884E+001, 2.0001507E+001, 2.0002362E+001, 2.0003667E+001, 2.0004554E+001, 2.0005818E+001, 2.0007142E+001
 5.2211055E+000, 2.0000289E+001, 2.0000943E+001, 2.0001612E+001, 2.0002529E+001, 2.0003935E+001, 2.0004878E+001, 2.0006236E+001, 2.0007668E+001
 5.2311558E+000, 2.0000308E+001, 2.0001006E+001, 2.0001722E+001, 2.0002708E+001, 2.0004221E+001, 2.0005226E+001, 2.0006686E+001, 2.0008232E+001
 5.2412060E+000, 2.0000328E+001, 2.0001073E+001, 2.0001839E+001, 2.0002900E+001, 2.0004526E+001, 2.0005597E+001, 2.0007169E+001, 2.0008835E+001
 5.2512563E+000, 2.0000350E+001, 2.0001143E+001, 2.0001963E+001, 2.0003105E+001, 2.0004852E+001, 2.0005994E+001, 2.0007687E+001, 2.0009479E+001
 5.2613065E+000, 2.0000372E+001, 2.0001218E+001, 2.0002094E+001, 2.0003324E+001, 2.0005197E+001, 2.0006417E+001, 2.0008240E+001, 2.0010161E+001
 5.2713568E+000, 2.0000396E+001, 2.0001296E+001, 2.0002233E+001, 2.0003557E+001, 2.0005563E+001, 2.0006872E+001, 2.0008834E+001, 2.0010891E+001
 5.2814070E+000, 2.0000422E+001, 2.0001380E+001, 2.0002381E+001, 2.0003806E+001, 2.0005952E+001, 2.0007357E+001, 2.0009470E+001, 2.0011670E+001
 5.2914573E+000, 2.0000448E+001, 2.0001469E+001, 2.0002537E+001, 2.0004070E+001, 2.0006365E+001, 2.0007878E+001, 2.0010151E+001, 2.0012507E+001
 5.3015075E+000, 2.0000477E+001, 2.0001562E+001, 2.0002703E+001, 2.0004349E+001, 2.0006803E+001, 2.0008429E+001, 2.0010876E+001, 2.0013402E+001
 5.3115578E+000, 2.0000506E+001, 2.0001660E+001, 2.0002879E+001, 2.0004647E+001, 2.0007269E+001, 2.0009018E+001, 2.0011651E+001, 2.0014363E+001
 5.3216080E+000, 2.0000537E+001, 2.0001763E+001, 2.0003067E+001, 2.0004962E+001, 2.0007763E+001, 2.0009640E+001, 2.0012477E+001, 2.0015388E+001
 5.3316583E+000, 2.0000570E+001, 2.0001872E+001, 2.0003265E+001, 2.0005296E+001, 2.0008287E+001, 2.0010303E+001, 2.0013358E+001, 2.0016472E+001
 5.3417085E+000, 2.0000605E+001, 2.0001985E+001, 2.0003474E+001, 2.0005646E+001, 2.0008845E+001, 2.0011004E+001, 2.0014297E+001, 2.0017615E+001
 5.3517588E+000, 2.0000642E+001, 2.0002105E+001, 2.0003693E+001, 2.0006018E+001, 2.0009438E+001, 2.0011751E+001, 2.0015291E+001, 2.0018812E+001
 5.3618090E+000, 2.0000680E+001, 2.0002231E+001, 2.0003924E+001, 2.0006409E+001, 2.0010066E+001, 2.0012548E+001, 2.0016343E+001, 2.0020075E+001
 5.3718593E+000, 2.0000721E+001, 2.0002364E+001, 2.0004168E+001, 2.0006821E+001, 2.0010734E+001, 2.0013401E+001, 2.0017455E+001, 2.0021414E+001
 5.3819095E+000, 2.0000763E+001, 2.0002504E+001, 2.0004428E+001, 2.0007251E+001, 2.0011441E+001, 2.0014312E+001, 2.0018627E+001, 2.0022829E+001
 5.3919598E+000, 2.0000808E+001, 2.0002651E+001, 2.0004702E+001, 2.0007701E+001, 2.0012193E+001, 2.0015285E+001, 2.0019872E+001, 2.0024332E+001
 5.4020101E+000, 2.0000854E+001, 2.0002806E+001, 2.0004992E+001, 2.0008171E+001, 2.0012987E+001, 2.0016316E+001, 2.0021189E+001, 2.0025917E+001
 5.4120603E+000, 2.0000903E+001, 2.0002967E+001, 2.0005298E+001, 2.0008668E+001, 2.0013828E+001, 2.0017413E+001, 2.0022582E+001, 2.0027606E+001
 5.4221106E+000, 2.0000953E+001, 2.0003136E+001, 2.0005620E+001, 2.0009191E+001, 2.0014717E+001, 2.0018567E+001, 2.0024053E+001, 2.0029390E+001
 5.4321608E+000, 2.0001006E+001, 2.0003311E+001, 2.0005957E+001, 2.0009744E+001, 2.0015659E+001, 2.0019789E+001, 2.0025604E+001, 2.0031290E+001
 5.4422111E+000, 2.0001062E+001, 2.0003495E+001, 2.0006312E+001, 2.0010322E+001, 2.0016656E+001, 2.0021069E+001, 2.0027231E+001, 2.0033308E+001
 5.4522613E+000, 2.0001120E+001, 2.0003685E+001, 2.0006685E+001, 2.0010932E+001, 2.0017702E+001, 2.0022424E+001, 2.0028950E+001, 2.0035454E+001
 5.4623116E+000, 2.0001181E+001, 2.0003884E+001, 2.0007079E+001, 2.0011571E+001, 2.0018805E+001, 2.0023847E+001, 2.0030750E+001, 2.0037730E+001
 5.4723618E+000, 2.0001244E+001, 2.0004092E+001, 2.0007491E+001, 2.0012246E+001, 2.0019967E+001, 2.0025353E+001, 2.0032650E+001, 2.0040130E+001
 5.4824121E+000, 2.0001310E+001, 2.0004308E+001, 2.0007923E+001, 2.0012949E+001, 2.0021189E+001, 2.0026927E+001, 2.0034654E+001, 2.0042688E+001
 5.4924623E+000, 2.0001377E+001, 2.0004533E+001, 2.0008374E+001, 2.0013687E+001, 2.0022483E+001, 2.0028597E+001, 2.0036758E+001, 2.0045383E+001
 5.5025126E+000, 2.0001448E+001, 2.0004767E+001, 2.0008849E+001, 2.0014457E+001, 2.0023851E+001, 2.0030357E+001, 2.0038971E+001, 2.0048234E+001
 5.5125628E+000, 2.0001521E+001, 2.0005010E+001, 2.0009352E+001, 2.0015268E+001, 2.0025294E+001, 2.0032215E+001, 2.0041314E+001, 2.0051261E+001
 5.5226131E+000, 2.0001597E+001, 2.0005263E+001, 2.0009880E+001, 2.0016123E+001, 2.0026811E+001, 2.0034166E+001, 2.0043760E+001, 2.0054461E+001
 5.5326633E+000, 2.0001677E+001, 2.0005522E+001, 2.0010437E+001, 2.0017027E+001, 2.0028422E+001, 2.0036236E+001, 2.0046336E+001, 2.0057876E+001
 5.5427136E+000, 2.0001759E+001, 2.0005792E+001, 2.0011018E+001, 2.0017991E+001, 2.0030119E+001, 2.0038407E+001, 2.0049046E+001, 2.0061476E+001
 5.5527638E+000, 2.0001844E+001, 2.0006071E+001, 2.0011622E+001, 2.0019024E+001, 2.0031920E+001, 2.0040707E+001, 2.0051891E+001, 2.0065300E+001
 5.5628141E+000, 2.0001931E+001, 2.0006363E+001, 2.0012249E+001, 2.0020115E+001, 2.0033835E+001, 2.0043118E+001, 2.0054877E+001, 2.0069338E+001
 5.5728643E+000, 2.0002023E+001, 2.0006668E+001, 2.0012903E+001, 2.0021277E+001, 2.0035884E+001, 2.0045670E+001, 2.0058046E+001, 2.0073609E+001
 5.5829146E+000, 2.0002120E+001, 2.0006990E+001, 2.0013598E+001, 2.0022514E+001, 2.0038049E+001, 2.0048351E+001, 2.0061418E+001, 2.0078155E+001
 5.5929648E+000, 2.0002223E+001, 2.0007331E+001, 2.0014328E+001, 2.0023835E+001, 2.0040339E+001, 2.0051207E+001, 2.0064991E+001, 2.0082964E+001
 5.6030151E+000, 2.0002333E+001, 2.0007692E+001, 2.0015100E+001, 2.0025230E+001, 2.0042802E+001, 2.0054234E+001, 2.0068817E+001, 2.0088050E+001
 5.6130653E+000, 2.0002451E+001, 2.0008080E+001, 2.0015920E+001, 2.0026731E+001, 2.0045464E+001, 2.0057499E+001, 2.0072897E+001, 2.0093394E+001
 5.6231156E+000, 2.0002578E+001, 2.0008494E+001, 2.0016794E+001, 2.0028330E+001, 2.0048303E+001, 2.0060970E+001, 2.0077185E+001, 2.0099030E+001
 5.6331658E+000, 2.0002717E+001, 2.0008945E+001, 2.0017733E+001, 2.0030044E+001, 2.0051389E+001, 2.0064694E+001, 2.0081744E+001, 2.0105042E+001
 5.6432161E+000, 2.0002869E+001, 2.0009435E+001, 2.0018745E+001, 2.0031867E+001, 2.0054720E+001, 2.0068784E+001, 2.0086554E+001, 2.0111617E+001
 5.6532663E+000, 2.0003039E+001, 2.0009980E+001, 2.0019843E+001, 2.0033911E+001, 2.0058364E+001, 2.0073259E+001, 2.0091708E+001, 2.0118703E+001
 5.6633166E+000, 2.0003227E+001, 2.0010579E+001, 2.0021026E+001, 2.0036092E+001, 2.0062385E+001, 2.0078499E+001, 2.0097229E+001, 2.0126584E+001
 5.6733668E+000, 2.0003439E+001, 2.0011256E+001, 2.0022315E+001, 2.0038545E+001, 2.0067110E+001, 2.0089652E+001, 2.0103249E+001, 2.0135036E+001
 5.6834171E+000, 2.0003678E+001, 2.0012010E+001, 2.0023729E+001, 2.0041263E+001, 2.0074229E+001, 2.0143402E+001, 2.0109739E+001, 2.0144361E+001
 5.6934673E+000, 2.0003950E+001, 2.0012873E+001, 2.0025278E+001, 2.0044347E+001, 2.0122359E+001, 2.0164483E+001, 2.0116835E+001, 2.0154619E+001
 5.7035176E+000, 2.0004259E+001, 2.0013854E+001, 2.0027011E+001, 2.0047784E+001, 2.0343807E+001, 2.0201348E+001, 2.0124585E+001, 2.0166050E+001
 5.7135678E+000, 2.0004615E+001, 2.0014991E+001, 2.0028934E+001, 2.0051769E+001, 2.0750777E+001, 2.0944359E+001, 2.0133419E+001, 2.0180125E+001
 5.7236181E+000, 2.0005022E+001, 2.0016288E+001, 2.0031090E+001, 2.0056207E+001, 2.1442126E+001, 2.2193487E+001, 2.0143568E+001, 2.0223663E+001
 5.7336683E+000, 2.0005494E+001, 2.0017815E+001, 2.0033519E+001, 2.0062228E+001, 2.3412433E+001, 2.4227382E+001, 2.0156187E+001, 2.0354308E+001
 5.7437186E+000, 2.0006036E+001, 2.0019578E+001, 2.0036261E+001, 2.0095207E+001, 2.5424882E+001, 2.6243480E+001, 2.0172427E+001, 2.0421147E+001
 5.7537688E+000, 2.0006664E+001, 2.0021657E+001, 2.0039375E+001, 2.0441387E+001, 2.6796201E+001, 2.8467791E+001, 2.0192128E+001, 2.0450752E+001
 5.7638191E+000, 2.0007388E+001, 2.0024044E+001, 2.0042952E+001, 2.2082600E+001, 2.8099008E+001, 3.1841795E+001, 2.0216431E+001, 2.0725878E+001
 5.7738693E+000, 2.0008223E+001, 2.0026869E+001, 2.0047070E+001, 2.4156530E+001, 3.0262722E+001, 3.6513271E+001, 2.0246264E+001, 2.1928891E+001
 5.7839196E+000, 2.0009182E+001, 2.0030180E+001, 2.0051790E+001, 2.7303762E+001, 3.5194788E+001, 4.0683928E+001, 2.0282270E+001, 2.4400481E+001
 5.7939698E+000, 2.0010277E+001, 2.0034061E+001, 2.0057312E+001, 3.1524246E+001, 4.0330916E+001, 4.4537746E+001, 2.0325528E+001, 2.7698703E+001
 5.8040201E+000, 2.0011527E+001, 2.0038591E+001, 2.0063509E+001, 3.4726438E+001, 4.5154020E+001, 5.0017503E+001, 2.0376401E+001, 3.0657131E+001
 5.8140704E+000, 2.0012941E+001, 2.0044010E+001, 2.0070992E+001, 3.7634314E+001, 5.0574792E+001, 5.5144392E+001, 2.0435669E+001, 3.3127708E+001
