m,C,C,C,C,C,C,C,C
x,T1,T2,T3,T4,T5,T6,T7,T8
 4.9999000E+000, 2.0000599E+001, 2.0001780E+001, 2.0004064E+001, 2.0007013E+001, 2.0010605E+001, 2.0015642E+001, 2.0022826E+001, 2.0030249E+001
 5.0100503E+000, 2.0000634E+001, 2.0001884E+001, 2.0004318E+001, 2.0007474E+001, 2.0011321E+001, 2.0016757E+001, 2.0024573E+001, 2.0032436E+001
 5.0201005E+000, 2.0000652E+001, 2.0001937E+001, 2.0004449E+001, 2.0007711E+001, 2.0011690E+001, 2.0017339E+001, 2.0025503E+001, 2.0033578E+001
 5.0301508E+000, 2.0000670E+001, 2.0001991E+001, 2.0004582E+001, 2.0007954E+001, 2.0012068E+001, 2.0017941E+001, 2.0026471E+001, 2.0034761E+001
 5.0402010E+000, 2.0000688E+001, 2.0002046E+001, 2.0004717E+001, 2.0008200E+001, 2.0012455E+001, 2.0018560E+001, 2.0027489E+001, 2.0035977E+001
 5.0502513E+000, 2.0000706E+001, 2.0002101E+001, 2.0004855E+001, 2.0008452E+001, 2.0012849E+001, 2.0019201E+001, 2.0028552E+001, 2.0037234E+001
 5.0603015E+000, 2.0000725E+001, 2.0002157E+001, 2.0004995E+001, 2.0008709E+001, 2.0013253E+001, 2.0019862E+001, 2.0029678E+001, 2.0038529E+001
 5.0703518E+000, 2.0000744E+001, 2.0002214E+001, 2.0005138E+001, 2.0008971E+001, 2.0013665E+001, 2.0020548E+001, 2.0030862E+001, 2.0039866E+001
 5.0804020E+000, 2.0000763E+001, 2.0002272E+001, 2.0005282E+001, 2.0009237E+001, 2.0014086E+001, 2.0021258E+001, 2.0032129E+001, 2.0041246E+001
 5.0904523E+000, 2.0000782E+001, 2.0002330E+001, 2.0005430E+001, 2.0009509E+001, 2.0014516E+001, 2.0021996E+001, 2.0033475E+001, 2.0042672E+001
 5.1005025E+000, 2.0000802E+001, 2.0002389E+001, 2.0005580E+001, 2.0009786E+001, 2.0014955E+001, 2.0022762E+001, 2.0034941E+001, 2.0044144E+001
 5.1105528E+000, 2.0000821E+001, 2.0002449E+001, 2.0005732E+001, 2.0010068E+001, 2.0015404E+001, 2.0023564E+001, 2.0036497E+001, 2.0045666E+001
 5.1206030E+000, 2.0000841E+001, 2.0002510E+001, 2.0005887E+001, 2.0010356E+001, 2.0015862E+001, 2.0024400E+001, 2.0039044E+001, 2.0047256E+001
