m,C,C,C,C,C,C,C,C
x,T1,T2,T3,T4,T5,T6,T7,T8
 4.9999000E+000, 2.0000728E+001, 2.0002270E+001, 2.0005246E+001, 2.0009627E+001, 2.0014929E+001, 2.0020592E+001, 2.0026348E+001, 0.0000000E+000
 5.0100503E+000, 2.0000797E+001, 2.0002475E+001, 2.0005728E+001, 2.0010495E+001, 2.0016236E+001, 2.0022320E+001, 2.0028468E+001, 0.0000000E+000
 5.0201005E+000, 2.0000834E+001, 2.0002583E+001, 2.0005985E+001, 2.0010959E+001, 2.0016932E+001, 2.0023238E+001, 2.0029591E+001, 0.0000000E+000
 5.0301508E+000, 2.0000872E+001, 2.0002697E+001, 2.0006253E+001, 2.0011442E+001, 2.0017656E+001, 2.0024192E+001, 2.0030755E+001, 0.0000000E+000
 5.0402010E+000, 2.0000911E+001, 2.0002814E+001, 2.0006533E+001, 2.0011946E+001, 2.0018412E+001, 2.0025186E+001, 2.0031967E+001, 0.0000000E+000
 5.0502513E+000, 2.0000953E+001, 2.0002936E+001, 2.0006824E+001, 2.0012471E+001, 2.0019199E+001, 2.0026219E+001, 2.0033223E+001, 0.0000000E+000
 5.0603015E+000, 2.0000995E+001, 2.0003063E+001, 2.0007128E+001, 2.0013020E+001, 2.0020020E+001, 2.0027295E+001, 2.0034530E+001, 0.0000000E+000
 5.0703518E+000, 2.0001040E+001, 2.0003195E+001, 2.0007444E+001, 2.0013591E+001, 2.0020874E+001, 2.0028412E+001, 2.0035883E+001, 0.0000000E+000
 5.0804020E+000, 2.0001086E+001, 2.0003332E+001, 2.0007773E+001, 2.0014186E+001, 2.0021765E+001, 2.0029575E+001, 2.0037291E+001, 0.0000000E+000
 5.0904523E+000, 2.0001133E+001, 2.0003473E+001, 2.0008116E+001, 2.0014806E+001, 2.0022690E+001, 2.0030784E+001, 2.0038749E+001, 0.0000000E+000
 5.1005025E+000, 2.0001182E+001, 2.0003620E+001, 2.0008472E+001, 2.0015452E+001, 2.0023655E+001, 2.0032041E+001, 2.0040266E+001, 0.0000000E+000
 5.1105528E+000, 2.0001233E+001, 2.0003772E+001, 2.0008842E+001, 2.0016124E+001, 2.0024657E+001, 2.0033346E+001, 2.0041835E+001, 0.0000000E+000
 5.1206030E+000, 2.0001286E+001, 2.0003930E+001, 2.0009227E+001, 2.0016823E+001, 2.0025702E+001, 2.0034703E+001, 2.0043467E+001, 0.0000000E+000
 5.1306533E+000, 2.0001340E+001, 2.0004092E+001, 2.0009627E+001, 2.0017550E+001, 2.0026786E+001, 2.0036111E+001, 2.0045155E+001, 0.0000000E+000
 5.1407035E+000, 2.0001396E+001, 2.0004261E+001, 2.0010042E+001, 2.0018306E+001, 2.0027915E+001, 2.0037574E+001, 2.0046909E+001, 0.0000000E+000
 5.1507538E+000, 2.0001454E+001, 2.0004434E+001, 2.0010472E+001, 2.0019091E+001, 2.0029085E+001, 2.0039093E+001, 2.0048724E+001, 0.0000000E+000
 5.1608040E+000, 2.0001514E+001, 2.0004613E+001, 2.0010918E+001, 2.0019907E+001, 2.0030305E+001, 2.0040670E+001, 2.0050608E+001, 0.0000000E+000
 5.1708543E+000, 2.0001575E+001, 2.0004797E+001, 2.0011380E+001, 2.0020753E+001, 2.0031567E+001, 2.0042305E+001, 2.0052556E+001, 0.0000000E+000
 5.1809045E+000, 2.0001638E+001, 2.0004987E+001, 2.0011859E+001, 2.0021631E+001, 2.0032880E+001, 2.0044002E+001, 2.0054579E+001, 0.0000000E+000
 5.1909548E+000, 2.0001702E+001, 2.0005183E+001, 2.0012353E+001, 2.0022542E+001, 2.0034239E+001, 2.0045762E+001, 2.0056668E+001, 0.0000000E+000
 5.2010050E+000, 2.0001768E+001, 2.0005384E+001, 2.0012865E+001, 2.0023486E+001, 2.0035653E+001, 2.0047586E+001, 2.0058837E+001, 0.0000000E+000
 5.2110553E+000, 2.0001836E+001, 2.0005590E+001, 2.0013394E+001, 2.0024463E+001, 2.0037114E+001, 2.0049477E+001, 2.0061076E+001, 0.0000000E+000
 5.2211055E+000, 2.0001905E+001, 2.0005802E+001, 2.0013939E+001, 2.0025476E+001, 2.0038632E+001, 2.0051436E+001, 2.0063399E+001, 0.0000000E+000
 5.2311558E+000, 2.0001976E+001, 2.0006019E+001, 2.0014502E+001, 2.0026523E+001, 2.0040199E+001, 2.0053465E+001, 2.0065796E+001, 0.0000000E+000
 5.2412060E+000, 2.0002048E+001, 2.0006241E+001, 2.0015083E+001, 2.0027607E+001, 2.0041828E+001, 2.0055566E+001, 2.0068283E+001, 0.0000000E+000
 5.2512563E+000, 2.0002121E+001, 2.0006468E+001, 2.0015680E+001, 2.0028725E+001, 2.0043507E+001, 2.0057741E+001, 2.0070847E+001, 0.0000000E+000
 5.2613065E+000, 2.0002196E+001, 2.0006701E+001, 2.0016296E+001, 2.0029882E+001, 2.0045250E+001, 2.0059994E+001, 2.0073506E+001, 0.0000000E+000
 5.2713568E+000, 2.0002272E+001, 2.0006939E+001, 2.0016928E+001, 2.0031074E+001, 2.0047044E+001, 2.0062323E+001, 2.0076247E+001, 0.0000000E+000
