m,C,C,C,C,C,C,C,C
x,T1,T2,T3,T4,T5,T6,T7,T8
 5.3517588E+000, 2.0002608E+001, 2.0007361E+001, 2.0014032E+001, 2.1561514E+001, 2.0031352E+001, 2.0040959E+001, 2.0057043E+001, 2.0069355E+001
 5.3618090E+000, 2.0002697E+001, 2.0007624E+001, 2.0014609E+001, 2.2582103E+001, 2.0033263E+001, 2.0043112E+001, 2.0060029E+001, 2.0072832E+001
 5.3718593E+000, 2.0002788E+001, 2.0007890E+001, 2.0015201E+001, 2.3684324E+001, 2.0035429E+001, 2.0045506E+001, 2.0063272E+001, 2.0076563E+001
 5.3819095E+000, 2.0002879E+001, 2.0008159E+001, 2.0015807E+001, 2.5187253E+001, 2.0038021E+001, 2.0048239E+001, 2.0066873E+001, 2.0080630E+001
 5.3919598E+000, 2.0002970E+001, 2.0008430E+001, 2.0016427E+001, 2.7044252E+001, 2.0041034E+001, 2.0051344E+001, 2.0070843E+001, 2.0085105E+001
 5.4020101E+000, 2.0003062E+001, 2.0008703E+001, 2.0017062E+001, 2.9210148E+001, 2.0044686E+001, 2.0054971E+001, 2.0075362E+001, 2.0090103E+001
 5.4120603E+000, 2.0003154E+001, 2.0008978E+001, 2.0017712E+001, 3.1019141E+001, 2.0048826E+001, 2.0058988E+001, 2.0080287E+001, 2.0095545E+001
 5.4221106E+000, 2.0003247E+001, 2.0009254E+001, 2.0018378E+001, 3.3103069E+001, 2.0053596E+001, 2.0063479E+001, 2.0085737E+001, 2.0101461E+001
 5.4321608E+000, 2.0003339E+001, 2.0009531E+001, 2.0019060E+001, 3.5877648E+001, 2.0059109E+001, 2.0068576E+001, 2.0091762E+001, 2.0108019E+001
 5.4422111E+000, 2.0003431E+001, 2.0009809E+001, 2.0019759E+001, 3.8884050E+001, 2.0065729E+001, 2.0074406E+001, 2.0098600E+001, 2.0115293E+001
 5.4522613E+000, 2.0003523E+001, 2.0010088E+001, 2.0020474E+001, 4.1955660E+001, 2.0073377E+001, 2.0080990E+001, 2.0106097E+001, 2.0123272E+001
