m,C,C,C,C,C,C,C,C
x,T1,T2,T3,T4,T5,T6,T7,T8
 4.9999000E+000, 2.0000077E+001, 2.0000197E+001, 2.0000329E+001, 2.0000555E+001, 2.0000835E+001, 2.0001236E+001, 2.0001519E+001, 2.0002059E+001
 5.0100503E+000, 2.0000089E+001, 2.0000221E+001, 2.0000372E+001, 2.0000628E+001, 2.0000941E+001, 2.0001423E+001, 2.0001713E+001, 2.0002350E+001
 5.0201005E+000, 2.0000095E+001, 2.0000234E+001, 2.0000396E+001, 2.0000669E+001, 2.0001002E+001, 2.0001532E+001, 2.0001824E+001, 2.0002507E+001
 5.0301508E+000, 2.0000102E+001, 2.0000248E+001, 2.0000421E+001, 2.0000712E+001, 2.0001067E+001, 2.0001653E+001, 2.0001946E+001, 2.0002677E+001
 5.0402010E+000, 2.0000109E+001, 2.0000264E+001, 2.0000449E+001, 2.0000757E+001, 2.0001139E+001, 2.0001789E+001, 2.0002082E+001, 2.0002864E+001
 5.0502513E+000, 2.0000117E+001, 2.0000280E+001, 2.0000477E+001, 2.0000805E+001, 2.0001219E+001, 2.0001938E+001, 2.0002230E+001, 2.0003068E+001
 5.0603015E+000, 2.0000125E+001, 2.0000298E+001, 2.0000508E+001, 2.0000856E+001, 2.0001307E+001, 2.0002113E+001, 2.0002398E+001, 2.0003304E+001
 5.0703518E+000, 2.0000134E+001, 2.0000316E+001, 2.0000540E+001, 2.0000911E+001, 2.0001406E+001, 2.0002311E+001, 2.0002590E+001, 2.0003562E+001
 5.0804020E+000, 2.0000143E+001, 2.0000336E+001, 2.0000575E+001, 2.0000968E+001, 2.0001508E+001, 2.0003085E+001, 2.0002817E+001, 2.0003873E+001
 5.0904523E+000, 2.0000153E+001, 2.0000357E+001, 2.0000611E+001, 2.0001028E+001, 2.0001620E+001, 2.0006130E+001, 2.0003064E+001, 2.0004244E+001
 5.1005025E+000, 2.0000163E+001, 2.0000379E+001, 2.0000651E+001, 2.0001093E+001, 2.0001753E+001, 2.0036110E+001, 2.0003383E+001, 2.0005304E+001
 5.1105528E+000, 2.0000174E+001, 2.0000402E+001, 2.0000691E+001, 2.0001160E+001, 2.0001892E+001, 2.0155203E+001, 2.0003779E+001, 2.0012080E+001
 5.1206030E+000, 2.0000185E+001, 2.0000427E+001, 2.0000735E+001, 2.0001231E+001, 2.0002057E+001, 2.0506744E+001, 2.0004464E+001, 2.0034890E+001
 5.1306533E+000, 2.0000197E+001, 2.0000452E+001, 2.0000781E+001, 2.0001308E+001, 2.0002239E+001, 2.1265992E+001, 2.0006172E+001, 2.0176764E+001
 5.1407035E+000, 2.0000209E+001, 2.0000479E+001, 2.0000830E+001, 2.0001390E+001, 2.0002456E+001, 2.2263914E+001, 2.0020471E+001, 2.0692552E+001
 5.1507538E+000, 2.0000222E+001, 2.0000508E+001, 2.0000881E+001, 2.0001477E+001, 2.0003254E+001, 2.5019318E+001, 2.0146389E+001, 2.1502190E+001
 5.1608040E+000, 2.0000235E+001, 2.0000538E+001, 2.0000936E+001, 2.0001568E+001, 2.0017779E+001, 2.9301246E+001, 2.0935287E+001, 2.2411044E+001
 5.1708543E+000, 2.0000249E+001, 2.0000570E+001, 2.0000992E+001, 2.0001666E+001, 2.0103314E+001, 3.3781820E+001, 2.2525005E+001, 2.4318282E+001
 5.1809045E+000, 2.0000264E+001, 2.0000604E+001, 2.0001053E+001, 2.0001771E+001, 2.0284811E+001, 3.8810754E+001, 2.4010328E+001, 2.7462955E+001
 5.1909548E+000, 2.0000280E+001, 2.0000639E+001, 2.0001117E+001, 2.0001883E+001, 2.0964374E+001, 4.3120308E+001, 2.6237001E+001, 3.2532940E+001
 5.2010050E+000, 2.0000296E+001, 2.0000676E+001, 2.0001184E+001, 2.0002002E+001, 2.2332641E+001, 4.7921044E+001, 3.0430859E+001, 3.8049064E+001
 5.2110553E+000, 2.0000313E+001, 2.0000716E+001, 2.0001254E+001, 2.0002132E+001, 2.4631672E+001, 5.2581450E+001, 3.7047334E+001, 4.4655380E+001
 5.2211055E+000, 2.0000331E+001, 2.0000757E+001, 2.0001328E+001, 2.0002272E+001, 2.6883040E+001, 5.8371391E+001, 4.4120232E+001, 5.1585167E+001
 5.2311558E+000, 2.0000350E+001, 2.0000801E+001, 2.0001406E+001, 2.0002425E+001, 3.0324702E+001, 6.4131950E+001, 5.0118004E+001, 5.8628888E+001
 5.2412060E+000, 2.0000369E+001, 2.0000847E+001, 2.0001489E+001, 2.0002784E+001, 3.4851499E+001, 7.0916384E+001, 5.8895587E+001, 6.5439312E+001
 5.2512563E+000, 2.0000389E+001, 2.0000896E+001, 2.0001573E+001, 2.0010746E+001, 3.9395390E+001, 7.6559725E+001, 6.6856040E+001, 7.2005947E+001
 5.2613065E+000, 2.0000410E+001, 2.0000948E+001, 2.0001663E+001, 2.0037263E+001, 4.4584835E+001, 8.0607809E+001, 7.4050875E+001, 7.9329546E+001
 5.2713568E+000, 2.0000431E+001, 2.0001002E+001, 2.0001754E+001, 2.0056242E+001, 5.0979935E+001, 8.5278256E+001, 8.1861400E+001, 8.4403357E+001
 5.2814070E+000, 2.0000453E+001, 2.0001057E+001, 2.0001854E+001, 2.0131098E+001, 5.7837528E+001, 8.9857655E+001, 8.8641187E+001, 8.8723990E+001
 5.2914573E+000, 2.0000476E+001, 2.0001115E+001, 2.0001956E+001, 2.0272433E+001, 6.4660469E+001, 9.4164964E+001, 9.3688979E+001, 9.2929139E+001
 5.3015075E+000, 2.0000499E+001, 2.0001174E+001, 2.0002068E+001, 2.0727713E+001, 7.0801550E+001, 9.7572925E+001, 9.7282423E+001, 9.7254818E+001
 5.3115578E+000, 2.0000523E+001, 2.0001235E+001, 2.0002184E+001, 2.1242287E+001, 7.6680663E+001, 1.0049949E+002, 1.0120364E+002, 1.0127912E+002
 5.3216080E+000, 2.0000548E+001, 2.0001298E+001, 2.0002303E+001, 2.1815459E+001, 8.2914815E+001, 1.0314546E+002, 1.0433239E+002, 1.0471694E+002
 5.3316583E+000, 2.0000574E+001, 2.0001363E+001, 2.0002427E+001, 2.3133176E+001, 8.9668596E+001, 1.0562109E+002, 1.0715106E+002, 1.0783949E+002
 5.3417085E+000, 2.0000601E+001, 2.0001430E+001, 2.0002559E+001, 2.3915736E+001, 9.4458355E+001, 1.0832429E+002, 1.0966225E+002, 1.1013965E+002
 5.3517588E+000, 2.0000629E+001, 2.0001498E+001, 2.0002697E+001, 2.5479718E+001, 9.8534519E+001, 1.1037493E+002, 1.1194429E+002, 1.1179604E+002
 5.3618090E+000, 2.0000657E+001, 2.0001567E+001, 2.0002844E+001, 2.7532951E+001, 1.0150242E+002, 1.1212292E+002, 1.1370371E+002, 1.1348930E+002
 5.3718593E+000, 2.0000687E+001, 2.0001638E+001, 2.0003001E+001, 2.9654377E+001, 1.0398942E+002, 1.1379181E+002, 1.1538091E+002, 1.1524443E+002
 5.3819095E+000, 2.0000718E+001, 2.0001712E+001, 2.0003175E+001, 3.2419288E+001, 1.0634558E+002, 1.1561136E+002, 1.1698581E+002, 1.1675748E+002
 5.3919598E+000, 2.0000750E+001, 2.0001786E+001, 2.0003359E+001, 3.6871846E+001, 1.0926852E+002, 1.1761356E+002, 1.1855837E+002, 1.1830323E+002
 5.4020101E+000, 2.0000783E+001, 2.0001863E+001, 2.0003565E+001, 4.3200840E+001, 1.1152167E+002, 1.1944616E+002, 1.2014909E+002, 1.1965294E+002
 5.4120603E+000, 2.0000817E+001, 2.0001942E+001, 2.0003780E+001, 4.9056115E+001, 1.1346916E+002, 1.2106493E+002, 1.2176176E+002, 1.2098259E+002
 5.4221106E+000, 2.0000853E+001, 2.0002024E+001, 2.0004017E+001, 5.5566219E+001, 1.1552938E+002, 1.2250376E+002, 1.2338593E+002, 1.2240889E+002
 5.4321608E+000, 2.0000889E+001, 2.0002109E+001, 2.0004277E+001, 6.2338955E+001, 1.1775518E+002, 1.2391218E+002, 1.2503634E+002, 1.2386810E+002
 5.4422111E+000, 2.0000927E+001, 2.0002197E+001, 2.0004573E+001, 7.0053458E+001, 1.1987128E+002, 1.2522004E+002, 1.2661117E+002, 1.2533915E+002
 5.4522613E+000, 2.0000965E+001, 2.0002287E+001, 2.0004967E+001, 7.6524229E+001, 1.2156599E+002, 1.2645303E+002, 1.2796944E+002, 1.2675643E+002
