s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"O2Rear","CO2Rear","CORear","THCRear","H2ORear","O2Front","CO2Front","COFront","THCFront","H2OFront","HFR","HFF","TRSampA","TFSampA","TR24A","TR80A","TF24A","TF80A","TFloorR","TFloorF","TCeilF","TWallUR","TD79LBB","TD79CBB","TD79RBB","TD70LA","TD70LBB","TD70CA","TD70CBB","TD30LA","TD30LBB","TD60CBB","TD50CA","TD50CBB","TD40CBB","TD30CA","TD30CBB","TD20LBB","TD20CBB","TD20RBB","TD5CBB","VD79L","VD79C","VD79R","VD60C","VD40C","VD20L","VD20C","VD20R","VD5C"
 0.000E+00, 2.078E-01, 3.869E-04, 0.000E+00, 0.000E+00, 5.149E-03, 2.078E-01, 3.869E-04, 0.000E+00, 0.000E+00, 5.149E-03,-4.123E-06,-7.068E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01,-1.157E-02, 2.441E-03, 6.801E-03, 3.633E-03, 1.012E-02,-3.412E-03,-4.846E-04,-4.333E-03, 6.147E-03
 8.002E+01, 1.221E-01, 3.604E-02, 2.538E-03, 2.994E-03, 5.634E-02, 1.109E-01, 3.896E-02, 4.087E-03, 6.953E-03, 6.376E-02, 2.155E+01, 2.400E+01, 4.458E+02, 5.977E+02, 5.172E+01, 4.372E+02, 4.803E+01, 5.011E+02, 3.267E+02, 3.406E+02, 4.615E+02, 2.073E+01, 4.943E+02, 4.776E+02, 4.929E+02, 4.958E+02, 4.390E+02, 3.997E+02, 3.656E+02, 2.281E+01, 7.420E+01, 2.864E+02, 1.600E+02, 1.808E+02, 1.075E+02, 2.336E+01, 7.919E+01, 6.719E+01, 7.164E+01, 6.684E+01, 6.307E+01,-2.710E+00,-2.410E+00,-2.681E+00,-9.280E-01,-3.003E-01, 1.507E-01, 1.175E-01, 1.541E-01, 2.185E-01
 1.600E+02, 1.554E-02, 7.628E-02, 8.991E-03, 9.781E-03, 1.230E-01, 1.838E-02, 6.617E-02, 1.529E-02, 2.722E-02, 1.242E-01, 5.883E+01, 7.547E+01, 7.596E+02, 1.066E+03, 1.586E+02, 7.540E+02, 2.019E+02, 1.053E+03, 6.747E+02, 7.409E+02, 9.384E+02, 4.109E+01, 9.869E+02, 9.699E+02, 9.833E+02, 9.960E+02, 9.128E+02, 9.050E+02, 8.596E+02, 4.178E+01, 2.443E+02, 6.771E+02, 3.943E+02, 5.025E+02, 3.398E+02, 2.960E+01, 2.380E+02, 1.931E+02, 2.097E+02, 1.924E+02, 1.762E+02,-5.125E+00,-4.672E+00,-5.109E+00,-1.752E+00,-3.310E-01, 7.256E-01, 6.667E-01, 7.387E-01, 9.583E-01
 2.400E+02, 7.074E-03, 7.814E-02, 1.062E-02, 1.093E-02, 1.292E-01, 6.797E-03, 6.686E-02, 1.909E-02, 2.954E-02, 1.335E-01, 6.903E+01, 8.514E+01, 7.995E+02, 1.062E+03, 1.810E+02, 7.958E+02, 2.627E+02, 1.086E+03, 7.254E+02, 7.829E+02, 9.638E+02, 8.082E+01, 9.911E+02, 9.911E+02, 9.946E+02, 1.027E+03, 9.374E+02, 9.408E+02, 8.907E+02, 3.712E+01, 2.646E+02, 7.119E+02, 4.131E+02, 5.310E+02, 3.793E+02, 3.060E+01, 2.698E+02, 2.203E+02, 2.360E+02, 2.184E+02, 1.995E+02,-5.283E+00,-4.729E+00,-5.158E+00,-1.853E+00,-4.256E-01, 7.697E-01, 7.065E-01, 7.841E-01, 1.031E+00
 3.200E+02, 5.607E-03, 8.213E-02, 8.053E-03, 6.742E-03, 1.288E-01, 8.103E-03, 6.533E-02, 1.949E-02, 3.475E-02, 1.326E-01, 7.004E+01, 8.585E+01, 8.096E+02, 1.066E+03, 1.836E+02, 7.937E+02, 2.520E+02, 1.089E+03, 7.323E+02, 7.881E+02, 9.725E+02, 1.143E+02, 9.973E+02, 9.947E+02, 1.001E+03, 1.049E+03, 9.530E+02, 9.336E+02, 8.893E+02, 3.924E+01, 2.705E+02, 6.673E+02, 3.774E+02, 5.112E+02, 3.704E+02, 3.044E+01, 2.739E+02, 2.248E+02, 2.392E+02, 2.222E+02, 2.028E+02,-5.229E+00,-4.792E+00,-5.203E+00,-1.778E+00,-1.712E-01, 7.790E-01, 7.161E-01, 7.759E-01, 1.036E+00
 4.000E+02, 4.838E-03, 8.379E-02, 7.007E-03, 5.446E-03, 1.288E-01, 1.577E-02, 6.621E-02, 1.600E-02, 3.075E-02, 1.259E-01, 7.191E+01, 8.780E+01, 8.217E+02, 1.101E+03, 1.966E+02, 8.057E+02, 2.663E+02, 1.090E+03, 7.413E+02, 7.963E+02, 9.880E+02, 1.380E+02, 1.026E+03, 9.947E+02, 1.015E+03, 1.066E+03, 9.651E+02, 9.745E+02, 9.182E+02, 3.754E+01, 2.744E+02, 6.795E+02, 3.628E+02, 5.102E+02, 3.846E+02, 3.120E+01, 2.790E+02, 2.286E+02, 2.454E+02, 2.285E+02, 2.081E+02,-5.201E+00,-4.758E+00,-5.268E+00,-1.752E+00,-2.326E-01, 7.858E-01, 7.097E-01, 7.694E-01, 1.025E+00
 4.800E+02, 4.253E-03, 8.360E-02, 7.352E-03, 6.154E-03, 1.293E-01, 1.006E-02, 6.211E-02, 2.039E-02, 4.851E-02, 1.309E-01, 7.721E+01, 9.235E+01, 8.331E+02, 1.104E+03, 2.031E+02, 8.222E+02, 2.788E+02, 1.079E+03, 7.617E+02, 8.117E+02, 1.000E+03, 1.554E+02, 1.025E+03, 1.014E+03, 1.025E+03, 1.080E+03, 9.827E+02, 9.516E+02, 9.064E+02, 4.227E+01, 2.887E+02, 7.275E+02, 4.153E+02, 5.480E+02, 4.033E+02, 3.095E+01, 2.928E+02, 2.398E+02, 2.551E+02, 2.361E+02, 2.171E+02,-5.324E+00,-4.806E+00,-5.342E+00,-1.896E+00,-4.199E-01, 7.787E-01, 7.096E-01, 7.853E-01, 9.902E-01
 5.600E+02, 8.027E-03, 8.546E-02, 4.384E-03, 4.195E-03, 1.253E-01, 1.950E-02, 6.739E-02, 1.382E-02, 2.667E-02, 1.227E-01, 7.522E+01, 9.004E+01, 8.329E+02, 1.084E+03, 2.046E+02, 8.067E+02, 2.813E+02, 1.085E+03, 7.558E+02, 8.053E+02, 9.873E+02, 1.674E+02, 1.013E+03, 1.008E+03, 1.019E+03, 1.058E+03, 9.641E+02, 9.484E+02, 9.056E+02, 4.319E+01, 2.836E+02, 7.001E+02, 4.056E+02, 5.343E+02, 3.988E+02, 3.111E+01, 2.863E+02, 2.368E+02, 2.508E+02, 2.325E+02, 2.134E+02,-5.189E+00,-4.708E+00,-5.235E+00,-1.777E+00,-3.567E-01, 7.904E-01, 7.209E-01, 7.690E-01, 1.023E+00
 6.400E+02, 1.007E-02, 8.352E-02, 5.205E-03, 5.009E-03, 1.245E-01, 8.148E-03, 6.596E-02, 1.889E-02, 3.507E-02, 1.321E-01, 7.691E+01, 9.144E+01, 8.461E+02, 1.108E+03, 2.018E+02, 8.123E+02, 2.968E+02, 1.080E+03, 7.624E+02, 8.100E+02, 9.972E+02, 1.747E+02, 1.022E+03, 1.018E+03, 1.020E+03, 1.069E+03, 9.741E+02, 9.732E+02, 9.190E+02, 3.708E+01, 2.862E+02, 6.981E+02, 4.116E+02, 5.430E+02, 3.944E+02, 3.145E+01, 2.877E+02, 2.381E+02, 2.541E+02, 2.359E+02, 2.148E+02,-5.330E+00,-4.843E+00,-5.276E+00,-1.791E+00,-2.143E-01, 7.900E-01, 7.201E-01, 7.989E-01, 1.019E+00
