s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"O2Rear","CO2Rear","CORear","THCRear","H2ORear","O2Front","CO2Front","COFront","THCFront","H2OFront","HFR","HFF","TRSampA","TFSampA","TR24A","TR80A","TF24A","TF80A","TFloorR","TFloorF","TCeilF","TWallUR","TD79LBB","TD79CBB","TD79RBB","TD70LA","TD70LBB","TD70CA","TD70CBB","TD30LA","TD30LBB","TD60CBB","TD50CA","TD50CBB","TD40CBB","TD30CA","TD30CBB","TD20LBB","TD20CBB","TD20RBB","TD5CBB","VD79L","VD79C","VD79R","VD60C","VD40C","VD20L","VD20C","VD20R","VD5C"
 0.000E+00, 2.078E-01, 3.869E-04, 0.000E+00, 0.000E+00, 5.149E-03, 2.078E-01, 3.869E-04, 0.000E+00, 0.000E+00, 5.149E-03,-4.123E-06,-7.068E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01,-1.157E-02, 2.441E-03, 6.801E-03, 3.633E-03, 1.012E-02,-3.412E-03,-4.846E-04,-4.333E-03, 6.147E-03
 8.000E+01, 1.940E-01, 6.580E-03, 5.867E-05, 4.655E-05, 1.306E-02, 1.882E-01, 9.179E-03, 8.602E-05, 6.420E-05, 1.640E-02, 2.623E+00, 2.503E+00, 1.380E+02, 1.866E+02, 2.153E+01, 1.422E+02, 2.121E+01, 1.356E+02, 9.109E+01, 8.860E+01, 1.215E+02, 2.006E+01, 1.489E+02, 1.331E+02, 1.343E+02, 1.561E+02, 1.354E+02, 1.073E+02, 9.265E+01, 2.039E+01, 2.510E+01, 6.363E+01, 4.155E+01, 4.120E+01, 2.758E+01, 2.051E+01, 2.509E+01, 2.466E+01, 2.453E+01, 2.440E+01, 2.348E+01,-9.613E-01,-7.894E-01,-8.876E-01,-2.951E-01,-8.131E-02, 3.352E-02, 1.140E-02, 3.295E-02, 5.468E-02
 1.600E+02, 8.209E-02, 5.626E-02, 8.800E-04, 4.976E-04, 7.870E-02, 7.193E-02, 5.630E-02, 4.550E-03, 4.549E-03, 8.688E-02, 3.029E+01, 3.624E+01, 6.335E+02, 8.771E+02, 8.860E+01, 6.440E+02, 9.311E+01, 7.536E+02, 4.871E+02, 5.153E+02, 6.882E+02, 2.691E+01, 7.466E+02, 7.472E+02, 7.416E+02, 6.811E+02, 6.352E+02, 5.965E+02, 5.724E+02, 2.491E+01, 1.074E+02, 4.433E+02, 2.963E+02, 3.276E+02, 1.731E+02, 2.459E+01, 1.148E+02, 9.391E+01, 1.019E+02, 9.342E+01, 8.589E+01,-4.009E+00,-3.620E+00,-3.997E+00,-1.310E+00,-3.124E-01, 5.482E-01, 4.803E-01, 5.485E-01, 7.053E-01
 2.400E+02, 2.198E-02, 7.817E-02, 5.098E-03, 5.795E-03, 1.170E-01, 1.717E-02, 5.996E-02, 1.986E-02, 4.354E-02, 1.267E-01, 5.878E+01, 7.519E+01, 7.847E+02, 1.055E+03, 1.739E+02, 7.479E+02, 2.213E+02, 1.032E+03, 6.750E+02, 7.414E+02, 9.469E+02, 5.621E+01, 9.800E+02, 9.720E+02, 9.840E+02, 1.012E+03, 9.202E+02, 8.492E+02, 8.210E+02, 2.978E+01, 2.291E+02, 6.490E+02, 3.893E+02, 4.945E+02, 3.435E+02, 2.905E+01, 2.373E+02, 1.938E+02, 2.065E+02, 1.905E+02, 1.750E+02,-5.205E+00,-4.671E+00,-5.001E+00,-1.786E+00,-4.029E-01, 7.377E-01, 6.804E-01, 7.296E-01, 9.544E-01
 3.200E+02, 7.533E-03, 8.275E-02, 6.788E-03, 6.176E-03, 1.269E-01, 1.267E-02, 6.698E-02, 1.612E-02, 3.608E-02, 1.275E-01, 6.473E+01, 8.116E+01, 7.872E+02, 1.072E+03, 1.976E+02, 7.722E+02, 2.629E+02, 1.046E+03, 7.091E+02, 7.704E+02, 9.649E+02, 9.247E+01, 1.001E+03, 9.919E+02, 1.000E+03, 1.066E+03, 9.624E+02, 8.945E+02, 8.619E+02, 3.524E+01, 2.488E+02, 6.827E+02, 4.065E+02, 5.218E+02, 3.644E+02, 3.043E+01, 2.607E+02, 2.130E+02, 2.276E+02, 2.119E+02, 1.933E+02,-5.297E+00,-4.689E+00,-5.170E+00,-1.774E+00,-1.927E-01, 7.852E-01, 6.986E-01, 7.456E-01, 1.000E+00
 4.000E+02, 1.299E-02, 8.232E-02, 5.125E-03, 4.659E-03, 1.226E-01, 7.847E-03, 6.132E-02, 2.223E-02, 4.531E-02, 1.337E-01, 6.954E+01, 8.495E+01, 8.173E+02, 1.080E+03, 1.964E+02, 7.903E+02, 2.797E+02, 1.037E+03, 7.309E+02, 7.856E+02, 9.848E+02, 1.221E+02, 1.009E+03, 9.892E+02, 1.001E+03, 1.064E+03, 9.656E+02, 9.438E+02, 8.963E+02, 4.347E+01, 2.707E+02, 6.999E+02, 4.103E+02, 5.312E+02, 3.853E+02, 3.039E+01, 2.703E+02, 2.220E+02, 2.368E+02, 2.205E+02, 2.016E+02,-5.259E+00,-4.682E+00,-5.131E+00,-1.822E+00,-2.681E-01, 7.849E-01, 7.306E-01, 7.943E-01, 1.019E+00
 4.800E+02, 7.223E-03, 8.251E-02, 7.004E-03, 7.654E-03, 1.271E-01, 1.010E-02, 6.513E-02, 1.881E-02, 3.538E-02, 1.309E-01, 7.221E+01, 8.718E+01, 8.199E+02, 1.078E+03, 1.892E+02, 8.038E+02, 2.685E+02, 1.092E+03, 7.422E+02, 7.940E+02, 9.722E+02, 1.437E+02, 1.007E+03, 1.006E+03, 1.024E+03, 1.017E+03, 9.308E+02, 9.573E+02, 9.044E+02, 6.295E+01, 2.941E+02, 7.185E+02, 3.952E+02, 5.242E+02, 3.923E+02, 3.146E+01, 2.757E+02, 2.255E+02, 2.414E+02, 2.241E+02, 2.056E+02,-5.122E+00,-4.704E+00,-5.289E+00,-1.796E+00,-4.100E-01, 7.683E-01, 7.131E-01, 7.706E-01, 1.024E+00
 5.600E+02, 3.407E-03, 8.412E-02, 7.029E-03, 8.568E-03, 1.295E-01, 1.312E-02, 6.764E-02, 1.575E-02, 3.139E-02, 1.274E-01, 7.390E+01, 8.910E+01, 8.279E+02, 1.101E+03, 2.009E+02, 8.069E+02, 2.742E+02, 1.102E+03, 7.502E+02, 8.017E+02, 9.873E+02, 1.590E+02, 1.013E+03, 1.011E+03, 1.023E+03, 1.051E+03, 9.575E+02, 9.723E+02, 9.208E+02, 4.368E+01, 2.895E+02, 7.048E+02, 3.845E+02, 5.264E+02, 3.878E+02, 3.079E+01, 2.834E+02, 2.337E+02, 2.477E+02, 2.291E+02, 2.112E+02,-5.172E+00,-4.730E+00,-5.187E+00,-1.829E+00,-3.507E-01, 7.666E-01, 7.281E-01, 7.912E-01, 1.035E+00
 6.400E+02, 2.961E-03, 8.248E-02, 8.698E-03, 7.916E-03, 1.308E-01, 1.576E-02, 6.847E-02, 1.434E-02, 2.682E-02, 1.252E-01, 7.572E+01, 9.027E+01, 8.172E+02, 1.090E+03, 1.845E+02, 8.233E+02, 2.761E+02, 1.113E+03, 7.571E+02, 8.057E+02, 9.844E+02, 1.686E+02, 1.005E+03, 1.014E+03, 1.023E+03, 1.055E+03, 9.575E+02, 9.483E+02, 9.017E+02, 5.641E+01, 2.962E+02, 6.984E+02, 4.103E+02, 5.360E+02, 3.958E+02, 3.087E+01, 2.853E+02, 2.349E+02, 2.503E+02, 2.337E+02, 2.129E+02,-5.201E+00,-4.793E+00,-5.310E+00,-1.772E+00,-3.703E-01, 7.581E-01, 7.105E-01, 7.822E-01, 1.017E+00
