s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"O2Rear","CO2Rear","CORear","THCRear","H2ORear","O2Front","CO2Front","COFront","THCFront","H2OFront","HFR","HFF","TRSampA","TFSampA","TR24A","TR80A","TF24A","TF80A","TFloorR","TFloorF","TCeilF","TWallUR","TD79LBB","TD79CBB","TD79RBB","TD70LA","TD70LBB","TD70CA","TD70CBB","TD30LA","TD30LBB","TD60CBB","TD50CA","TD50CBB","TD40CBB","TD30CA","TD30CBB","TD20LBB","TD20CBB","TD20RBB","TD5CBB","VD79L","VD79C","VD79R","VD60C","VD40C","VD20L","VD20C","VD20R","VD5C"
 0.000E+00, 2.073E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.073E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.710E-06,-9.335E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.006E+01, 2.052E-01, 1.169E-03, 3.114E-10, 4.304E-10, 1.096E-03, 2.049E-01, 1.362E-03, 5.341E-11, 1.888E-10, 1.276E-03, 2.677E-01, 1.970E-01, 4.274E+01, 4.616E+01, 2.010E+01, 4.228E+01, 2.003E+01, 3.863E+01, 3.058E+01, 2.820E+01, 3.017E+01, 2.001E+01, 3.696E+01, 3.520E+01, 3.703E+01, 3.959E+01, 3.597E+01, 3.687E+01, 3.408E+01, 2.016E+01, 2.058E+01, 3.223E+01, 3.196E+01, 3.023E+01, 2.519E+01, 2.004E+01, 2.053E+01, 2.042E+01, 2.046E+01, 2.042E+01, 2.041E+01,-3.338E-01,-3.423E-01,-3.985E-01,-9.760E-02,-1.564E-02, 1.160E-01, 9.946E-02, 1.167E-01, 7.589E-02
 1.600E+02, 1.998E-01, 4.358E-03, 5.360E-09, 7.480E-08, 4.090E-03, 1.998E-01, 4.325E-03, 5.979E-11, 1.516E-10, 4.055E-03, 8.362E-01, 3.438E-01, 9.645E+01, 9.832E+01, 2.491E+01, 9.198E+01, 2.484E+01, 9.213E+01, 6.031E+01, 4.051E+01, 5.755E+01, 2.063E+01, 8.964E+01, 8.632E+01, 9.027E+01, 9.171E+01, 8.820E+01, 8.460E+01, 8.098E+01, 2.047E+01, 2.145E+01, 7.413E+01, 6.739E+01, 6.446E+01, 2.939E+01, 2.002E+01, 2.111E+01, 2.095E+01, 2.099E+01, 2.092E+01, 2.091E+01,-1.218E+00,-9.997E-01,-1.171E+00,-2.244E-01, 2.112E-01, 4.620E-01, 4.271E-01, 4.717E-01, 3.843E-01
 2.401E+02, 1.972E-01, 5.917E-03, 7.202E-09, 1.117E-07, 5.551E-03, 1.976E-01, 5.598E-03, 2.467E-11, 3.425E-10, 5.251E-03, 1.237E+00, 4.851E-01, 1.252E+02, 1.199E+02, 2.745E+01, 1.255E+02, 3.557E+01, 1.170E+02, 8.323E+01, 4.846E+01, 7.502E+01, 2.316E+01, 1.120E+02, 1.100E+02, 1.140E+02, 1.136E+02, 1.105E+02, 1.091E+02, 1.058E+02, 2.006E+01, 2.150E+01, 9.443E+01, 8.391E+01, 8.228E+01, 3.228E+01, 2.001E+01, 2.148E+01, 2.126E+01, 2.134E+01, 2.125E+01, 2.124E+01,-1.345E+00,-1.236E+00,-1.403E+00,-3.632E-01, 2.294E-01, 5.454E-01, 4.872E-01, 5.668E-01, 4.472E-01
 3.200E+02, 1.964E-01, 6.367E-03, 1.689E-09, 3.204E-09, 5.975E-03, 1.964E-01, 6.311E-03, 4.245E-10, 7.755E-10, 5.919E-03, 1.162E+00, 6.692E-01, 1.323E+02, 1.344E+02, 3.033E+01, 1.297E+02, 3.786E+01, 1.301E+02, 8.634E+01, 5.885E+01, 8.858E+01, 2.677E+01, 1.261E+02, 1.245E+02, 1.283E+02, 1.275E+02, 1.244E+02, 1.230E+02, 1.197E+02, 2.068E+01, 2.221E+01, 1.079E+02, 9.716E+01, 9.511E+01, 3.210E+01, 2.001E+01, 2.196E+01, 2.168E+01, 2.180E+01, 2.167E+01, 2.162E+01,-1.533E+00,-1.338E+00,-1.549E+00,-3.571E-01, 2.402E-01, 5.446E-01, 5.128E-01, 5.701E-01, 5.337E-01
 4.000E+02, 1.947E-01, 7.363E-03, 5.996E-08, 1.568E-07, 6.914E-03, 1.953E-01, 6.961E-03, 3.010E-10, 5.589E-10, 6.530E-03, 1.946E+00, 7.660E-01, 1.489E+02, 1.440E+02, 3.256E+01, 1.437E+02, 4.201E+01, 1.380E+02, 1.113E+02, 6.522E+01, 9.796E+01, 3.005E+01, 1.353E+02, 1.308E+02, 1.363E+02, 1.375E+02, 1.336E+02, 1.289E+02, 1.256E+02, 2.020E+01, 2.261E+01, 1.140E+02, 1.027E+02, 1.001E+02, 3.881E+01, 2.003E+01, 2.232E+01, 2.201E+01, 2.208E+01, 2.197E+01, 2.198E+01,-1.599E+00,-1.349E+00,-1.602E+00,-4.047E-01, 2.640E-01, 5.726E-01, 5.424E-01, 5.902E-01, 4.729E-01
 4.801E+02, 1.933E-01, 8.165E-03, 1.309E-08, 3.158E-08, 7.673E-03, 1.941E-01, 7.618E-03, 1.442E-09, 2.016E-09, 7.139E-03, 1.856E+00, 9.744E-01, 1.631E+02, 1.573E+02, 3.580E+01, 1.584E+02, 4.348E+01, 1.463E+02, 1.173E+02, 7.527E+01, 1.109E+02, 3.291E+01, 1.483E+02, 1.433E+02, 1.465E+02, 1.505E+02, 1.469E+02, 1.417E+02, 1.380E+02, 2.026E+01, 2.288E+01, 1.262E+02, 1.132E+02, 1.120E+02, 4.640E+01, 2.006E+01, 2.286E+01, 2.242E+01, 2.254E+01, 2.242E+01, 2.238E+01,-1.654E+00,-1.473E+00,-1.688E+00,-4.630E-01, 2.196E-01, 6.094E-01, 5.793E-01, 6.123E-01, 5.690E-01
 5.601E+02, 1.927E-01, 8.506E-03, 2.859E-08, 4.582E-08, 7.999E-03, 1.934E-01, 8.080E-03, 8.360E-10, 9.421E-10, 7.572E-03, 2.200E+00, 1.079E+00, 1.692E+02, 1.648E+02, 3.651E+01, 1.540E+02, 4.527E+01, 1.568E+02, 1.279E+02, 8.149E+01, 1.191E+02, 3.577E+01, 1.556E+02, 1.503E+02, 1.524E+02, 1.582E+02, 1.542E+02, 1.489E+02, 1.449E+02, 2.060E+01, 2.350E+01, 1.275E+02, 1.094E+02, 1.072E+02, 4.823E+01, 2.019E+01, 2.330E+01, 2.273E+01, 2.289E+01, 2.270E+01, 2.268E+01,-1.706E+00,-1.556E+00,-1.673E+00,-5.065E-01, 2.200E-01, 6.195E-01, 5.574E-01, 6.414E-01, 5.537E-01
 6.400E+02, 1.933E-01, 8.180E-03, 1.272E-09, 1.225E-09, 7.692E-03, 1.944E-01, 7.543E-03, 1.758E-09, 2.621E-09, 7.089E-03, 1.749E+00, 1.129E+00, 1.655E+02, 1.586E+02, 3.858E+01, 1.606E+02, 5.114E+01, 1.545E+02, 1.180E+02, 8.538E+01, 1.203E+02, 3.813E+01, 1.517E+02, 1.500E+02, 1.536E+02, 1.533E+02, 1.498E+02, 1.490E+02, 1.457E+02, 2.111E+01, 2.400E+01, 1.347E+02, 1.210E+02, 1.206E+02, 5.349E+01, 2.009E+01, 2.323E+01, 2.279E+01, 2.288E+01, 2.275E+01, 2.279E+01,-1.895E+00,-1.564E+00,-1.840E+00,-5.023E-01, 2.231E-01, 6.507E-01, 6.308E-01, 6.611E-01, 5.651E-01
