s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"O2Rear","CO2Rear","CORear","THCRear","SootRear","H2ORear","O2Front","CO2Front","COFront","THCFront","SootFront","H2OFront","HFR","HFF","TRSampA","TFSampA","TR24A","TR80A","TF24A","TF80A","TFloorR","TFloorF","TCeilF","TWallUR","TD79LBB","TD79CBB","TD79RBB","TD70LA","TD70LBB","TD70CA","TD70CBB","TD30LA","TD30LBB","TD60CBB","TD50CA","TD50CBB","TD40CBB","TD30CA","TD30CBB","TD20LBB","TD20CBB","TD20RBB","TD5CBB","VD79L","VD79C","VD79R","VD60C","VD40C","VD20L","VD20C","VD20R","VD5C"
 0.000E+00, 2.078E-01, 3.869E-04, 0.000E+00, 0.000E+00, 0.000E+00, 5.149E-03, 2.078E-01, 3.869E-04, 0.000E+00, 0.000E+00, 0.000E+00, 5.149E-03,-4.785E-06,-7.863E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01,-1.157E-02, 2.441E-03, 6.801E-03, 3.633E-03, 1.012E-02,-3.412E-03,-4.846E-04,-4.333E-03, 6.147E-03
 8.002E+01, 2.025E-01, 3.480E-03, 3.014E-05, 5.089E-06, 6.353E-06, 7.388E-03, 2.008E-01, 4.517E-03, 3.848E-05, 6.102E-06, 8.113E-06, 8.138E-03, 8.553E-01, 7.649E-01, 7.297E+01, 9.149E+01, 2.062E+01, 7.639E+01, 2.060E+01, 8.645E+01, 4.938E+01, 4.771E+01, 6.170E+01, 2.004E+01, 7.655E+01, 7.266E+01, 8.190E+01, 8.066E+01, 7.098E+01, 6.448E+01, 5.761E+01, 2.073E+01, 2.237E+01, 5.197E+01, 4.051E+01, 3.773E+01, 2.368E+01, 2.013E+01, 2.194E+01, 2.134E+01, 2.146E+01, 2.142E+01, 2.132E+01,-6.949E-01,-6.084E-01,-7.182E-01,-2.166E-01, 1.655E-02, 1.046E-01, 7.548E-02, 1.004E-01, 1.094E-01
 1.600E+02, 1.686E-01, 2.343E-02, 1.797E-04, 1.735E-05, 3.794E-05, 2.181E-02, 1.694E-01, 2.289E-02, 2.044E-04, 2.218E-05, 4.316E-05, 2.145E-02, 7.180E+00, 5.183E+00, 3.377E+02, 3.688E+02, 3.607E+01, 3.480E+02, 4.426E+01, 3.305E+02, 2.265E+02, 1.804E+02, 2.512E+02, 2.277E+01, 3.407E+02, 3.310E+02, 3.399E+02, 3.370E+02, 3.159E+02, 2.744E+02, 2.601E+02, 2.040E+01, 3.081E+01, 2.180E+02, 1.654E+02, 1.641E+02, 5.696E+01, 2.081E+01, 3.246E+01, 2.957E+01, 3.099E+01, 2.957E+01, 2.857E+01,-2.546E+00,-2.160E+00,-2.445E+00,-7.712E-01, 9.776E-02, 5.209E-01, 4.423E-01, 5.226E-01, 6.090E-01
 2.400E+02, 1.397E-01, 4.036E-02, 2.884E-04, 2.185E-05, 6.095E-05, 3.406E-02, 1.410E-01, 3.962E-02, 3.009E-04, 2.489E-05, 6.361E-05, 3.355E-02, 1.397E+01, 1.435E+01, 4.950E+02, 5.773E+02, 7.110E+01, 4.931E+02, 8.965E+01, 5.145E+02, 3.524E+02, 3.520E+02, 4.381E+02, 3.637E+01, 5.215E+02, 5.019E+02, 4.975E+02, 5.016E+02, 4.726E+02, 4.276E+02, 4.092E+02, 2.172E+01, 5.217E+01, 3.398E+02, 2.445E+02, 2.576E+02, 1.191E+02, 2.198E+01, 5.605E+01, 4.791E+01, 5.151E+01, 4.771E+01, 4.509E+01,-3.395E+00,-3.055E+00,-3.329E+00,-1.037E+00,-8.015E-02, 6.830E-01, 5.943E-01, 6.687E-01, 8.474E-01
 3.200E+02, 1.380E-01, 4.140E-02, 3.010E-04, 2.239E-05, 6.362E-05, 3.482E-02, 1.475E-01, 3.578E-02, 2.945E-04, 2.631E-05, 6.222E-05, 3.078E-02, 1.396E+01, 1.493E+01, 5.117E+02, 5.596E+02, 8.544E+01, 4.920E+02, 1.050E+02, 4.820E+02, 3.656E+02, 3.747E+02, 4.529E+02, 5.670E+01, 5.135E+02, 4.953E+02, 4.778E+02, 5.044E+02, 4.778E+02, 4.339E+02, 4.221E+02, 2.190E+01, 5.453E+01, 3.417E+02, 2.554E+02, 2.712E+02, 1.374E+02, 2.197E+01, 5.896E+01, 5.040E+01, 5.442E+01, 5.004E+01, 4.733E+01,-3.476E+00,-3.093E+00,-3.259E+00,-1.089E+00,-1.991E-02, 7.435E-01, 6.502E-01, 7.546E-01, 9.371E-01
 4.000E+02, 1.476E-01, 3.573E-02, 2.664E-04, 2.315E-05, 5.629E-05, 3.071E-02, 1.568E-01, 3.027E-02, 2.752E-04, 2.686E-05, 5.812E-05, 2.681E-02, 1.209E+01, 1.219E+01, 4.733E+02, 5.014E+02, 7.938E+01, 4.655E+02, 1.030E+02, 4.715E+02, 3.451E+02, 3.453E+02, 4.175E+02, 7.338E+01, 4.663E+02, 4.496E+02, 4.453E+02, 4.466E+02, 4.278E+02, 3.922E+02, 3.807E+02, 2.137E+01, 4.893E+01, 3.243E+02, 2.429E+02, 2.545E+02, 1.266E+02, 2.185E+01, 5.288E+01, 4.532E+01, 4.908E+01, 4.570E+01, 4.312E+01,-3.256E+00,-2.866E+00,-3.049E+00,-1.062E+00,-8.302E-02, 7.564E-01, 6.253E-01, 7.236E-01, 9.251E-01
 4.800E+02, 1.390E-01, 4.079E-02, 3.006E-04, 2.353E-05, 6.354E-05, 3.439E-02, 1.360E-01, 4.254E-02, 3.172E-04, 2.463E-05, 6.707E-05, 3.567E-02, 1.783E+01, 1.882E+01, 5.401E+02, 6.165E+02, 9.113E+01, 5.151E+02, 1.131E+02, 5.237E+02, 4.030E+02, 4.083E+02, 4.882E+02, 8.331E+01, 5.436E+02, 5.093E+02, 4.974E+02, 5.441E+02, 5.091E+02, 4.308E+02, 4.169E+02, 2.329E+01, 6.280E+01, 3.583E+02, 2.610E+02, 2.778E+02, 1.429E+02, 2.242E+01, 6.651E+01, 5.651E+01, 6.121E+01, 5.634E+01, 5.296E+01,-3.596E+00,-3.080E+00,-3.327E+00,-1.105E+00,-1.336E-01, 7.179E-01, 5.978E-01, 6.928E-01, 8.485E-01
 5.600E+02, 1.013E-01, 6.302E-02, 3.416E-04, 1.810E-05, 7.233E-05, 5.042E-02, 9.334E-02, 6.699E-02, 1.073E-03, 4.970E-05, 2.302E-04, 5.413E-02, 3.503E+01, 4.360E+01, 6.702E+02, 8.610E+02, 1.340E+02, 6.440E+02, 1.828E+02, 7.698E+02, 5.469E+02, 5.955E+02, 7.121E+02, 9.115E+01, 7.408E+02, 7.300E+02, 7.217E+02, 7.399E+02, 6.872E+02, 6.617E+02, 6.294E+02, 2.861E+01, 1.272E+02, 5.327E+02, 3.512E+02, 4.004E+02, 2.317E+02, 2.522E+01, 1.340E+02, 1.110E+02, 1.198E+02, 1.111E+02, 1.007E+02,-4.340E+00,-3.845E+00,-4.216E+00,-1.647E+00,-2.183E-01, 7.655E-01, 6.604E-01, 7.230E-01, 9.300E-01
 6.400E+02, 8.362E-02, 7.356E-02, 2.927E-04, 1.590E-05, 6.203E-05, 5.795E-02, 7.287E-02, 7.787E-02, 2.264E-03, 9.157E-05, 4.896E-04, 6.337E-02, 4.929E+01, 6.196E+01, 7.348E+02, 9.589E+02, 1.839E+02, 7.135E+02, 2.658E+02, 8.919E+02, 6.368E+02, 6.942E+02, 8.174E+02, 1.046E+02, 8.380E+02, 8.172E+02, 8.316E+02, 8.338E+02, 7.707E+02, 8.011E+02, 7.495E+02, 2.897E+01, 1.771E+02, 6.457E+02, 4.243E+02, 4.889E+02, 3.062E+02, 2.716E+01, 1.870E+02, 1.556E+02, 1.664E+02, 1.556E+02, 1.395E+02,-4.729E+00,-3.992E+00,-4.465E+00,-1.928E+00,-2.545E-01, 7.965E-01, 7.243E-01, 7.815E-01, 1.007E+00
