s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"O2Rear","CO2Rear","CORear","THCRear","SootRear","H2ORear","O2Front","CO2Front","COFront","THCFront","SootFront","H2OFront","HFR","HFF","TRSampA","TFSampA","TR24A","TR80A","TF24A","TF80A","TFloorR","TFloorF","TCeilF","TWallUR","TD79LBB","TD79CBB","TD79RBB","TD70LA","TD70LBB","TD70CA","TD70CBB","TD30LA","TD30LBB","TD60CBB","TD50CA","TD50CBB","TD40CBB","TD30CA","TD30CBB","TD20LBB","TD20CBB","TD20RBB","TD5CBB","VD79L","VD79C","VD79R","VD60C","VD40C","VD20L","VD20C","VD20R","VD5C"
 0.000E+00, 2.078E-01, 3.869E-04, 0.000E+00, 0.000E+00, 0.000E+00, 5.149E-03, 2.078E-01, 3.869E-04, 0.000E+00, 0.000E+00, 0.000E+00, 5.149E-03,-5.920E-06,-1.028E-05, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01,-1.157E-02, 2.441E-03, 6.801E-03, 3.633E-03, 1.012E-02,-3.412E-03,-4.846E-04,-4.333E-03, 6.147E-03
 8.002E+01, 1.966E-01, 8.930E-03, 5.335E-05, 7.961E-06, 1.121E-05, 7.821E-03, 1.945E-01, 1.053E-02, 7.441E-05, 8.325E-06, 1.563E-05, 8.326E-03, 1.484E+00, 1.147E+00, 1.361E+02, 1.526E+02, 6.836E+01, 1.356E+02, 5.474E+01, 1.479E+02, 7.478E+01, 6.538E+01, 1.056E+02, 2.017E+01, 1.411E+02, 1.384E+02, 1.476E+02, 1.368E+02, 1.255E+02, 1.219E+02, 1.124E+02, 4.625E+01, 4.851E+01, 9.889E+01, 9.229E+01, 8.808E+01, 6.329E+01, 3.267E+01, 3.600E+01, 3.091E+01, 2.747E+01, 2.629E+01, 2.233E+01,-1.389E+00,-1.320E+00,-1.450E+00,-3.673E-01, 5.238E-03, 3.234E-01, 3.117E-01, 3.896E-01, 4.640E-01
 1.601E+02, 1.939E-01, 1.106E-02, 5.922E-05, 1.716E-05, 1.245E-05, 8.485E-03, 1.930E-01, 1.174E-02, 6.505E-05, 1.718E-05, 1.367E-05, 8.699E-03, 7.205E-01, 5.511E-01, 1.611E+02, 1.661E+02, 4.775E+01, 1.578E+02, 5.386E+01, 1.580E+02, 7.440E+01, 6.065E+01, 1.111E+02, 2.469E+01, 1.602E+02, 1.639E+02, 1.609E+02, 1.382E+02, 1.395E+02, 1.401E+02, 1.401E+02, 2.009E+01, 2.172E+01, 1.057E+02, 6.529E+01, 6.925E+01, 2.627E+01, 2.022E+01, 2.197E+01, 2.143E+01, 2.165E+01, 2.143E+01, 2.127E+01,-1.320E+00,-1.214E+00,-1.328E+00,-5.387E-01, 2.978E-01, 6.065E-01, 4.990E-01, 5.800E-01, 6.950E-01
 2.401E+02, 2.004E-01, 6.064E-03, 1.321E-05, 1.959E-05, 2.779E-06, 6.917E-03, 1.991E-01, 7.070E-03, 1.735E-05, 2.040E-05, 3.650E-06, 7.231E-03, 5.590E-01, 4.024E-01, 1.091E+02, 1.234E+02, 3.899E+01, 1.099E+02, 4.580E+01, 1.070E+02, 6.003E+01, 4.965E+01, 8.675E+01, 3.118E+01, 1.157E+02, 1.138E+02, 1.141E+02, 1.135E+02, 1.089E+02, 1.001E+02, 9.674E+01, 2.466E+01, 2.491E+01, 8.695E+01, 6.955E+01, 6.675E+01, 4.051E+01, 2.013E+01, 2.144E+01, 2.111E+01, 2.126E+01, 2.113E+01, 2.089E+01,-1.339E+00,-1.185E+00,-1.341E+00,-4.849E-01, 1.627E-01, 5.500E-01, 4.616E-01, 5.339E-01, 6.231E-01
 3.200E+02, 1.880E-01, 1.553E-02, 1.174E-04, 2.070E-05, 2.466E-05, 9.894E-03, 1.842E-01, 1.845E-02, 1.228E-04, 1.863E-05, 2.577E-05, 1.080E-02, 3.644E+00, 1.736E+00, 2.280E+02, 2.586E+02, 8.278E+01, 2.280E+02, 1.021E+02, 2.175E+02, 1.473E+02, 9.318E+01, 1.702E+02, 3.412E+01, 2.374E+02, 2.300E+02, 2.256E+02, 2.429E+02, 2.307E+02, 2.082E+02, 1.979E+02, 2.986E+01, 3.514E+01, 1.736E+02, 1.492E+02, 1.443E+02, 1.058E+02, 2.352E+01, 2.962E+01, 2.503E+01, 2.581E+01, 2.516E+01, 2.343E+01,-2.361E+00,-2.107E+00,-2.311E+00,-7.058E-01, 4.789E-02, 7.489E-01, 6.463E-01, 7.383E-01, 9.171E-01
 4.000E+02, 1.528E-01, 4.237E-02, 2.929E-04, 2.004E-05, 6.116E-05, 1.820E-02, 1.457E-01, 4.781E-02, 3.195E-04, 1.903E-05, 6.660E-05, 1.987E-02, 2.123E+01, 1.188E+01, 4.833E+02, 5.399E+02, 1.379E+02, 4.676E+02, 1.716E+02, 4.817E+02, 4.021E+02, 2.855E+02, 3.983E+02, 3.977E+01, 4.865E+02, 4.713E+02, 4.760E+02, 5.077E+02, 4.684E+02, 4.474E+02, 4.194E+02, 3.969E+01, 6.738E+01, 3.561E+02, 2.969E+02, 2.940E+02, 1.946E+02, 2.386E+01, 5.634E+01, 4.605E+01, 4.962E+01, 4.593E+01, 4.209E+01,-3.751E+00,-3.351E+00,-3.654E+00,-1.125E+00,-1.254E-01, 8.256E-01, 7.077E-01, 8.274E-01, 1.034E+00
 4.800E+02, 7.629E-02, 1.003E-01, 1.191E-03, 4.228E-05, 2.481E-04, 3.613E-02, 6.186E-02, 1.092E-01, 3.639E-03, 1.745E-04, 7.641E-04, 3.992E-02, 9.414E+01, 6.396E+01, 9.392E+02, 9.717E+02, 3.443E+02, 8.735E+02, 3.840E+02, 9.206E+02, 7.995E+02, 6.772E+02, 8.063E+02, 5.717E+01, 8.495E+02, 8.372E+02, 8.333E+02, 9.200E+02, 8.278E+02, 8.665E+02, 7.880E+02, 6.636E+01, 2.176E+02, 6.885E+02, 5.725E+02, 5.871E+02, 4.166E+02, 3.216E+01, 1.989E+02, 1.599E+02, 1.730E+02, 1.589E+02, 1.481E+02,-5.310E+00,-4.836E+00,-5.272E+00,-1.943E+00,-3.704E-01, 8.477E-01, 7.613E-01, 8.662E-01, 1.095E+00
 5.600E+02, 5.683E-02, 9.652E-02, 2.180E-02, 2.920E-03, 4.574E-03, 4.440E-02, 1.900E-02, 1.265E-01, 2.095E-02, 1.967E-03, 4.386E-03, 5.305E-02, 2.276E+02, 1.402E+02, 1.172E+03, 1.144E+03, 9.024E+02, 1.151E+03, 4.683E+02, 1.142E+03, 1.102E+03, 9.299E+02, 1.050E+03, 9.786E+01, 1.039E+03, 1.026E+03, 1.027E+03, 1.136E+03, 1.032E+03, 1.102E+03, 1.007E+03, 1.243E+02, 4.435E+02, 9.322E+02, 7.715E+02, 8.065E+02, 6.383E+02, 3.742E+01, 4.000E+02, 3.358E+02, 3.576E+02, 3.362E+02, 3.127E+02,-6.137E+00,-5.576E+00,-6.095E+00,-2.458E+00,-6.626E-01, 8.892E-01, 7.964E-01, 8.615E-01, 1.112E+00
 6.400E+02, 9.651E-03, 1.136E-01, 4.262E-02, 7.343E-03, 8.912E-03, 5.880E-02, 4.824E-03, 1.276E-01, 3.164E-02, 3.648E-03, 6.616E-03, 5.824E-02, 3.249E+02, 1.818E+02, 1.299E+03, 1.174E+03, 1.213E+03, 1.301E+03, 5.936E+02, 1.222E+03, 1.254E+03, 1.025E+03, 1.126E+03, 1.597E+02, 1.083E+03, 1.088E+03, 1.093E+03, 1.182E+03, 1.090E+03, 1.162E+03, 1.065E+03, 1.722E+02, 5.440E+02, 9.968E+02, 8.511E+02, 8.919E+02, 7.422E+02, 4.332E+01, 4.934E+02, 4.230E+02, 4.446E+02, 4.214E+02, 3.947E+02,-6.393E+00,-5.744E+00,-6.309E+00,-2.343E+00,-5.556E-01, 9.125E-01, 8.393E-01, 9.089E-01, 1.169E+00
