s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"O2Rear","CO2Rear","CORear","THCRear","SootRear","H2ORear","O2Front","CO2Front","COFront","THCFront","SootFront","H2OFront","HFR","HFF","TRSampA","TFSampA","TR24A","TR80A","TF24A","TF80A","TFloorR","TFloorF","TCeilF","TWallUR","TD79LBB","TD79CBB","TD79RBB","TD70LA","TD70LBB","TD70CA","TD70CBB","TD30LA","TD30LBB","TD60CBB","TD50CA","TD50CBB","TD40CBB","TD30CA","TD30CBB","TD20LBB","TD20CBB","TD20RBB","TD5CBB","VD79L","VD79C","VD79R","VD60C","VD40C","VD20L","VD20C","VD20R","VD5C"
 0.000E+00, 2.073E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.073E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.294E-06,-9.094E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.050E+01, 2.073E-01, 5.255E-06, 1.004E-26, 3.924E-13, 5.196E-07, 2.031E-06, 2.073E-01, 5.025E-07, 1.948E-27, 4.144E-14, 4.968E-08, 1.942E-07, 2.193E-03, 1.898E-03, 2.013E+01, 2.001E+01, 2.000E+01, 2.001E+01, 2.000E+01, 2.003E+01, 2.011E+01, 2.009E+01, 2.033E+01, 2.000E+01, 2.003E+01, 2.002E+01, 2.003E+01, 2.000E+01, 2.002E+01, 2.000E+01, 2.002E+01, 2.000E+01, 2.001E+01, 2.002E+01, 2.000E+01, 2.002E+01, 2.002E+01, 2.000E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01,-1.186E-02,-7.893E-03,-1.126E-02,-4.761E-04,-6.514E-04, 5.964E-04, 1.133E-03, 1.771E-03, 2.521E-03
 1.605E+02, 2.072E-01, 8.402E-05, 2.160E-25, 5.439E-12, 8.307E-06, 3.247E-05, 2.071E-01, 1.109E-04, 2.576E-25, 7.299E-12, 1.097E-05, 4.288E-05, 6.122E-03, 5.594E-03, 2.160E+01, 2.216E+01, 2.003E+01, 2.153E+01, 2.003E+01, 2.120E+01, 2.039E+01, 2.036E+01, 2.087E+01, 2.002E+01, 2.120E+01, 2.106E+01, 2.110E+01, 2.131E+01, 2.106E+01, 2.102E+01, 2.083E+01, 2.005E+01, 2.007E+01, 2.027E+01, 2.022E+01, 2.015E+01, 2.005E+01, 2.000E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.002E+01,-8.359E-02,-9.251E-02,-8.026E-02,-3.216E-03, 7.335E-03, 2.867E-02, 1.966E-02, 2.523E-02, 2.181E-02
 2.401E+02, 2.070E-01, 2.173E-04, 2.385E-24, 1.127E-11, 2.148E-05, 8.397E-05, 2.069E-01, 2.382E-04, 2.032E-24, 1.180E-11, 2.355E-05, 9.207E-05, 1.325E-02, 1.062E-02, 2.373E+01, 2.412E+01, 2.033E+01, 2.377E+01, 2.050E+01, 2.381E+01, 2.088E+01, 2.073E+01, 2.164E+01, 2.007E+01, 2.333E+01, 2.289E+01, 2.316E+01, 2.323E+01, 2.298E+01, 2.299E+01, 2.270E+01, 2.021E+01, 2.022E+01, 2.274E+01, 2.258E+01, 2.239E+01, 2.114E+01, 2.004E+01, 2.008E+01, 2.005E+01, 2.004E+01, 2.005E+01, 2.003E+01,-1.826E-01,-1.708E-01,-1.753E-01,-5.582E-02, 1.161E-02, 9.009E-02, 9.226E-02, 1.012E-01, 7.640E-02
 3.202E+02, 2.064E-01, 6.383E-04, 2.185E-24, 2.044E-11, 6.311E-05, 2.467E-04, 2.062E-01, 7.321E-04, 2.111E-24, 2.051E-11, 7.238E-05, 2.830E-04, 7.562E-02, 3.756E-02, 3.013E+01, 3.154E+01, 2.078E+01, 3.044E+01, 2.088E+01, 3.069E+01, 2.397E+01, 2.225E+01, 2.443E+01, 2.017E+01, 2.900E+01, 2.773E+01, 2.984E+01, 2.964E+01, 2.866E+01, 2.827E+01, 2.752E+01, 2.070E+01, 2.079E+01, 2.816E+01, 2.713E+01, 2.643E+01, 2.164E+01, 2.002E+01, 2.015E+01, 2.021E+01, 2.014E+01, 2.013E+01, 2.010E+01,-3.591E-01,-3.220E-01,-4.303E-01,-6.155E-02, 6.766E-02, 1.784E-01, 1.793E-01, 1.900E-01, 1.444E-01
 4.002E+02, 2.049E-01, 1.695E-03, 2.493E-24, 1.591E-09, 1.676E-04, 6.552E-04, 2.050E-01, 1.577E-03, 6.558E-25, 2.484E-11, 1.559E-04, 6.093E-04, 2.622E-01, 8.061E-02, 4.545E+01, 4.342E+01, 2.723E+01, 4.423E+01, 2.369E+01, 4.248E+01, 3.406E+01, 2.501E+01, 3.049E+01, 2.046E+01, 4.137E+01, 4.005E+01, 4.177E+01, 4.188E+01, 4.093E+01, 3.997E+01, 3.872E+01, 2.033E+01, 2.061E+01, 3.626E+01, 3.580E+01, 3.475E+01, 2.568E+01, 2.006E+01, 2.036E+01, 2.029E+01, 2.028E+01, 2.028E+01, 2.022E+01,-7.155E-01,-6.065E-01,-7.402E-01,-9.304E-02, 1.149E-01, 3.185E-01, 3.229E-01, 3.256E-01, 2.225E-01
 4.800E+02, 2.028E-01, 3.119E-03, 2.212E-12, 3.475E-09, 3.084E-04, 1.206E-03, 2.030E-01, 3.021E-03, 3.596E-15, 2.516E-11, 2.987E-04, 1.168E-03, 6.338E-01, 1.859E-01, 6.293E+01, 6.098E+01, 2.913E+01, 5.657E+01, 3.084E+01, 5.685E+01, 5.435E+01, 3.078E+01, 4.139E+01, 2.121E+01, 5.671E+01, 5.516E+01, 5.643E+01, 5.759E+01, 5.578E+01, 5.453E+01, 5.290E+01, 2.060E+01, 2.123E+01, 4.902E+01, 4.702E+01, 4.545E+01, 3.331E+01, 2.027E+01, 2.095E+01, 2.063E+01, 2.064E+01, 2.062E+01, 2.047E+01,-9.833E-01,-8.382E-01,-9.270E-01,-1.693E-01, 1.574E-02, 4.440E-01, 4.501E-01, 4.481E-01, 3.676E-01
 5.602E+02, 2.010E-01, 4.385E-03, 4.338E-10, 5.407E-10, 4.335E-04, 1.695E-03, 2.006E-01, 4.677E-03, 4.712E-11, 2.582E-11, 4.618E-04, 1.805E-03, 9.046E-01, 3.552E-01, 7.412E+01, 7.599E+01, 3.200E+01, 7.116E+01, 3.578E+01, 7.460E+01, 7.063E+01, 4.067E+01, 5.627E+01, 2.264E+01, 7.152E+01, 7.052E+01, 7.349E+01, 7.215E+01, 7.079E+01, 6.969E+01, 6.823E+01, 2.021E+01, 2.143E+01, 6.316E+01, 6.117E+01, 6.012E+01, 3.414E+01, 2.005E+01, 2.137E+01, 2.119E+01, 2.126E+01, 2.120E+01, 2.088E+01,-1.046E+00,-9.895E-01,-1.126E+00,-2.780E-01, 1.154E-01, 5.051E-01, 4.755E-01, 4.900E-01, 4.271E-01
 6.400E+02, 1.986E-01, 6.048E-03, 7.018E-09, 2.982E-09, 5.983E-04, 2.339E-03, 1.987E-01, 6.056E-03, 6.251E-11, 2.613E-11, 5.984E-04, 2.339E-03, 1.265E+00, 4.864E-01, 9.151E+01, 9.139E+01, 3.417E+01, 8.578E+01, 4.173E+01, 8.424E+01, 8.775E+01, 4.926E+01, 6.957E+01, 2.462E+01, 8.693E+01, 8.239E+01, 8.381E+01, 8.839E+01, 8.658E+01, 8.147E+01, 7.994E+01, 2.017E+01, 2.186E+01, 7.584E+01, 7.144E+01, 7.053E+01, 3.636E+01, 2.005E+01, 2.183E+01, 2.160E+01, 2.169E+01, 2.164E+01, 2.125E+01,-1.264E+00,-1.082E+00,-1.220E+00,-2.955E-01, 1.867E-01, 5.619E-01, 5.185E-01, 5.461E-01, 4.570E-01
