s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.320E+03, 2.254E+02,-9.403E+01,-1.520E+02, 2.105E+01, 4.027E-03, 0.000E+00, 0.000E+00, 0.000E+00, 4.730E-01, 4.235E-01, 5.016E-03, 5.016E-03
 2.400E+03, 2.104E+02,-9.006E+01,-1.413E+02, 2.083E+01, 3.992E-03, 0.000E+00, 0.000E+00, 0.000E+00, 1.369E-01,-8.982E-02, 5.012E-03, 5.012E-03
 2.480E+03, 2.210E+02,-9.461E+01,-1.470E+02, 2.068E+01, 5.118E-03, 0.000E+00, 0.000E+00, 0.000E+00, 2.050E-01, 4.495E-02, 5.008E-03, 5.008E-03
 2.560E+03, 2.174E+02,-9.147E+01,-1.481E+02, 2.108E+01, 4.071E-03, 0.000E+00, 0.000E+00, 0.000E+00,-9.941E-01,-1.123E+00, 5.003E-03, 5.003E-03
 2.640E+03, 2.141E+02,-8.927E+01,-1.452E+02, 2.078E+01, 4.472E-03, 0.000E+00, 0.000E+00, 0.000E+00, 4.902E-01, 3.516E-01, 4.999E-03, 4.999E-03
 2.720E+03, 2.216E+02,-9.356E+01,-1.477E+02, 2.054E+01, 4.753E-03, 0.000E+00, 0.000E+00, 0.000E+00, 9.678E-01, 8.783E-01, 4.995E-03, 4.995E-03
 2.800E+03, 2.145E+02,-8.808E+01,-1.486E+02, 2.071E+01, 4.178E-03, 0.000E+00, 0.000E+00, 0.000E+00,-1.429E+00,-1.437E+00, 4.991E-03, 4.991E-03
 2.880E+03, 2.164E+02,-8.950E+01,-1.485E+02, 2.095E+01, 3.459E-03, 0.000E+00, 0.000E+00, 0.000E+00,-4.157E-01,-6.254E-01, 4.986E-03, 4.986E-03
 2.960E+03, 2.160E+02,-9.293E+01,-1.435E+02, 2.101E+01, 3.702E-03, 0.000E+00, 0.000E+00, 0.000E+00, 7.441E-01, 5.731E-01, 4.982E-03, 4.982E-03
 3.040E+03, 1.825E+02,-7.877E+01,-1.276E+02, 2.082E+01, 5.280E-03, 0.000E+00, 0.000E+00, 0.000E+00,-2.707E+00,-3.081E+00, 3.767E-03, 3.767E-03
 3.120E+03, 7.943E+01,-3.521E+01,-7.083E+01, 1.820E+01, 1.580E-02, 0.000E+00, 0.000E+00, 0.000E+00,-7.894E+00,-8.401E+00, 1.387E-03, 1.387E-03
 3.200E+03, 3.477E+01,-1.151E+01,-4.124E+01, 1.353E+01, 2.569E-02, 0.000E+00, 0.000E+00, 0.000E+00,-4.162E+00,-4.414E+00, 7.764E-04, 7.764E-04
 3.280E+03, 2.818E+01,-9.182E+00,-3.265E+01, 1.073E+01, 2.324E-02, 0.000E+00, 0.000E+00, 0.000E+00,-2.682E+00,-2.893E+00, 6.352E-04, 6.352E-04
 3.360E+03, 2.178E+01,-7.175E+00,-2.619E+01, 8.853E+00, 2.021E-02, 0.000E+00, 0.000E+00, 0.000E+00,-2.586E+00,-2.712E+00, 4.940E-04, 4.940E-04
 3.440E+03, 1.561E+01,-5.281E+00,-2.059E+01, 7.308E+00, 1.598E-02, 0.000E+00, 0.000E+00, 0.000E+00,-2.831E+00,-2.937E+00, 3.528E-04, 3.528E-04
 3.520E+03, 9.425E+00,-3.069E+00,-1.548E+01, 5.989E+00, 1.068E-02, 0.000E+00, 0.000E+00, 0.000E+00,-3.030E+00,-3.125E+00, 2.117E-04, 2.117E-04
 3.600E+03, 3.163E+00,-5.974E-01,-1.051E+01, 4.812E+00, 3.890E-03, 0.000E+00, 0.000E+00, 0.000E+00,-3.061E+00,-3.129E+00, 7.050E-05, 7.050E-05
 3.680E+03, 3.167E-04, 5.384E-02,-6.309E+00, 3.976E+00, 2.744E-19, 0.000E+00, 0.000E+00, 0.000E+00,-2.265E+00,-2.279E+00, 0.000E+00, 0.000E+00
 3.760E+03, 0.000E+00,-8.629E-03,-4.453E+00, 3.128E+00, 1.573E-19, 0.000E+00, 0.000E+00, 0.000E+00,-1.330E+00,-1.334E+00, 0.000E+00, 0.000E+00
