s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"O2Rear","CO2Rear","CORear","THCRear","SootRear","H2ORear","O2Front","CO2Front","COFront","THCFront","SootFront","H2OFront","HFR","HFF","TRSampA","TFSampA","TR24A","TR80A","TF24A","TF80A","TFloorR","TFloorF","TCeilF","TWallUR","TD79LBB","TD79CBB","TD79RBB","TD70LA","TD70LBB","TD70CA","TD70CBB","TD30LA","TD30LBB","TD60CBB","TD50CA","TD50CBB","TD40CBB","TD30CA","TD30CBB","TD20LBB","TD20CBB","TD20RBB","TD5CBB","VD79L","VD79C","VD79R","VD60C","VD40C","VD20L","VD20C","VD20R","VD5C"
 0.000E+00, 2.078E-01, 3.869E-04, 0.000E+00, 0.000E+00, 0.000E+00, 5.149E-03, 2.078E-01, 3.869E-04, 0.000E+00, 0.000E+00, 0.000E+00, 5.149E-03,-5.866E-06,-1.030E-05, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01,-1.157E-02, 2.441E-03, 6.801E-03, 3.633E-03, 1.012E-02,-3.412E-03,-4.846E-04,-4.333E-03, 6.147E-03
 8.002E+01, 1.960E-01, 7.401E-03, 1.705E-07, 5.825E-09, 3.604E-08, 1.016E-02, 1.962E-01, 7.233E-03, 4.334E-09, 2.948E-10, 9.145E-10, 1.004E-02, 1.561E+00, 1.140E+00, 1.190E+02, 1.230E+02, 3.073E+01, 1.172E+02, 2.838E+01, 1.097E+02, 6.596E+01, 5.442E+01, 8.697E+01, 2.007E+01, 1.101E+02, 1.037E+02, 1.115E+02, 1.157E+02, 1.030E+02, 9.437E+01, 8.411E+01, 2.367E+01, 2.632E+01, 7.211E+01, 6.976E+01, 6.325E+01, 4.687E+01, 2.478E+01, 2.800E+01, 2.417E+01, 2.298E+01, 2.242E+01, 2.195E+01,-1.074E+00,-9.016E-01,-1.076E+00,-3.138E-01,-5.601E-02, 1.993E-01, 1.679E-01, 2.008E-01, 2.081E-01
 1.600E+02, 1.621E-01, 2.746E-02, 2.610E-06, 7.598E-08, 5.516E-07, 2.450E-02, 1.637E-01, 2.646E-02, 5.317E-06, 5.109E-08, 1.128E-06, 2.379E-02, 5.856E+00, 4.281E+00, 3.745E+02, 3.923E+02, 5.734E+01, 3.645E+02, 6.420E+01, 3.233E+02, 2.118E+02, 1.730E+02, 2.683E+02, 2.401E+01, 3.595E+02, 3.468E+02, 3.440E+02, 3.582E+02, 3.401E+02, 3.042E+02, 2.913E+02, 2.047E+01, 3.224E+01, 2.427E+02, 1.730E+02, 1.767E+02, 7.832E+01, 2.085E+01, 3.405E+01, 2.997E+01, 3.143E+01, 2.973E+01, 2.893E+01,-2.777E+00,-2.376E+00,-2.646E+00,-7.847E-01, 2.505E-01, 7.117E-01, 6.088E-01, 6.917E-01, 7.768E-01
 2.400E+02, 1.553E-01, 3.146E-02, 1.485E-07, 6.777E-09, 3.137E-08, 2.737E-02, 1.559E-01, 3.111E-02, 2.681E-06, 6.295E-08, 5.676E-07, 2.712E-02, 1.039E+01, 7.232E+00, 4.294E+02, 4.694E+02, 8.246E+01, 4.236E+02, 8.156E+01, 4.083E+02, 3.072E+02, 2.474E+02, 3.526E+02, 3.728E+01, 4.360E+02, 4.187E+02, 4.182E+02, 4.296E+02, 4.080E+02, 3.634E+02, 3.500E+02, 2.076E+01, 3.963E+01, 3.057E+02, 2.047E+02, 2.154E+02, 8.635E+01, 2.122E+01, 4.239E+01, 3.647E+01, 3.867E+01, 3.613E+01, 3.504E+01,-3.022E+00,-2.628E+00,-3.015E+00,-1.000E+00, 1.490E-01, 7.074E-01, 6.261E-01, 7.224E-01, 8.044E-01
 3.200E+02, 1.590E-01, 2.928E-02, 4.398E-06, 2.136E-07, 9.297E-07, 2.581E-02, 1.616E-01, 2.775E-02, 1.352E-07, 8.272E-09, 2.855E-08, 2.471E-02, 1.062E+01, 7.410E+00, 4.388E+02, 4.517E+02, 8.499E+01, 4.337E+02, 8.322E+01, 3.997E+02, 3.205E+02, 2.606E+02, 3.556E+02, 5.177E+01, 4.211E+02, 4.061E+02, 4.040E+02, 4.235E+02, 4.023E+02, 3.719E+02, 3.580E+02, 2.084E+01, 4.060E+01, 3.146E+02, 2.346E+02, 2.367E+02, 1.039E+02, 2.131E+01, 4.336E+01, 3.721E+01, 3.962E+01, 3.692E+01, 3.587E+01,-3.121E+00,-2.764E+00,-3.036E+00,-1.034E+00, 3.742E-02, 7.490E-01, 6.343E-01, 7.485E-01, 8.043E-01
 4.000E+02, 1.567E-01, 3.060E-02, 4.929E-08, 3.066E-09, 1.041E-08, 2.675E-02, 1.606E-01, 2.831E-02, 4.790E-07, 2.831E-08, 1.012E-07, 2.511E-02, 1.268E+01, 9.092E+00, 4.492E+02, 4.613E+02, 9.067E+01, 4.499E+02, 9.421E+01, 4.667E+02, 3.500E+02, 2.880E+02, 3.755E+02, 6.243E+01, 4.300E+02, 4.377E+02, 4.550E+02, 4.229E+02, 4.032E+02, 4.036E+02, 3.847E+02, 2.213E+01, 4.443E+01, 3.338E+02, 2.484E+02, 2.545E+02, 1.285E+02, 2.151E+01, 4.729E+01, 4.032E+01, 4.311E+01, 4.032E+01, 3.882E+01,-3.197E+00,-2.936E+00,-3.366E+00,-1.069E+00, 1.663E-02, 7.590E-01, 6.416E-01, 7.552E-01, 8.348E-01
 4.800E+02, 1.529E-01, 3.289E-02, 4.026E-09, 2.779E-10, 8.504E-10, 2.839E-02, 1.582E-01, 2.973E-02, 1.082E-07, 6.773E-09, 2.285E-08, 2.613E-02, 1.471E+01, 1.065E+01, 4.818E+02, 4.839E+02, 1.217E+02, 4.755E+02, 1.075E+02, 4.845E+02, 3.811E+02, 3.202E+02, 4.044E+02, 6.991E+01, 4.607E+02, 4.704E+02, 4.916E+02, 4.611E+02, 4.395E+02, 4.409E+02, 4.227E+02, 2.120E+01, 4.961E+01, 3.653E+02, 2.642E+02, 2.757E+02, 1.236E+02, 2.176E+01, 5.320E+01, 4.481E+01, 4.815E+01, 4.538E+01, 4.309E+01,-3.452E+00,-3.148E+00,-3.420E+00,-1.167E+00, 1.042E-01, 8.299E-01, 7.026E-01, 8.202E-01, 8.909E-01
 5.600E+02, 1.543E-01, 3.206E-02, 6.806E-07, 2.386E-08, 1.438E-07, 2.780E-02, 1.554E-01, 3.138E-02, 4.845E-06, 1.395E-07, 1.025E-06, 2.731E-02, 1.482E+01, 1.096E+01, 4.891E+02, 5.160E+02, 1.139E+02, 4.722E+02, 1.039E+02, 4.645E+02, 3.836E+02, 3.247E+02, 4.194E+02, 7.563E+01, 4.789E+02, 4.648E+02, 4.636E+02, 4.831E+02, 4.575E+02, 4.340E+02, 4.149E+02, 2.103E+01, 4.928E+01, 3.590E+02, 2.673E+02, 2.745E+02, 1.453E+02, 2.186E+01, 5.327E+01, 4.535E+01, 4.876E+01, 4.505E+01, 4.331E+01,-3.417E+00,-3.102E+00,-3.436E+00,-1.135E+00,-9.426E-03, 7.721E-01, 6.564E-01, 7.943E-01, 8.634E-01
 6.400E+02, 1.464E-01, 3.671E-02, 2.082E-07, 9.921E-09, 4.404E-08, 3.113E-02, 1.551E-01, 3.159E-02, 2.661E-07, 1.382E-08, 5.623E-08, 2.746E-02, 1.747E+01, 1.234E+01, 5.184E+02, 5.067E+02, 1.298E+02, 5.172E+02, 1.231E+02, 4.877E+02, 4.162E+02, 3.472E+02, 4.343E+02, 8.020E+01, 4.780E+02, 4.846E+02, 5.028E+02, 4.663E+02, 4.450E+02, 4.421E+02, 4.250E+02, 2.145E+01, 5.392E+01, 3.699E+02, 2.730E+02, 2.817E+02, 1.462E+02, 2.205E+01, 5.802E+01, 4.874E+01, 5.245E+01, 4.893E+01, 4.645E+01,-3.438E+00,-3.039E+00,-3.398E+00,-1.231E+00,-1.858E-01, 7.969E-01, 6.727E-01, 7.814E-01, 8.688E-01
