s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"O2Rear","CO2Rear","CORear","THCRear","H2ORear","O2Front","CO2Front","COFront","THCFront","H2OFront","HFR","HFF","TRSampA","TFSampA","TR24A","TR80A","TF24A","TF80A","TFloorR","TFloorF","TCeilF","TWallUR","TD79LBB","TD79CBB","TD79RBB","TD70LA","TD70LBB","TD70CA","TD70CBB","TD30LA","TD30LBB","TD60CBB","TD50CA","TD50CBB","TD40CBB","TD30CA","TD30CBB","TD20LBB","TD20CBB","TD20RBB","TD5CBB","VD79L","VD79C","VD79R","VD60C","VD40C","VD20L","VD20C","VD20R","VD5C"
 0.000E+00, 2.078E-01, 3.869E-04, 0.000E+00, 0.000E+00, 5.149E-03, 2.078E-01, 3.869E-04, 0.000E+00, 0.000E+00, 5.149E-03,-5.389E-06,-9.353E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01,-1.157E-02, 2.441E-03, 6.801E-03, 3.633E-03, 1.012E-02,-3.412E-03,-4.846E-04,-4.333E-03, 6.147E-03
 8.003E+01, 2.041E-01, 2.566E-03, 9.670E-06, 2.026E-05, 7.203E-03, 2.026E-01, 3.442E-03, 1.845E-05, 2.284E-05, 8.037E-03, 4.086E-01, 2.468E-01, 5.686E+01, 7.054E+01, 2.468E+01, 6.917E+01, 2.211E+01, 5.584E+01, 3.454E+01, 2.920E+01, 4.568E+01, 2.003E+01, 6.127E+01, 5.503E+01, 5.754E+01, 6.794E+01, 5.984E+01, 5.249E+01, 4.698E+01, 2.221E+01, 2.274E+01, 4.564E+01, 4.590E+01, 4.244E+01, 3.671E+01, 2.160E+01, 2.240E+01, 2.062E+01, 2.074E+01, 2.087E+01, 2.048E+01,-6.921E-01,-5.158E-01,-6.422E-01,-1.412E-01,-2.310E-02, 1.574E-01, 1.326E-01, 1.543E-01, 1.617E-01
 1.600E+02, 1.819E-01, 1.543E-02, 1.201E-04, 6.614E-05, 1.944E-02, 1.749E-01, 1.951E-02, 1.512E-04, 6.917E-05, 2.333E-02, 3.647E+00, 2.462E+00, 2.379E+02, 2.991E+02, 4.008E+01, 2.400E+02, 5.282E+01, 2.453E+02, 1.432E+02, 1.093E+02, 1.856E+02, 2.200E+01, 2.666E+02, 2.514E+02, 2.532E+02, 2.574E+02, 2.441E+02, 2.170E+02, 2.054E+02, 2.118E+01, 2.718E+01, 1.748E+02, 1.539E+02, 1.493E+02, 7.933E+01, 2.159E+01, 2.844E+01, 2.507E+01, 2.594E+01, 2.505E+01, 2.452E+01,-2.280E+00,-1.915E+00,-2.262E+00,-6.821E-01, 1.218E-01, 6.372E-01, 5.451E-01, 6.328E-01, 7.045E-01
 2.400E+02, 1.611E-01, 2.752E-02, 2.036E-04, 7.455E-05, 3.097E-02, 1.609E-01, 2.761E-02, 2.152E-04, 7.959E-05, 3.108E-02, 8.019E+00, 5.419E+00, 3.738E+02, 4.108E+02, 6.623E+01, 3.881E+02, 7.368E+01, 3.807E+02, 2.606E+02, 2.046E+02, 2.969E+02, 3.171E+01, 3.819E+02, 3.719E+02, 3.866E+02, 3.708E+02, 3.534E+02, 3.181E+02, 3.060E+02, 2.098E+01, 3.404E+01, 2.623E+02, 1.909E+02, 1.981E+02, 8.306E+01, 2.090E+01, 3.593E+01, 3.146E+01, 3.334E+01, 3.143E+01, 3.050E+01,-2.745E+00,-2.421E+00,-2.772E+00,-8.783E-01, 1.311E-01, 6.982E-01, 6.012E-01, 7.076E-01, 7.927E-01
 3.200E+02, 1.576E-01, 2.954E-02, 2.137E-04, 7.743E-05, 3.289E-02, 1.593E-01, 2.851E-02, 2.352E-04, 8.284E-05, 3.195E-02, 9.141E+00, 6.585E+00, 4.138E+02, 4.398E+02, 7.221E+01, 4.081E+02, 8.158E+01, 3.817E+02, 2.932E+02, 2.396E+02, 3.358E+02, 4.674E+01, 4.091E+02, 3.905E+02, 3.945E+02, 3.868E+02, 3.710E+02, 3.349E+02, 3.255E+02, 2.079E+01, 3.692E+01, 2.816E+02, 2.029E+02, 2.088E+02, 1.044E+02, 2.112E+01, 3.932E+01, 3.424E+01, 3.645E+01, 3.399E+01, 3.315E+01,-2.901E+00,-2.534E+00,-2.958E+00,-9.136E-01, 5.420E-04, 7.311E-01, 6.254E-01, 7.513E-01, 8.452E-01
 4.000E+02, 1.552E-01, 3.096E-02, 2.216E-04, 7.726E-05, 3.425E-02, 1.627E-01, 2.657E-02, 2.238E-04, 8.307E-05, 3.010E-02, 1.223E+01, 7.834E+00, 4.315E+02, 4.287E+02, 7.892E+01, 4.594E+02, 9.417E+01, 4.425E+02, 3.411E+02, 2.672E+02, 3.528E+02, 6.039E+01, 4.068E+02, 4.137E+02, 4.317E+02, 3.999E+02, 3.822E+02, 3.715E+02, 3.578E+02, 2.102E+01, 4.023E+01, 3.012E+02, 2.268E+02, 2.300E+02, 9.974E+01, 2.117E+01, 4.295E+01, 3.700E+01, 3.971E+01, 3.698E+01, 3.583E+01,-3.023E+00,-2.654E+00,-3.051E+00,-1.018E+00, 4.172E-02, 7.378E-01, 6.291E-01, 7.638E-01, 8.121E-01
 4.800E+02, 1.506E-01, 3.362E-02, 2.585E-04, 8.731E-05, 3.682E-02, 1.613E-01, 2.737E-02, 2.337E-04, 8.461E-05, 3.087E-02, 1.375E+01, 9.312E+00, 4.654E+02, 4.437E+02, 9.053E+01, 4.830E+02, 1.053E+02, 4.609E+02, 3.656E+02, 2.956E+02, 3.755E+02, 7.093E+01, 4.197E+02, 4.238E+02, 4.435E+02, 4.174E+02, 3.995E+02, 3.950E+02, 3.798E+02, 2.080E+01, 4.368E+01, 3.357E+02, 2.463E+02, 2.547E+02, 1.148E+02, 2.145E+01, 4.721E+01, 4.039E+01, 4.319E+01, 4.022E+01, 3.888E+01,-3.072E+00,-2.809E+00,-3.217E+00,-1.146E+00,-3.852E-02, 7.745E-01, 6.576E-01, 7.788E-01, 8.802E-01
 5.600E+02, 1.461E-01, 3.627E-02, 2.591E-04, 8.100E-05, 3.933E-02, 1.458E-01, 3.638E-02, 2.704E-04, 8.551E-05, 3.947E-02, 1.761E+01, 1.229E+01, 5.015E+02, 5.556E+02, 1.091E+02, 4.963E+02, 1.103E+02, 4.691E+02, 4.099E+02, 3.384E+02, 4.333E+02, 7.953E+01, 4.983E+02, 4.779E+02, 4.758E+02, 5.105E+02, 4.790E+02, 4.141E+02, 3.982E+02, 2.209E+01, 5.174E+01, 3.376E+02, 2.677E+02, 2.743E+02, 1.525E+02, 2.176E+01, 5.450E+01, 4.610E+01, 4.957E+01, 4.623E+01, 4.426E+01,-3.490E+00,-2.978E+00,-3.322E+00,-1.069E+00,-1.713E-01, 8.157E-01, 6.597E-01, 7.554E-01, 8.752E-01
 6.400E+02, 1.498E-01, 3.407E-02, 2.535E-04, 7.813E-05, 3.725E-02, 1.497E-01, 3.413E-02, 2.713E-04, 8.892E-05, 3.734E-02, 1.828E+01, 1.279E+01, 5.086E+02, 5.444E+02, 1.211E+02, 5.109E+02, 1.172E+02, 4.772E+02, 4.230E+02, 3.526E+02, 4.440E+02, 8.738E+01, 5.032E+02, 4.841E+02, 4.872E+02, 4.998E+02, 4.740E+02, 4.151E+02, 4.038E+02, 2.132E+01, 5.375E+01, 3.542E+02, 2.576E+02, 2.732E+02, 1.319E+02, 2.192E+01, 5.688E+01, 4.859E+01, 5.181E+01, 4.805E+01, 4.596E+01,-3.367E+00,-2.941E+00,-3.358E+00,-1.085E+00,-9.401E-03, 7.826E-01, 6.775E-01, 7.862E-01, 9.252E-01
