s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"O2Rear","CO2Rear","CORear","THCRear","H2ORear","O2Front","CO2Front","COFront","THCFront","H2OFront","HFR","HFF","TRSampA","TFSampA","TR24A","TR80A","TF24A","TF80A","TFloorR","TFloorF","TCeilF","TWallUR","TD79LBB","TD79CBB","TD79RBB","TD70LA","TD70LBB","TD70CA","TD70CBB","TD30LA","TD30LBB","TD60CBB","TD50CA","TD50CBB","TD40CBB","TD30CA","TD30CBB","TD20LBB","TD20CBB","TD20RBB","TD5CBB","VD79L","VD79C","VD79R","VD60C","VD40C","VD20L","VD20C","VD20R","VD5C"
 0.000E+00, 2.073E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.073E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.415E-06,-8.329E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.000E+01, 1.907E-01, 7.159E-03, 3.198E-07, 4.053E-07, 9.027E-03, 1.865E-01, 9.056E-03, 9.364E-07, 1.255E-06, 1.142E-02, 3.050E+00, 2.757E+00, 1.734E+02, 2.135E+02, 5.412E+01, 1.805E+02, 4.889E+01, 1.902E+02, 1.124E+02, 1.056E+02, 1.246E+02, 2.013E+01, 2.000E+01, 1.540E+02, 2.000E+01, 2.000E+01, 2.000E+01, 1.697E+02, 1.507E+02, 2.000E+01, 2.000E+01, 1.518E+02, 1.666E+02, 1.468E+02, 1.082E+02, 5.163E+01, 5.584E+01, 2.000E+01, 3.984E+01, 2.000E+01, 2.668E+01, 2.731E-04,-1.592E+00, 2.678E-04,-8.587E-01,-4.527E-01, 1.147E-04,-2.176E-02, 1.157E-04, 6.202E-02
 1.600E+02, 1.324E-01, 3.321E-02, 3.640E-06, 3.800E-06, 4.220E-02, 1.348E-01, 3.245E-02, 8.052E-06, 8.580E-06, 4.118E-02, 1.161E+01, 1.130E+01, 5.614E+02, 6.348E+02, 1.079E+02, 5.646E+02, 1.672E+02, 5.869E+02, 3.099E+02, 3.011E+02, 4.140E+02, 2.571E+01, 2.000E+01, 5.142E+02, 2.000E+01, 2.000E+01, 2.000E+01, 5.431E+02, 5.011E+02, 2.000E+01, 2.000E+01, 4.810E+02, 4.759E+02, 4.439E+02, 2.571E+02, 4.052E+01, 6.181E+01, 2.000E+01, 4.211E+01, 2.000E+01, 3.802E+01, 2.056E-04,-3.419E+00, 2.528E-04,-1.563E+00,-4.139E-01, 1.492E-04, 8.314E-01, 1.473E-04, 9.526E-01
 2.401E+02, 1.165E-01, 4.087E-02, 1.925E-06, 1.786E-06, 5.209E-02, 1.278E-01, 3.566E-02, 1.412E-05, 1.575E-05, 4.530E-02, 1.746E+01, 1.790E+01, 6.062E+02, 6.874E+02, 1.549E+02, 6.149E+02, 2.388E+02, 6.764E+02, 4.004E+02, 4.011E+02, 5.081E+02, 4.359E+01, 2.000E+01, 5.917E+02, 2.000E+01, 2.000E+01, 2.000E+01, 6.151E+02, 5.689E+02, 2.000E+01, 2.000E+01, 5.204E+02, 5.118E+02, 4.877E+02, 3.179E+02, 3.872E+01, 7.768E+01, 2.000E+01, 5.653E+01, 2.000E+01, 5.152E+01, 9.883E-05,-3.728E+00, 6.488E-05,-1.677E+00,-5.126E-01, 6.058E-05, 8.879E-01, 5.718E-05, 1.042E+00
 3.200E+02, 1.140E-01, 4.185E-02, 1.303E-06, 1.376E-06, 5.328E-02, 1.245E-01, 3.723E-02, 2.162E-05, 2.295E-05, 4.732E-02, 2.086E+01, 2.132E+01, 6.219E+02, 7.169E+02, 1.733E+02, 6.421E+02, 2.900E+02, 6.818E+02, 4.408E+02, 4.422E+02, 5.447E+02, 6.216E+01, 2.000E+01, 6.110E+02, 2.000E+01, 2.000E+01, 2.000E+01, 6.322E+02, 5.861E+02, 2.000E+01, 2.000E+01, 5.395E+02, 5.286E+02, 5.050E+02, 3.083E+02, 3.019E+01, 8.096E+01, 2.000E+01, 6.516E+01, 2.000E+01, 5.928E+01, 8.554E-05,-3.927E+00, 1.699E-04,-1.658E+00,-5.246E-01, 6.613E-05, 8.976E-01, 5.917E-05, 1.047E+00
 4.000E+02, 1.070E-01, 4.506E-02, 2.382E-06, 2.337E-06, 5.753E-02, 1.168E-01, 4.049E-02, 4.048E-05, 4.022E-05, 5.161E-02, 2.338E+01, 2.497E+01, 6.516E+02, 7.649E+02, 1.910E+02, 6.427E+02, 2.988E+02, 7.196E+02, 4.674E+02, 4.774E+02, 5.859E+02, 7.626E+01, 2.000E+01, 6.403E+02, 2.000E+01, 2.000E+01, 2.000E+01, 6.609E+02, 6.116E+02, 2.000E+01, 2.000E+01, 5.474E+02, 5.297E+02, 5.079E+02, 3.180E+02, 3.700E+01, 9.509E+01, 2.000E+01, 7.340E+01, 2.000E+01, 6.699E+01, 1.203E-04,-3.863E+00, 1.813E-05,-1.591E+00,-5.705E-01, 6.608E-05, 9.036E-01, 7.560E-05, 1.046E+00
 4.800E+02, 1.070E-01, 4.510E-02, 2.533E-06, 2.442E-06, 5.754E-02, 1.145E-01, 4.168E-02, 3.723E-05, 3.978E-05, 5.319E-02, 2.510E+01, 2.631E+01, 6.713E+02, 7.898E+02, 1.999E+02, 6.434E+02, 3.158E+02, 7.046E+02, 4.844E+02, 4.911E+02, 5.999E+02, 8.669E+01, 2.000E+01, 6.445E+02, 2.000E+01, 2.000E+01, 2.000E+01, 6.611E+02, 6.120E+02, 2.000E+01, 2.000E+01, 5.616E+02, 5.247E+02, 5.074E+02, 3.344E+02, 2.883E+01, 9.106E+01, 2.000E+01, 7.689E+01, 2.000E+01, 7.060E+01, 7.327E-05,-3.878E+00, 1.336E-04,-1.585E+00,-5.958E-01, 3.656E-05, 9.080E-01, 3.866E-05, 1.058E+00
 5.601E+02, 1.108E-01, 4.344E-02, 2.181E-06, 2.018E-06, 5.535E-02, 1.134E-01, 4.213E-02, 6.380E-05, 6.719E-05, 5.383E-02, 2.601E+01, 2.796E+01, 6.763E+02, 8.139E+02, 2.138E+02, 6.406E+02, 3.854E+02, 7.365E+02, 4.934E+02, 5.054E+02, 6.182E+02, 9.414E+01, 2.000E+01, 6.701E+02, 2.000E+01, 2.000E+01, 2.000E+01, 6.893E+02, 6.360E+02, 2.000E+01, 2.000E+01, 5.527E+02, 5.042E+02, 4.934E+02, 3.026E+02, 3.157E+01, 9.950E+01, 2.000E+01, 8.131E+01, 2.000E+01, 7.397E+01, 1.217E-04,-3.949E+00, 8.226E-05,-1.567E+00,-6.132E-01, 7.318E-05, 8.786E-01, 7.190E-05, 1.072E+00
 6.400E+02, 1.126E-01, 4.261E-02, 7.038E-07, 7.791E-07, 5.424E-02, 1.131E-01, 4.234E-02, 3.995E-05, 4.140E-05, 5.405E-02, 2.735E+01, 2.933E+01, 6.523E+02, 8.006E+02, 2.102E+02, 6.736E+02, 3.751E+02, 7.581E+02, 5.050E+02, 5.166E+02, 6.226E+02, 9.959E+01, 2.000E+01, 6.756E+02, 2.000E+01, 2.000E+01, 2.000E+01, 6.891E+02, 6.364E+02, 2.000E+01, 2.000E+01, 5.698E+02, 5.252E+02, 5.155E+02, 3.313E+02, 3.304E+01, 1.035E+02, 2.000E+01, 8.402E+01, 2.000E+01, 7.709E+01, 2.087E-04,-3.947E+00, 7.745E-05,-1.634E+00,-6.787E-01, 5.886E-05, 9.058E-01, 6.777E-05, 1.046E+00
