s,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
Time,"O2Rear","CO2Rear","CORear","THCRear","H2ORear","O2Front","CO2Front","COFront","THCFront","H2OFront","HFR","HFF","TRSampA","TFSampA","TR24A","TR80A","TF24A","TF80A","TFloorR","TFloorF","TCeilF","TWallUR","TD79LBB","TD79CBB","TD79RBB","TD70LA","TD70LBB","TD70CA","TD70CBB","TD30LA","TD30LBB","TD60CBB","TD50CA","TD50CBB","TD40CBB","TD30CA","TD30CBB","TD20LBB","TD20CBB","TD20RBB","TD5CBB","VD79L","VD79C","VD79R","VD60C","VD40C","VD20L","VD20C","VD20R","VD5C"
 0.000E+00, 2.073E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.073E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-5.710E-06,-9.335E-06, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.007E+01, 2.039E-01, 1.791E-03, 7.717E-10, 2.897E-09, 2.241E-03, 2.032E-01, 2.164E-03, 3.778E-10, 1.286E-09, 2.706E-03, 5.525E-01, 3.918E-01, 5.372E+01, 6.088E+01, 2.128E+01, 5.485E+01, 2.017E+01, 5.273E+01, 4.257E+01, 3.725E+01, 3.918E+01, 2.003E+01, 4.944E+01, 4.481E+01, 4.786E+01, 5.308E+01, 4.836E+01, 4.687E+01, 4.304E+01, 2.036E+01, 2.127E+01, 4.181E+01, 4.067E+01, 3.811E+01, 2.704E+01, 2.019E+01, 2.121E+01, 2.090E+01, 2.100E+01, 2.090E+01, 2.092E+01,-5.367E-01,-4.940E-01,-5.427E-01,-1.097E-01, 4.695E-02, 1.630E-01, 1.405E-01, 1.568E-01, 9.981E-02
 1.601E+02, 1.982E-01, 5.024E-03, 6.465E-09, 1.785E-07, 6.291E-03, 1.980E-01, 5.050E-03, 5.905E-11, 4.576E-10, 6.318E-03, 1.154E+00, 4.665E-01, 1.116E+02, 1.133E+02, 2.692E+01, 1.085E+02, 2.918E+01, 1.073E+02, 7.575E+01, 4.809E+01, 6.846E+01, 2.112E+01, 1.042E+02, 1.009E+02, 1.057E+02, 1.066E+02, 1.032E+02, 9.983E+01, 9.624E+01, 2.006E+01, 2.146E+01, 8.537E+01, 7.483E+01, 7.285E+01, 2.828E+01, 2.001E+01, 2.149E+01, 2.125E+01, 2.136E+01, 2.125E+01, 2.123E+01,-1.311E+00,-1.109E+00,-1.323E+00,-2.830E-01, 2.468E-01, 4.992E-01, 4.369E-01, 5.094E-01, 4.306E-01
 2.401E+02, 1.963E-01, 6.081E-03, 1.201E-08, 1.957E-07, 7.615E-03, 1.966E-01, 5.854E-03, 4.691E-11, 7.328E-10, 7.329E-03, 1.573E+00, 5.722E-01, 1.323E+02, 1.286E+02, 3.083E+01, 1.320E+02, 3.800E+01, 1.243E+02, 9.814E+01, 5.432E+01, 8.316E+01, 2.441E+01, 1.217E+02, 1.174E+02, 1.206E+02, 1.224E+02, 1.192E+02, 1.162E+02, 1.130E+02, 2.011E+01, 2.180E+01, 9.985E+01, 8.396E+01, 8.322E+01, 3.092E+01, 2.001E+01, 2.181E+01, 2.152E+01, 2.161E+01, 2.151E+01, 2.150E+01,-1.393E+00,-1.272E+00,-1.418E+00,-4.530E-01, 2.610E-01, 5.349E-01, 4.885E-01, 5.443E-01, 4.407E-01
 3.201E+02, 1.963E-01, 6.088E-03, 1.876E-09, 3.466E-08, 7.632E-03, 1.970E-01, 5.642E-03, 1.237E-10, 4.287E-10, 7.062E-03, 1.164E+00, 6.330E-01, 1.337E+02, 1.279E+02, 3.066E+01, 1.314E+02, 4.072E+01, 1.246E+02, 9.009E+01, 5.948E+01, 8.873E+01, 2.826E+01, 1.223E+02, 1.207E+02, 1.238E+02, 1.235E+02, 1.211E+02, 1.201E+02, 1.175E+02, 2.039E+01, 2.210E+01, 1.069E+02, 9.565E+01, 9.330E+01, 4.056E+01, 2.017E+01, 2.206E+01, 2.163E+01, 2.176E+01, 2.165E+01, 2.164E+01,-1.489E+00,-1.326E+00,-1.511E+00,-3.749E-01, 2.303E-01, 6.032E-01, 5.326E-01, 5.841E-01, 5.178E-01
 4.000E+02, 1.963E-01, 6.055E-03, 1.681E-09, 2.418E-08, 7.586E-03, 1.965E-01, 5.901E-03, 1.048E-10, 7.937E-10, 7.391E-03, 1.436E+00, 6.829E-01, 1.329E+02, 1.333E+02, 3.092E+01, 1.306E+02, 3.957E+01, 1.276E+02, 9.732E+01, 6.251E+01, 9.348E+01, 3.134E+01, 1.258E+02, 1.231E+02, 1.258E+02, 1.276E+02, 1.245E+02, 1.214E+02, 1.185E+02, 2.014E+01, 2.217E+01, 1.049E+02, 9.140E+01, 9.051E+01, 3.535E+01, 2.005E+01, 2.214E+01, 2.181E+01, 2.191E+01, 2.178E+01, 2.175E+01,-1.502E+00,-1.340E+00,-1.475E+00,-4.007E-01, 2.828E-01, 5.502E-01, 4.936E-01, 5.735E-01, 5.201E-01
 4.800E+02, 1.951E-01, 6.720E-03, 2.298E-08, 9.484E-08, 8.430E-03, 1.956E-01, 6.401E-03, 4.252E-10, 1.898E-09, 8.006E-03, 1.594E+00, 7.742E-01, 1.451E+02, 1.422E+02, 3.128E+01, 1.411E+02, 3.915E+01, 1.332E+02, 1.066E+02, 6.733E+01, 1.008E+02, 3.351E+01, 1.339E+02, 1.286E+02, 1.313E+02, 1.355E+02, 1.322E+02, 1.266E+02, 1.236E+02, 2.006E+01, 2.232E+01, 1.098E+02, 8.633E+01, 8.598E+01, 2.822E+01, 2.000E+01, 2.238E+01, 2.204E+01, 2.220E+01, 2.207E+01, 2.207E+01,-1.506E+00,-1.324E+00,-1.442E+00,-4.067E-01, 2.543E-01, 5.458E-01, 4.513E-01, 5.289E-01, 4.407E-01
 5.601E+02, 1.959E-01, 6.281E-03, 6.213E-09, 1.155E-07, 7.868E-03, 1.967E-01, 5.868E-03, 5.863E-11, 8.423E-10, 7.349E-03, 1.536E+00, 7.484E-01, 1.391E+02, 1.344E+02, 3.177E+01, 1.355E+02, 3.791E+01, 1.291E+02, 1.026E+02, 6.827E+01, 1.003E+02, 3.530E+01, 1.292E+02, 1.261E+02, 1.279E+02, 1.306E+02, 1.279E+02, 1.251E+02, 1.227E+02, 2.013E+01, 2.230E+01, 1.121E+02, 9.802E+01, 9.580E+01, 3.745E+01, 2.004E+01, 2.232E+01, 2.200E+01, 2.210E+01, 2.201E+01, 2.203E+01,-1.616E+00,-1.369E+00,-1.509E+00,-4.032E-01, 2.300E-01, 5.669E-01, 5.302E-01, 5.721E-01, 4.864E-01
 6.401E+02, 1.963E-01, 6.074E-03, 2.727E-09, 2.633E-08, 7.608E-03, 1.964E-01, 5.994E-03, 2.329E-10, 1.010E-09, 7.508E-03, 1.423E+00, 8.127E-01, 1.375E+02, 1.379E+02, 3.210E+01, 1.426E+02, 3.964E+01, 1.326E+02, 1.038E+02, 7.065E+01, 1.027E+02, 3.656E+01, 1.312E+02, 1.275E+02, 1.303E+02, 1.330E+02, 1.301E+02, 1.265E+02, 1.236E+02, 2.009E+01, 2.234E+01, 1.122E+02, 9.685E+01, 9.595E+01, 3.638E+01, 2.002E+01, 2.240E+01, 2.208E+01, 2.221E+01, 2.212E+01, 2.206E+01,-1.585E+00,-1.359E+00,-1.569E+00,-3.676E-01, 2.767E-01, 5.979E-01, 5.083E-01, 5.747E-01, 5.476E-01
