s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"T1.1","T1.2","T1.3","T1.4","T1.5","T1.6","T1.7","T1.8","T1.9","T1.10","T2.1","T2.2","T2.3","T2.4","T2.5","T2.6","T2.7","T2.8","T2.9","T2.10","T3.1","T3.2","T3.3","T3.4","T3.5","T3.6","T3.7","T3.8","T3.9","T3.10","TG.1","TG.2"
 0.0000000E+000, 2.4999998E+001, 2.4999998E+001, 2.4999998E+001, 2.4999998E+001, 2.4999998E+001, 2.4999997E+001, 2.4999997E+001, 2.4999997E+001, 2.4999997E+001, 2.4999996E+001, 2.4999996E+001, 2.4999995E+001, 2.4999995E+001, 2.4999995E+001, 2.4999995E+001, 2.4999996E+001, 2.4999996E+001, 2.4999996E+001, 2.4999995E+001, 2.4999996E+001, 2.4999987E+001, 2.4999986E+001, 2.4999985E+001, 2.4999984E+001, 2.4999983E+001, 2.4999981E+001, 2.4999982E+001, 2.4999990E+001, 2.5000000E+001, 2.4999989E+001, 2.4999940E+001, 2.4999939E+001
 3.0001597E+001, 2.5021805E+001, 2.5040725E+001, 2.5035661E+001, 2.5479214E+001, 2.7511987E+001, 2.8939469E+001, 2.9787448E+001, 3.0755523E+001, 3.1097292E+001, 3.1693671E+001, 2.5219011E+001, 2.5210751E+001, 2.5149451E+001, 2.5102917E+001, 2.5078285E+001, 2.5100723E+001, 2.6056973E+001, 2.7564030E+001, 3.0263949E+001, 3.5479687E+001, 2.8758654E+001, 2.7813336E+001, 2.6571308E+001, 2.5790871E+001, 2.5392257E+001, 2.5371408E+001, 2.5668295E+001, 3.3278323E+001, 2.5000000E+001, 3.9299940E+001, 2.1033173E+002, 7.4499923E+001
 6.0004906E+001, 2.5260677E+001, 2.5402169E+001, 2.5483607E+001, 2.6851963E+001, 3.9595116E+001, 5.3298307E+001, 5.6518219E+001, 5.7624965E+001, 5.8306126E+001, 5.9700498E+001, 2.5867414E+001, 2.6059720E+001, 2.6069548E+001, 2.7114283E+001, 2.9781686E+001, 4.0510969E+001, 4.3980810E+001, 4.6570653E+001, 5.3141956E+001, 6.1229952E+001, 3.2081872E+001, 3.2038720E+001, 3.0184703E+001, 2.8972928E+001, 2.9541347E+001, 3.3748551E+001, 5.0259728E+001, 5.5711355E+001, 2.5000000E+001, 6.4637676E+001, 2.8799843E+002, 9.7930879E+001
 9.0001907E+001, 2.6946088E+001, 2.8743184E+001, 2.9578018E+001, 3.3850987E+001, 5.7439581E+001, 6.5548868E+001, 6.6804151E+001, 6.8143789E+001, 6.8672786E+001, 6.9004905E+001, 2.6834882E+001, 2.8670376E+001, 3.0689427E+001, 3.6225849E+001, 4.4325038E+001, 5.6942215E+001, 5.7911976E+001, 6.0309354E+001, 6.6297454E+001, 7.1057172E+001, 3.5762221E+001, 3.5654313E+001, 3.5933497E+001, 3.8720175E+001, 4.4880455E+001, 5.5423095E+001, 6.0597211E+001, 6.4200345E+001, 2.5000000E+001, 7.4218023E+001, 1.8913863E+002, 9.3130824E+001
 1.2000285E+002, 3.0074949E+001, 3.3041902E+001, 3.5800893E+001, 5.3813516E+001, 7.1012946E+001, 7.4725324E+001, 7.5954195E+001, 7.7893362E+001, 7.8461846E+001, 7.8317773E+001, 3.1083766E+001, 3.3402784E+001, 3.7231323E+001, 4.7988978E+001, 5.6464555E+001, 6.7113041E+001, 6.6650336E+001, 6.9787690E+001, 7.6319805E+001, 8.1493108E+001, 3.8277289E+001, 3.9600638E+001, 3.9288478E+001, 4.6384183E+001, 5.6262535E+001, 6.3872460E+001, 7.1238514E+001, 7.6488608E+001, 2.5000000E+001, 8.7032281E+001, 2.2907235E+002, 1.0680437E+002
 1.5000413E+002, 3.4355439E+001, 3.9634706E+001, 4.5116396E+001, 6.5510088E+001, 8.1656049E+001, 8.4760952E+001, 8.5930460E+001, 8.7497962E+001, 8.8203747E+001, 8.8865871E+001, 3.5570623E+001, 3.9178041E+001, 4.4741834E+001, 6.0827521E+001, 6.8693251E+001, 7.3195723E+001, 7.6625642E+001, 8.0544278E+001, 8.5726759E+001, 9.1034741E+001, 4.1615530E+001, 4.5569042E+001, 4.9181664E+001, 6.0810016E+001, 6.6325757E+001, 7.5497829E+001, 8.1595499E+001, 8.6567074E+001, 2.5000000E+001, 9.6212824E+001, 2.5520394E+002, 1.1951717E+002
 1.8000140E+002, 3.9514217E+001, 4.4814158E+001, 5.4012444E+001, 6.8507786E+001, 8.1402131E+001, 9.5203484E+001, 9.6913602E+001, 9.8675880E+001, 9.9561876E+001, 9.9931109E+001, 3.9946589E+001, 4.5115245E+001, 5.3346700E+001, 6.8487191E+001, 7.4171690E+001, 8.1902971E+001, 8.9329422E+001, 9.1719493E+001, 9.8388327E+001, 1.0345516E+002, 4.4301847E+001, 5.0681153E+001, 5.8322305E+001, 6.7941445E+001, 7.6063722E+001, 8.3307834E+001, 8.9407451E+001, 9.6857912E+001, 2.5000000E+001, 1.0810460E+002, 3.5358337E+002, 1.4177283E+002
 2.1000213E+002, 4.2562544E+001, 5.0538314E+001, 6.3005141E+001, 7.8077743E+001, 9.6239711E+001, 1.0213118E+002, 1.0507714E+002, 1.0760222E+002, 1.0809493E+002, 1.0846868E+002, 4.2255239E+001, 5.1712691E+001, 6.2111495E+001, 7.5255180E+001, 8.2695788E+001, 9.1860179E+001, 9.6017368E+001, 9.9540417E+001, 1.0662609E+002, 1.1221125E+002, 5.0846080E+001, 5.8840826E+001, 6.5215267E+001, 7.7171260E+001, 8.3612520E+001, 9.3910619E+001, 9.9069954E+001, 1.0724022E+002, 2.5000000E+001, 1.1825039E+002, 3.0028726E+002, 1.4160954E+002
 2.4000420E+002, 4.5443947E+001, 5.7364966E+001, 6.7082497E+001, 8.7760133E+001, 1.0717451E+002, 1.1099426E+002, 1.1247339E+002, 1.1460954E+002, 1.1488057E+002, 1.1513830E+002, 4.5534743E+001, 5.8269726E+001, 6.7696532E+001, 8.2850706E+001, 9.1057262E+001, 9.6276718E+001, 1.0392153E+002, 1.0839066E+002, 1.1455724E+002, 1.1888056E+002, 5.4393506E+001, 6.3157905E+001, 7.2163959E+001, 8.3874336E+001, 9.0769387E+001, 1.0012438E+002, 1.0590407E+002, 1.1414645E+002, 2.5000000E+001, 1.2321070E+002, 3.1090186E+002, 1.4717832E+002
