s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"T1.1","T1.2","T1.3","T1.4","T1.5","T1.6","T1.7","T1.8","T1.9","T1.10","T2.1","T2.2","T2.3","T2.4","T2.5","T2.6","T2.7","T2.8","T2.9","T2.10","T3.1","T3.2","T3.3","T3.4","T3.5","T3.6","T3.7","T3.8","T3.9","T3.10","TG.1","TG.2"
 0.0000000E+000, 2.4999998E+001, 2.4999998E+001, 2.4999998E+001, 2.4999998E+001, 2.4999998E+001, 2.4999997E+001, 2.4999997E+001, 2.4999997E+001, 2.4999997E+001, 2.4999996E+001, 2.4999996E+001, 2.4999995E+001, 2.4999995E+001, 2.4999995E+001, 2.4999995E+001, 2.4999996E+001, 2.4999996E+001, 2.4999996E+001, 2.4999995E+001, 2.4999996E+001, 2.4999987E+001, 2.4999986E+001, 2.4999984E+001, 2.4999984E+001, 2.4999983E+001, 2.4999981E+001, 2.4999982E+001, 2.4999990E+001, 2.5000000E+001, 2.4999989E+001, 2.4999940E+001, 2.4999939E+001
 3.0002708E+001, 2.5031137E+001, 2.5044411E+001, 2.5039635E+001, 2.5508340E+001, 2.6691513E+001, 2.7181670E+001, 2.8576732E+001, 2.9657193E+001, 3.0077809E+001, 3.0895417E+001, 2.5197059E+001, 2.5181105E+001, 2.5133319E+001, 2.5096480E+001, 2.5067429E+001, 2.5063476E+001, 2.5478751E+001, 2.8303675E+001, 2.9917505E+001, 3.3622231E+001, 2.8512248E+001, 2.7426225E+001, 2.6324651E+001, 2.5677551E+001, 2.5334969E+001, 2.5168565E+001, 2.5307303E+001, 3.2135722E+001, 2.5000000E+001, 3.8602349E+001, 1.9699838E+002, 7.1017525E+001
 6.0004034E+001, 2.5277952E+001, 2.5361747E+001, 2.5461820E+001, 2.7187404E+001, 3.6361887E+001, 4.7923143E+001, 5.3353114E+001, 5.4573445E+001, 5.5139755E+001, 5.6252224E+001, 2.5868745E+001, 2.6022472E+001, 2.6435459E+001, 2.6961951E+001, 2.8798579E+001, 3.9022538E+001, 4.1543257E+001, 4.5552874E+001, 5.0957185E+001, 5.8143438E+001, 3.1924412E+001, 3.1457209E+001, 2.9498043E+001, 2.8326795E+001, 2.8816725E+001, 3.3737508E+001, 4.8117036E+001, 5.3095370E+001, 2.5000000E+001, 6.2048116E+001, 2.2660139E+002, 8.6806060E+001
 9.0006734E+001, 2.6700207E+001, 2.8033225E+001, 2.9746190E+001, 3.6081308E+001, 5.2622575E+001, 6.2239498E+001, 6.3181820E+001, 6.4209195E+001, 6.4904512E+001, 6.5443178E+001, 2.6556332E+001, 2.8718598E+001, 3.1297149E+001, 3.7114350E+001, 4.3801124E+001, 5.1095413E+001, 5.5491524E+001, 5.7332338E+001, 6.1588732E+001, 6.7192568E+001, 3.3692443E+001, 3.4380565E+001, 3.4923275E+001, 3.7806232E+001, 4.2633170E+001, 5.1668649E+001, 5.9055310E+001, 6.2846797E+001, 2.5000000E+001, 7.0808478E+001, 2.2779711E+002, 9.5552622E+001
 1.2000059E+002, 3.0805107E+001, 3.3330944E+001, 3.7819823E+001, 4.7015373E+001, 6.6829770E+001, 7.1141056E+001, 7.2476527E+001, 7.3416306E+001, 7.4219720E+001, 7.5423310E+001, 3.1419240E+001, 3.3754177E+001, 3.8465011E+001, 4.8441411E+001, 5.4239517E+001, 6.3830483E+001, 6.6238920E+001, 6.8745289E+001, 7.2667207E+001, 7.7843520E+001, 3.9238818E+001, 4.0165762E+001, 4.1628364E+001, 4.8125501E+001, 5.4813156E+001, 6.1922078E+001, 6.9054964E+001, 7.5180531E+001, 2.5000000E+001, 8.1639991E+001, 1.5277158E+002, 9.2401697E+001
 1.5000348E+002, 3.4885960E+001, 4.0009044E+001, 4.7211197E+001, 5.7254735E+001, 7.4916382E+001, 8.2026956E+001, 8.3824806E+001, 8.5141454E+001, 8.5479562E+001, 8.5630053E+001, 3.6075244E+001, 4.0488840E+001, 4.6321322E+001, 5.9169331E+001, 6.5943980E+001, 7.2344746E+001, 7.4334454E+001, 7.6750125E+001, 8.4093343E+001, 8.8883398E+001, 4.1571082E+001, 4.7247179E+001, 5.0521366E+001, 5.9894455E+001, 6.3772804E+001, 7.1409216E+001, 7.7384881E+001, 8.4302166E+001, 2.5000000E+001, 9.2737228E+001, 2.3131321E+002, 1.1229581E+002
 1.8000079E+002, 4.1822513E+001, 4.7639996E+001, 5.7355528E+001, 6.5531837E+001, 7.9451036E+001, 8.8460780E+001, 9.0679364E+001, 9.2893261E+001, 9.3303973E+001, 9.2763679E+001, 4.2569088E+001, 4.8897961E+001, 5.5785034E+001, 6.6929755E+001, 7.3170756E+001, 7.7332382E+001, 8.3755985E+001, 8.8733334E+001, 9.3856742E+001, 9.7213912E+001, 4.6168771E+001, 5.4076426E+001, 5.8677308E+001, 6.8729675E+001, 7.2366434E+001, 7.9009086E+001, 8.6319620E+001, 9.2411985E+001, 2.5000000E+001, 1.0163624E+002, 2.4917732E+002, 1.2420800E+002
 2.1000541E+002, 4.7454291E+001, 5.5400925E+001, 6.5254807E+001, 7.6951236E+001, 9.3678313E+001, 9.8357429E+001, 9.9961840E+001, 1.0151659E+002, 1.0227849E+002, 1.0269359E+002, 4.7684600E+001, 5.6529130E+001, 6.5729177E+001, 7.5434718E+001, 7.9993045E+001, 8.5245340E+001, 9.1625673E+001, 9.4247986E+001, 1.0114958E+002, 1.0551253E+002, 5.4998094E+001, 6.2056231E+001, 6.6779929E+001, 7.4308826E+001, 7.9681750E+001, 8.8567944E+001, 9.3291047E+001, 9.9547080E+001, 2.5000000E+001, 1.1067116E+002, 2.6405489E+002, 1.3293847E+002
 2.4000523E+002, 5.3908415E+001, 6.3698544E+001, 7.1935795E+001, 8.1990521E+001, 9.6958881E+001, 1.0530172E+002, 1.0732564E+002, 1.0924479E+002, 1.1060482E+002, 1.1155077E+002, 5.4041514E+001, 6.3708637E+001, 7.3219681E+001, 8.2269731E+001, 8.6451828E+001, 9.3919448E+001, 9.9168787E+001, 1.0314137E+002, 1.0884044E+002, 1.1464576E+002, 5.9562512E+001, 6.8157210E+001, 7.4627532E+001, 8.2517890E+001, 8.6746336E+001, 9.5180591E+001, 1.0174615E+002, 1.0881658E+002, 2.5000000E+001, 1.2055860E+002, 3.2618918E+002, 1.5325891E+002
 2.7000275E+002, 5.9763683E+001, 6.9621789E+001, 7.8381059E+001, 8.7707701E+001, 1.0622903E+002, 1.1220436E+002, 1.1483447E+002, 1.1673693E+002, 1.1751085E+002, 1.1776955E+002, 5.9866727E+001, 7.0310231E+001, 7.7320133E+001, 8.8598034E+001, 9.3823172E+001, 9.8879767E+001, 1.0641567E+002, 1.1023111E+002, 1.1488877E+002, 1.2098025E+002, 6.5121707E+001, 7.4904971E+001, 7.9748723E+001, 8.7829795E+001, 9.2709672E+001, 1.0081339E+002, 1.0809368E+002, 1.1431238E+002, 2.5000000E+001, 1.2590213E+002, 3.2362851E+002, 1.5361635E+002
 3.0000614E+002, 6.4356251E+001, 7.6177458E+001, 8.3450295E+001, 9.2936580E+001, 1.0782919E+002, 1.1903093E+002, 1.2096943E+002, 1.2261897E+002, 1.2354201E+002, 1.2367783E+002, 6.4763507E+001, 7.5715934E+001, 8.4125583E+001, 9.4617736E+001, 9.7928968E+001, 1.0526695E+002, 1.1192773E+002, 1.1470802E+002, 1.2097071E+002, 1.2682931E+002, 6.9621413E+001, 8.0195592E+001, 8.4634878E+001, 9.3019955E+001, 9.8957949E+001, 1.0669429E+002, 1.1300086E+002, 1.2219242E+002, 2.5000000E+001, 1.3210634E+002, 3.4558922E+002, 1.6511790E+002
 3.3000078E+002, 6.8237025E+001, 8.0247463E+001, 8.8404852E+001, 9.7406865E+001, 1.1048596E+002, 1.2298133E+002, 1.2542166E+002, 1.2698242E+002, 1.2718714E+002, 1.2743424E+002, 6.8913145E+001, 8.0485418E+001, 8.7900151E+001, 9.8586742E+001, 1.0387801E+002, 1.0936075E+002, 1.1790690E+002, 1.1881105E+002, 1.2499183E+002, 1.3079399E+002, 7.3893735E+001, 8.4135378E+001, 9.0265547E+001, 9.8160690E+001, 1.0347907E+002, 1.1091702E+002, 1.1799384E+002, 1.2519495E+002, 2.5000000E+001, 1.3482382E+002, 3.2571390E+002, 1.6250163E+002
 3.6000576E+002, 7.0972089E+001, 8.4687234E+001, 9.1497912E+001, 1.0257845E+002, 1.1303316E+002, 1.2320726E+002, 1.2579649E+002, 1.2736545E+002, 1.2816109E+002, 1.2841721E+002, 7.0871982E+001, 8.3839430E+001, 9.2024147E+001, 1.0228302E+002, 1.0799299E+002, 1.1339030E+002, 1.1878022E+002, 1.2166879E+002, 1.2675589E+002, 1.3169370E+002, 7.4916474E+001, 8.7447346E+001, 9.3132910E+001, 1.0212910E+002, 1.0649136E+002, 1.1313401E+002, 1.2100570E+002, 1.2651842E+002, 2.5000000E+001, 1.3599211E+002, 2.9543214E+002, 1.5911291E+002
 3.9000391E+002, 7.0152047E+001, 8.6866998E+001, 9.4277859E+001, 1.0293003E+002, 1.1722862E+002, 1.2360535E+002, 1.2541822E+002, 1.2692083E+002, 1.2736856E+002, 1.2740723E+002, 7.0010335E+001, 8.5654053E+001, 9.4700844E+001, 1.0389555E+002, 1.0961930E+002, 1.1413987E+002, 1.2012539E+002, 1.2201037E+002, 1.2607970E+002, 1.2922693E+002, 7.3400871E+001, 8.9302361E+001, 9.4684147E+001, 1.0277851E+002, 1.0946690E+002, 1.1539198E+002, 1.1963599E+002, 1.2596298E+002, 2.5000000E+001, 1.3263243E+002, 2.3330112E+002, 1.4789539E+002
