s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"T1.1","T1.2","T1.3","T1.4","T1.5","T1.6","T1.7","T1.8","T1.9","T1.10","T2.1","T2.2","T2.3","T2.4","T2.5","T2.6","T2.7","T2.8","T2.9","T2.10","T3.1","T3.2","T3.3","T3.4","T3.5","T3.6","T3.7","T3.8","T3.9","T3.10","TG.1","TG.2"
 0.0000000E+000, 2.1999993E+001, 2.1999992E+001, 2.1999992E+001, 2.1999992E+001, 2.1999992E+001, 2.1999991E+001, 2.1999991E+001, 2.1999991E+001, 2.1999992E+001, 2.1999992E+001, 2.1999987E+001, 2.1999985E+001, 2.1999985E+001, 2.1999985E+001, 2.1999985E+001, 2.1999988E+001, 2.1999989E+001, 2.1999989E+001, 2.1999989E+001, 2.1999990E+001, 2.1999968E+001, 2.1999964E+001, 2.1999962E+001, 2.1999961E+001, 2.1999960E+001, 2.1999960E+001, 2.1999964E+001, 2.1999979E+001, 2.2000000E+001, 2.1999983E+001, 2.1999882E+001, 2.1999892E+001
 3.0001414E+001, 2.2019824E+001, 2.2031562E+001, 2.2025265E+001, 2.2057621E+001, 2.2321714E+001, 2.2583827E+001, 2.3123076E+001, 2.3904205E+001, 2.4121129E+001, 2.4201661E+001, 2.2146225E+001, 2.2171789E+001, 2.2103503E+001, 2.2073634E+001, 2.2047087E+001, 2.2035267E+001, 2.2346676E+001, 2.3289776E+001, 2.4473256E+001, 2.6316882E+001, 2.4544134E+001, 2.3809154E+001, 2.2992173E+001, 2.2490272E+001, 2.2244161E+001, 2.2100791E+001, 2.2581804E+001, 2.6638284E+001, 2.2000000E+001, 2.8935244E+001, 1.1519058E+002, 4.7457633E+001
 6.0004215E+001, 2.2104034E+001, 2.2168505E+001, 2.2178297E+001, 2.4345540E+001, 2.5284027E+001, 3.2927672E+001, 3.7934692E+001, 3.9570542E+001, 4.0410719E+001, 4.1041596E+001, 2.2452200E+001, 2.2448583E+001, 2.2313356E+001, 2.2483612E+001, 2.2985988E+001, 2.6246701E+001, 3.0563345E+001, 3.2170642E+001, 3.6981683E+001, 4.2702494E+001, 2.6981847E+001, 2.6237236E+001, 2.4700815E+001, 2.3646421E+001, 2.3248155E+001, 2.5096422E+001, 3.4203766E+001, 3.8086448E+001, 2.2000000E+001, 4.5427862E+001, 1.3739606E+002, 5.8622932E+001
 9.0001383E+001, 2.2276623E+001, 2.2523386E+001, 2.3006672E+001, 2.4166823E+001, 3.5466125E+001, 4.4361486E+001, 4.5448269E+001, 4.6270922E+001, 4.6872148E+001, 4.7106510E+001, 2.2834741E+001, 2.3093888E+001, 2.3841056E+001, 2.5534408E+001, 2.9171211E+001, 3.6724002E+001, 3.9653186E+001, 3.9974490E+001, 4.3452746E+001, 4.8253966E+001, 2.7432201E+001, 2.6907072E+001, 2.5843180E+001, 2.6018361E+001, 2.9408332E+001, 3.4746735E+001, 4.0824513E+001, 4.3970263E+001, 2.2000000E+001, 5.0725907E+001, 1.4722464E+002, 6.4317673E+001
 1.2000673E+002, 2.3166010E+001, 2.5386383E+001, 2.6363763E+001, 2.9248400E+001, 4.4181738E+001, 4.9160047E+001, 4.9975555E+001, 5.1091653E+001, 5.1698103E+001, 5.2162774E+001, 2.3804275E+001, 2.5140946E+001, 2.6713003E+001, 3.0162808E+001, 3.6900433E+001, 4.3814472E+001, 4.4879322E+001, 4.8796227E+001, 5.0250450E+001, 5.3627798E+001, 2.9533857E+001, 2.9478423E+001, 2.8115622E+001, 3.1009181E+001, 3.6786835E+001, 4.4774104E+001, 4.7354351E+001, 4.9234053E+001, 2.2000000E+001, 5.5666281E+001, 1.2969122E+002, 6.8097521E+001
 1.5000073E+002, 2.5220716E+001, 2.6510445E+001, 2.9221269E+001, 3.7207342E+001, 4.9329130E+001, 5.3561771E+001, 5.5553362E+001, 5.6299164E+001, 5.6714248E+001, 5.7557662E+001, 2.6240995E+001, 2.7306742E+001, 2.8634661E+001, 3.8344324E+001, 4.3380619E+001, 4.9067980E+001, 5.1497118E+001, 5.3612167E+001, 5.6016034E+001, 5.9406852E+001, 3.1986249E+001, 3.1864698E+001, 3.0955409E+001, 3.9126477E+001, 4.4052003E+001, 4.9384887E+001, 5.2486332E+001, 5.5934626E+001, 2.2000000E+001, 6.1275318E+001, 1.1162586E+002, 6.8269282E+001
 1.8000401E+002, 2.7146526E+001, 2.9259760E+001, 3.4776545E+001, 4.2416403E+001, 5.6645219E+001, 6.0019313E+001, 6.0884789E+001, 6.2017957E+001, 6.2416984E+001, 6.2630329E+001, 2.7932367E+001, 3.0359956E+001, 3.4214644E+001, 4.4219208E+001, 4.8285326E+001, 5.2543918E+001, 5.6280962E+001, 5.8117359E+001, 6.1604157E+001, 6.4386736E+001, 3.2814269E+001, 3.3644958E+001, 3.6687923E+001, 4.5313809E+001, 4.8093810E+001, 5.2443161E+001, 5.5979890E+001, 6.0388152E+001, 2.2000000E+001, 6.6948389E+001, 1.4190468E+002, 7.9248787E+001
 2.1000366E+002, 2.9704598E+001, 3.2579466E+001, 4.0008209E+001, 4.8175734E+001, 5.6387753E+001, 6.3424210E+001, 6.5420944E+001, 6.7280098E+001, 6.7772811E+001, 6.7719487E+001, 3.0418848E+001, 3.3851029E+001, 3.8900590E+001, 4.8830830E+001, 5.2382069E+001, 5.5916329E+001, 6.0868018E+001, 6.2153939E+001, 6.6695325E+001, 7.0247228E+001, 3.4925101E+001, 3.6462170E+001, 4.1841552E+001, 4.9678633E+001, 5.2913604E+001, 5.6874113E+001, 6.0478877E+001, 6.6722065E+001, 2.2000000E+001, 7.2827197E+001, 1.8440357E+002, 8.6561697E+001
 2.4000291E+002, 3.2053063E+001, 3.5379801E+001, 4.5573081E+001, 5.1631342E+001, 5.9224249E+001, 6.8739697E+001, 7.1380152E+001, 7.2146808E+001, 7.2598574E+001, 7.2998166E+001, 3.1821360E+001, 3.6454671E+001, 4.3964648E+001, 5.3599136E+001, 5.6415967E+001, 6.0229147E+001, 6.5266259E+001, 6.7288582E+001, 7.1013113E+001, 7.4709530E+001, 3.6937899E+001, 4.0550585E+001, 4.6163385E+001, 5.1862113E+001, 5.6065935E+001, 6.1783502E+001, 6.7599962E+001, 7.1498467E+001, 2.2000000E+001, 7.8858729E+001, 1.8228898E+002, 9.2533837E+001
